_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
5595,2018Q2,S08000016,S08000024,"",Lymphoma,"",1,"",1,""
5596,2018Q2,S08000016,S08000024,"",Melanoma,"",3,"",3,""
5597,2018Q2,S08000016,S08000024,"",Upper GI,"",7,"",7,""
5598,2018Q2,S08000016,S08000024,"",Urological,"",6,"",5,""
5599,2018Q2,S08000017,S08000017,"",Breast,"",25,"",25,""
5600,2018Q2,S08000017,S08000017,"",Cervical,"",2,"",2,""
5601,2018Q2,S08000017,S08000017,"",Colorectal,"",30,"",30,""
5602,2018Q2,S08000017,S08000017,"",Head & Neck,"",1,"",1,""
5603,2018Q2,S08000017,S08000017,"",Lung,"",27,"",27,""
5604,2018Q2,S08000017,S08000017,"",Lymphoma,"",9,"",9,""
5605,2018Q2,S08000017,S08000017,"",Melanoma,"",12,"",12,""
5606,2018Q2,S08000017,S08000017,"",Ovarian,"",1,"",1,""
5607,2018Q2,S08000017,S08000017,"",Upper GI,"",15,"",15,""
5608,2018Q2,S08000017,S08000017,"",Urological,"",35,"",32,""
5609,2018Q2,S08000017,S08000024,"",Colorectal,"",1,"",1,""
5610,2018Q2,S08000017,S08000024,"",Lung,"",6,"",6,""
5611,2018Q2,S08000017,S08000024,"",Melanoma,"",1,"",1,""
5612,2018Q2,S08000017,S08000024,"",Ovarian,"",4,"",3,""
5613,2018Q2,S08000017,S08000024,"",Upper GI,"",3,"",3,""
5614,2018Q2,S08000017,S08000024,"",Urological,"",9,"",4,""
5615,2018Q2,S08000017,S08000031,"",Head & Neck,"",1,"",0,""
5616,2018Q2,S08000017,SB0801,"",Lung,"",1,"",1,""
5617,2018Q2,S08000019,S08000019,"",Breast,"",43,"",43,""
5618,2018Q2,S08000019,S08000019,"",Cervical,"",1,"",1,""
5619,2018Q2,S08000019,S08000019,"",Colorectal,"",52,"",48,""
5620,2018Q2,S08000019,S08000019,"",Head & Neck,"",2,"",2,""
5621,2018Q2,S08000019,S08000019,"",Lung,"",39,"",39,""
5622,2018Q2,S08000019,S08000019,"",Lymphoma,"",18,"",18,""
5623,2018Q2,S08000019,S08000019,"",Melanoma,"",25,"",23,""
5624,2018Q2,S08000019,S08000019,"",Ovarian,"",2,"",2,""
5625,2018Q2,S08000019,S08000019,"",Upper GI,"",27,"",27,""
5626,2018Q2,S08000019,S08000019,"",Urological,"",82,"",82,""
5627,2018Q2,S08000019,S08000024,"",Upper GI,"",5,"",5,""
5628,2018Q2,S08000019,S08000024,"",Urological,"",2,"",2,""
5629,2018Q2,S08000019,S08000031,"",Cervical,"",5,"",5,""
5630,2018Q2,S08000019,S08000031,"",Colorectal,"",4,"",4,""
5631,2018Q2,S08000019,S08000031,"",Head & Neck,"",7,"",7,""
5632,2018Q2,S08000019,S08000031,"",Lung,"",11,"",11,""
5633,2018Q2,S08000019,S08000031,"",Ovarian,"",3,"",3,""
5634,2018Q2,S08000019,S08000031,"",Upper GI,"",12,"",12,""
5635,2018Q2,S08000019,S08000031,"",Urological,"",9,"",4,""
5636,2018Q2,S08000019,S08000032,"",Head & Neck,"",2,"",2,""
5637,2018Q2,S08000019,SB0801,"",Lung,"",2,"",2,""
5638,2018Q2,S08000020,S08000020,"",Breast,"",112,"",104,""
5639,2018Q2,S08000020,S08000020,"",Cervical,"",4,"",4,""
5640,2018Q2,S08000020,S08000020,"",Colorectal,"",97,"",85,""
5641,2018Q2,S08000020,S08000020,"",Head & Neck,"",32,"",30,""
5642,2018Q2,S08000020,S08000020,"",Lung,"",120,"",114,""
5643,2018Q2,S08000020,S08000020,"",Lymphoma,"",31,"",30,""
5644,2018Q2,S08000020,S08000020,"",Melanoma,"",46,"",46,""
5645,2018Q2,S08000020,S08000020,"",Ovarian,"",13,"",13,""
5646,2018Q2,S08000020,S08000020,"",Upper GI,"",79,"",79,""
5647,2018Q2,S08000020,S08000020,"",Urological,"",170,"",149,""
5648,2018Q2,S08000020,S08000022,"",Upper GI,"",1,"",1,""
5649,2018Q2,S08000020,S08000025,"",Breast,"",1,"",1,""
5650,2018Q2,S08000020,S08000026,"",Urological,"",1,"",1,""
5651,2018Q2,S08000022,S08000020,"",Colorectal,"",1,"",1,""
5652,2018Q2,S08000022,S08000020,"",Lung,"",3,"",3,""
5653,2018Q2,S08000022,S08000020,"",Ovarian,"",2,"",2,""
5654,2018Q2,S08000022,S08000020,"",Urological,"",7,"",4,""
5655,2018Q2,S08000022,S08000022,"",Breast,"",83,"",77,""
5656,2018Q2,S08000022,S08000022,"",Cervical,"",5,"",5,""
5657,2018Q2,S08000022,S08000022,"",Colorectal,"",47,"",42,""
5658,2018Q2,S08000022,S08000022,"",Head & Neck,"",9,"",9,""
5659,2018Q2,S08000022,S08000022,"",Lung,"",43,"",43,""
5660,2018Q2,S08000022,S08000022,"",Lymphoma,"",10,"",10,""
5661,2018Q2,S08000022,S08000022,"",Melanoma,"",19,"",18,""
5662,2018Q2,S08000022,S08000022,"",Ovarian,"",7,"",7,""
5663,2018Q2,S08000022,S08000022,"",Upper GI,"",32,"",32,""
5664,2018Q2,S08000022,S08000022,"",Urological,"",63,"",54,""
5665,2018Q2,S08000022,S08000024,"",Urological,"",1,"",0,""
5666,2018Q2,S08000022,S08000028,"",Breast,"",2,"",2,""
5667,2018Q2,S08000022,S08000030,"",Head & Neck,"",3,"",3,""
5668,2018Q2,S08000022,S08000030,"",Lung,"",1,"",1,""
5669,2018Q2,S08000022,S08000031,"",Colorectal,"",1,"",1,""
5670,2018Q2,S08000022,S08000031,"",Upper GI,"",1,"",1,""
5671,2018Q2,S08000022,SB0801,"",Lung,"",9,"",9,""
5672,2018Q2,S08000024,S08000024,"",Breast,"",218,"",217,""
5673,2018Q2,S08000024,S08000024,"",Cervical,"",7,"",6,""
5674,2018Q2,S08000024,S08000024,"",Colorectal,"",116,"",111,""
5675,2018Q2,S08000024,S08000024,"",Head & Neck,"",36,"",36,""
5676,2018Q2,S08000024,S08000024,"",Lung,"",102,"",101,""
5677,2018Q2,S08000024,S08000024,"",Lymphoma,"",32,"",32,""
5678,2018Q2,S08000024,S08000024,"",Melanoma,"",57,"",57,""
5679,2018Q2,S08000024,S08000024,"",Ovarian,"",10,"",10,""
5680,2018Q2,S08000024,S08000024,"",Upper GI,"",95,"",92,""
5681,2018Q2,S08000024,S08000024,"",Urological,"",168,"",125,""
5682,2018Q2,S08000024,S08000029,"",Breast,"",3,"",3,""
5683,2018Q2,S08000025,S08000020,"",Colorectal,"",1,"",1,""
5684,2018Q2,S08000025,S08000020,"",Lung,"",2,"",2,""
5685,2018Q2,S08000025,S08000020,"",Lymphoma,"",2,"",2,""
5686,2018Q2,S08000025,S08000020,"",Upper GI,"",4,"",4,""
5687,2018Q2,S08000025,S08000025,"",Colorectal,"",2,"",2,""
5688,2018Q2,S08000026,S08000020,"",Breast,"",1,"",1,""
5689,2018Q2,S08000026,S08000020,"",Head & Neck,"",1,"",1,""
5690,2018Q2,S08000026,S08000020,"",Lung,"",4,"",4,""
5691,2018Q2,S08000026,S08000020,"",Lymphoma,"",1,"",1,""
5692,2018Q2,S08000026,S08000020,"",Ovarian,"",1,"",1,""
5693,2018Q2,S08000026,S08000020,"",Upper GI,"",1,"",1,""
5694,2018Q2,S08000026,S08000020,"",Urological,"",3,"",3,""
5695,2018Q2,S08000026,S08000026,"",Breast,"",1,"",1,""
5696,2018Q2,S08000026,S08000026,"",Colorectal,"",1,"",1,""
5697,2018Q2,S08000026,S08000026,"",Lung,"",1,"",1,""
5698,2018Q2,S08000026,S08000026,"",Melanoma,"",1,"",1,""
5699,2018Q2,S08000026,S08000026,"",Ovarian,"",1,"",1,""
5700,2018Q2,S08000026,S08000026,"",Urological,"",7,"",7,""
5701,2018Q2,S08000028,S08000022,"",Lung,"",4,"",4,""
5702,2018Q2,S08000028,S08000022,"",Lymphoma,"",1,"",1,""
5703,2018Q2,S08000028,S08000022,"",Ovarian,"",1,"",1,""
5704,2018Q2,S08000028,S08000022,"",Upper GI,"",3,"",3,""
5705,2018Q2,S08000028,S08000028,"",Colorectal,"",1,"",1,""
5706,2018Q2,S08000028,S08000028,"",Lung,"",2,"",2,""
5707,2018Q2,S08000028,S08000028,"",Melanoma,"",2,"",2,""
5708,2018Q2,S08000028,S08000028,"",Upper GI,"",2,"",2,""
5709,2018Q2,S08000028,S08000028,"",Urological,"",1,"",1,""
5710,2018Q2,S08000028,S08000031,"",Ovarian,"",1,"",1,""
5711,2018Q2,S08000028,S08000031,"",Upper GI,"",1,"",1,""
5712,2018Q2,S08000028,S08000031,"",Urological,"",1,"",1,""
5713,2018Q2,S08000028,SB0801,"",Lung,"",2,"",2,""
5714,2018Q2,S08000029,S08000024,"",Cervical,"",3,"",3,""
5715,2018Q2,S08000029,S08000024,"",Colorectal,"",5,"",5,""
5716,2018Q2,S08000029,S08000024,"",Head & Neck,"",14,"",14,""
5717,2018Q2,S08000029,S08000024,"",Lung,"",31,"",23,""
5718,2018Q2,S08000029,S08000024,"",Melanoma,"",1,"",1,""
5719,2018Q2,S08000029,S08000024,"",Upper GI,"",10,"",10,""
5720,2018Q2,S08000029,S08000024,"",Urological,"",13,"",12,""
5721,2018Q2,S08000029,S08000029,"",Breast,"",50,"",50,""
5722,2018Q2,S08000029,S08000029,"",Cervical,"",1,"",1,""
5723,2018Q2,S08000029,S08000029,"",Colorectal,"",41,"",41,""
5724,2018Q2,S08000029,S08000029,"",Head & Neck,"",6,"",6,""
5725,2018Q2,S08000029,S08000029,"",Lung,"",43,"",43,""
5726,2018Q2,S08000029,S08000029,"",Lymphoma,"",11,"",11,""
5727,2018Q2,S08000029,S08000029,"",Melanoma,"",18,"",18,""
5728,2018Q2,S08000029,S08000029,"",Ovarian,"",9,"",7,""
5729,2018Q2,S08000029,S08000029,"",Upper GI,"",41,"",41,""
5730,2018Q2,S08000029,S08000029,"",Urological,"",82,"",72,""
5731,2018Q2,S08000029,S08000030,"",Head & Neck,"",8,"",5,""
5732,2018Q2,S08000029,S08000030,"",Lung,"",1,"",1,""
5733,2018Q2,S08000029,S08000030,"",Melanoma,"",1,"",0,""
5734,2018Q2,S08000030,S08000020,"",Cervical,"",3,"",3,""
5735,2018Q2,S08000030,S08000020,"",Lung,"",1,"",1,""
5736,2018Q2,S08000030,S08000020,"",Ovarian,"",1,"",1,""
5737,2018Q2,S08000030,S08000024,"",Lung,"",14,"",9,""
5738,2018Q2,S08000030,S08000024,"",Upper GI,"",1,"",1,""
5739,2018Q2,S08000030,S08000030,"",Breast,"",99,"",97,""
5740,2018Q2,S08000030,S08000030,"",Cervical,"",7,"",7,""
5741,2018Q2,S08000030,S08000030,"",Colorectal,"",79,"",79,""
5742,2018Q2,S08000030,S08000030,"",Head & Neck,"",19,"",17,""
5743,2018Q2,S08000030,S08000030,"",Lung,"",74,"",71,""
5744,2018Q2,S08000030,S08000030,"",Lymphoma,"",21,"",21,""
5745,2018Q2,S08000030,S08000030,"",Melanoma,"",24,"",21,""
5746,2018Q2,S08000030,S08000030,"",Ovarian,"",5,"",4,""
5747,2018Q2,S08000030,S08000030,"",Upper GI,"",48,"",48,""
5748,2018Q2,S08000030,S08000030,"",Urological,"",124,"",114,""
5749,2018Q2,S08000031,S08000019,"",Breast,"",2,"",2,""
5750,2018Q2,S08000031,S08000024,"",Upper GI,"",2,"",2,""
5751,2018Q2,S08000031,S08000029,"",Breast,"",1,"",1,""
5752,2018Q2,S08000031,S08000031,"",Breast,"",343,"",304,""
5753,2018Q2,S08000031,S08000031,"",Cervical,"",9,"",9,""
5754,2018Q2,S08000031,S08000031,"",Colorectal,"",165,"",161,""
5755,2018Q2,S08000031,S08000031,"",Head & Neck,"",84,"",81,""
5756,2018Q2,S08000031,S08000031,"",Lung,"",209,"",205,""
5757,2018Q2,S08000031,S08000031,"",Lymphoma,"",83,"",83,""
5758,2018Q2,S08000031,S08000031,"",Melanoma,"",90,"",89,""
5759,2018Q2,S08000031,S08000031,"",Ovarian,"",26,"",26,""
5760,2018Q2,S08000031,S08000031,"",Upper GI,"",156,"",155,""
5761,2018Q2,S08000031,S08000031,"",Urological,"",321,"",286,""
5762,2018Q2,S08000031,S08000032,"",Breast,"",29,"",29,""
5763,2018Q2,S08000031,SB0801,"",Lung,"",43,"",43,""
5764,2018Q2,S08000031,SB0801,"",Lymphoma,"",1,"",1,""
5765,2018Q2,S08000031,SB0801,"",Upper GI,"",1,"",1,""
5766,2018Q2,S08000032,S08000031,"",Breast,"",8,"",8,""
5767,2018Q2,S08000032,S08000031,"",Colorectal,"",13,"",12,""
5768,2018Q2,S08000032,S08000031,"",Head & Neck,"",13,"",13,""
5769,2018Q2,S08000032,S08000031,"",Lung,"",22,"",22,""
5770,2018Q2,S08000032,S08000031,"",Lymphoma,"",2,"",2,""
5771,2018Q2,S08000032,S08000031,"",Melanoma,"",1,"",1,""
5772,2018Q2,S08000032,S08000031,"",Ovarian,"",9,"",8,""
5773,2018Q2,S08000032,S08000031,"",Upper GI,"",19,"",19,""
5774,2018Q2,S08000032,S08000031,"",Urological,"",3,"",3,""
5775,2018Q2,S08000032,S08000032,"",Breast,"",93,"",93,""
5776,2018Q2,S08000032,S08000032,"",Cervical,"",2,"",2,""
5777,2018Q2,S08000032,S08000032,"",Colorectal,"",79,"",76,""
5778,2018Q2,S08000032,S08000032,"",Head & Neck,"",15,"",15,""
5779,2018Q2,S08000032,S08000032,"",Lung,"",82,"",82,""
5780,2018Q2,S08000032,S08000032,"",Lymphoma,"",27,"",27,""
5781,2018Q2,S08000032,S08000032,"",Melanoma,"",29,"",29,""
5782,2018Q2,S08000032,S08000032,"",Upper GI,"",40,"",40,""
5783,2018Q2,S08000032,S08000032,"",Urological,"",123,"",121,""
5784,2018Q2,S08000032,SB0801,"",Lung,"",21,"",21,""
5785,2018Q3,S08000015,S08000015,"",Breast,"",100,"",99,""
5786,2018Q3,S08000015,S08000015,"",Cervical,"",5,"",5,""
5787,2018Q3,S08000015,S08000015,"",Colorectal,"",58,"",56,""
5788,2018Q3,S08000015,S08000015,"",Head & Neck,"",9,"",9,""
5789,2018Q3,S08000015,S08000015,"",Lung,"",39,"",39,""
5790,2018Q3,S08000015,S08000015,"",Lymphoma,"",1,"",1,""
5791,2018Q3,S08000015,S08000015,"",Melanoma,"",20,"",20,""
5792,2018Q3,S08000015,S08000015,"",Ovarian,"",1,"",1,""
5793,2018Q3,S08000015,S08000015,"",Upper GI,"",24,"",24,""
5794,2018Q3,S08000015,S08000015,"",Urological,"",78,"",78,""
5795,2018Q3,S08000015,S08000017,"",Breast,"",1,"",1,""
5796,2018Q3,S08000015,S08000024,"",Upper GI,"",1,"",1,""
5797,2018Q3,S08000015,S08000031,"",Breast,"",2,"",1,""
5798,2018Q3,S08000015,S08000031,"",Cervical,"",3,"",3,""
5799,2018Q3,S08000015,S08000031,"",Colorectal,"",3,"",3,""
5800,2018Q3,S08000015,S08000031,"",Head & Neck,"",6,"",6,""
5801,2018Q3,S08000015,S08000031,"",Lung,"",9,"",9,""
5802,2018Q3,S08000015,S08000031,"",Ovarian,"",5,"",5,""
5803,2018Q3,S08000015,S08000031,"",Upper GI,"",4,"",4,""
5804,2018Q3,S08000015,S08000031,"",Urological,"",12,"",12,""
5805,2018Q3,S08000015,SB0801,"",Lung,"",11,"",11,""
5806,2018Q3,S08000016,S08000016,"",Breast,"",19,"",19,""
5807,2018Q3,S08000016,S08000016,"",Cervical,"",1,"",1,""
5808,2018Q3,S08000016,S08000016,"",Colorectal,"",14,"",14,""
5809,2018Q3,S08000016,S08000016,"",Head & Neck,"",2,"",2,""
5810,2018Q3,S08000016,S08000016,"",Lung,"",19,"",19,""
5811,2018Q3,S08000016,S08000016,"",Lymphoma,"",4,"",4,""
5812,2018Q3,S08000016,S08000016,"",Melanoma,"",4,"",4,""
5813,2018Q3,S08000016,S08000016,"",Ovarian,"",3,"",3,""
5814,2018Q3,S08000016,S08000016,"",Upper GI,"",14,"",14,""
5815,2018Q3,S08000016,S08000016,"",Urological,"",26,"",26,""
5816,2018Q3,S08000016,S08000024,"",Cervical,"",1,"",1,""
5817,2018Q3,S08000016,S08000024,"",Colorectal,"",6,"",6,""
5818,2018Q3,S08000016,S08000024,"",Head & Neck,"",4,"",4,""
5819,2018Q3,S08000016,S08000024,"",Lung,"",9,"",8,""
5820,2018Q3,S08000016,S08000024,"",Lymphoma,"",1,"",1,""
5821,2018Q3,S08000016,S08000024,"",Ovarian,"",1,"",1,""
5822,2018Q3,S08000016,S08000024,"",Upper GI,"",2,"",1,""
5823,2018Q3,S08000016,S08000024,"",Urological,"",3,"",2,""
5824,2018Q3,S08000017,S08000015,"",Urological,"",1,"",1,""
5825,2018Q3,S08000017,S08000017,"",Breast,"",25,"",24,""
5826,2018Q3,S08000017,S08000017,"",Cervical,"",1,"",1,""
5827,2018Q3,S08000017,S08000017,"",Colorectal,"",26,"",24,""
5828,2018Q3,S08000017,S08000017,"",Head & Neck,"",4,"",4,""
5829,2018Q3,S08000017,S08000017,"",Lung,"",28,"",28,""
5830,2018Q3,S08000017,S08000017,"",Lymphoma,"",10,"",10,""
5831,2018Q3,S08000017,S08000017,"",Melanoma,"",4,"",4,""
5832,2018Q3,S08000017,S08000017,"",Ovarian,"",3,"",3,""
5833,2018Q3,S08000017,S08000017,"",Upper GI,"",23,"",23,""
5834,2018Q3,S08000017,S08000017,"",Urological,"",33,"",28,""
5835,2018Q3,S08000017,S08000024,"",Cervical,"",2,"",2,""
5836,2018Q3,S08000017,S08000024,"",Colorectal,"",3,"",3,""
5837,2018Q3,S08000017,S08000024,"",Head & Neck,"",2,"",2,""
5838,2018Q3,S08000017,S08000024,"",Lung,"",7,"",7,""
5839,2018Q3,S08000017,S08000024,"",Melanoma,"",3,"",3,""
5840,2018Q3,S08000017,S08000024,"",Ovarian,"",3,"",3,""
5841,2018Q3,S08000017,S08000024,"",Upper GI,"",8,"",8,""
5842,2018Q3,S08000017,S08000024,"",Urological,"",16,"",7,""
5843,2018Q3,S08000017,S08000031,"",Head & Neck,"",2,"",2,""
5844,2018Q3,S08000017,SB0801,"",Lung,"",7,"",7,""
5845,2018Q3,S08000019,S08000019,"",Breast,"",49,"",47,""
5846,2018Q3,S08000019,S08000019,"",Cervical,"",2,"",2,""
5847,2018Q3,S08000019,S08000019,"",Colorectal,"",51,"",46,""
5848,2018Q3,S08000019,S08000019,"",Head & Neck,"",9,"",9,""
5849,2018Q3,S08000019,S08000019,"",Lung,"",32,"",32,""
5850,2018Q3,S08000019,S08000019,"",Lymphoma,"",14,"",14,""
5851,2018Q3,S08000019,S08000019,"",Melanoma,"",19,"",17,""
5852,2018Q3,S08000019,S08000019,"",Ovarian,"",2,"",2,""
5853,2018Q3,S08000019,S08000019,"",Upper GI,"",33,"",33,""
5854,2018Q3,S08000019,S08000019,"",Urological,"",119,"",117,""
5855,2018Q3,S08000019,S08000024,"",Upper GI,"",3,"",3,""
5856,2018Q3,S08000019,S08000031,"",Cervical,"",3,"",3,""
5857,2018Q3,S08000019,S08000031,"",Colorectal,"",3,"",3,""
5858,2018Q3,S08000019,S08000031,"",Head & Neck,"",11,"",9,""
5859,2018Q3,S08000019,S08000031,"",Lung,"",13,"",12,""
5860,2018Q3,S08000019,S08000031,"",Ovarian,"",4,"",4,""
5861,2018Q3,S08000019,S08000031,"",Upper GI,"",6,"",6,""
5862,2018Q3,S08000019,S08000031,"",Urological,"",17,"",7,""
5863,2018Q3,S08000019,S08000032,"",Head & Neck,"",6,"",6,""
5864,2018Q3,S08000019,SB0801,"",Lung,"",10,"",10,""
5865,2018Q3,S08000020,S08000020,"",Breast,"",118,"",108,""
5866,2018Q3,S08000020,S08000020,"",Cervical,"",5,"",5,""
5867,2018Q3,S08000020,S08000020,"",Colorectal,"",87,"",83,""
5868,2018Q3,S08000020,S08000020,"",Head & Neck,"",26,"",26,""
5869,2018Q3,S08000020,S08000020,"",Lung,"",107,"",105,""
5870,2018Q3,S08000020,S08000020,"",Lymphoma,"",36,"",35,""
5871,2018Q3,S08000020,S08000020,"",Melanoma,"",22,"",22,""
5872,2018Q3,S08000020,S08000020,"",Ovarian,"",16,"",16,""
5873,2018Q3,S08000020,S08000020,"",Upper GI,"",66,"",66,""
5874,2018Q3,S08000020,S08000020,"",Urological,"",145,"",105,""
5875,2018Q3,S08000020,S08000022,"",Upper GI,"",1,"",1,""
5876,2018Q3,S08000020,S08000026,"",Colorectal,"",1,"",1,""
5877,2018Q3,S08000020,S08000026,"",Lung,"",1,"",1,""
5878,2018Q3,S08000020,S08000026,"",Urological,"",4,"",4,""
5879,2018Q3,S08000022,S08000020,"",Ovarian,"",2,"",2,""
5880,2018Q3,S08000022,S08000020,"",Urological,"",1,"",1,""
5881,2018Q3,S08000022,S08000022,"",Breast,"",75,"",74,""
5882,2018Q3,S08000022,S08000022,"",Cervical,"",1,"",1,""
5883,2018Q3,S08000022,S08000022,"",Colorectal,"",47,"",47,""
5884,2018Q3,S08000022,S08000022,"",Head & Neck,"",15,"",14,""
5885,2018Q3,S08000022,S08000022,"",Lung,"",38,"",38,""
5886,2018Q3,S08000022,S08000022,"",Lymphoma,"",14,"",14,""
5887,2018Q3,S08000022,S08000022,"",Melanoma,"",26,"",25,""
5888,2018Q3,S08000022,S08000022,"",Ovarian,"",9,"",9,""
5889,2018Q3,S08000022,S08000022,"",Upper GI,"",34,"",33,""
5890,2018Q3,S08000022,S08000022,"",Urological,"",56,"",43,""
5891,2018Q3,S08000022,S08000024,"",Breast,"",1,"",1,""
5892,2018Q3,S08000022,S08000024,"",Urological,"",4,"",3,""
5893,2018Q3,S08000022,S08000028,"",Breast,"",1,"",1,""
5894,2018Q3,S08000022,S08000028,"",Lung,"",1,"",1,""
5895,2018Q3,S08000022,S08000030,"",Head & Neck,"",2,"",2,""
5896,2018Q3,S08000022,S08000031,"",Lung,"",1,"",1,""
5897,2018Q3,S08000022,S08000031,"",Lymphoma,"",2,"",2,""
5898,2018Q3,S08000022,S08000031,"",Melanoma,"",3,"",3,""
5899,2018Q3,S08000022,S08000031,"",Upper GI,"",2,"",2,""
5900,2018Q3,S08000022,SB0801,"",Lung,"",9,"",9,""
5901,2018Q3,S08000024,S08000019,"",Breast,"",1,"",1,""
5902,2018Q3,S08000024,S08000024,"",Breast,"",255,"",252,""
5903,2018Q3,S08000024,S08000024,"",Cervical,"",16,"",16,""
5904,2018Q3,S08000024,S08000024,"",Colorectal,"",109,"",102,""
5905,2018Q3,S08000024,S08000024,"",Head & Neck,"",48,"",48,""
5906,2018Q3,S08000024,S08000024,"",Lung,"",104,"",104,""
5907,2018Q3,S08000024,S08000024,"",Lymphoma,"",42,"",42,""
5908,2018Q3,S08000024,S08000024,"",Melanoma,"",38,"",34,""
5909,2018Q3,S08000024,S08000024,"",Ovarian,"",10,"",9,""
5910,2018Q3,S08000024,S08000024,"",Upper GI,"",79,"",79,""
5911,2018Q3,S08000024,S08000024,"",Urological,"",183,"",155,""
5912,2018Q3,S08000024,S08000029,"",Breast,"",1,"",1,""
5913,2018Q3,S08000025,S08000020,"",Lymphoma,"",1,"",1,""
5914,2018Q3,S08000025,S08000020,"",Urological,"",3,"",2,""
5915,2018Q3,S08000025,S08000022,"",Upper GI,"",1,"",1,""
5916,2018Q3,S08000025,S08000025,"",Colorectal,"",2,"",2,""
5917,2018Q3,S08000025,S08000025,"",Lung,"",1,"",1,""
5918,2018Q3,S08000025,S08000025,"",Ovarian,"",1,"",1,""
5919,2018Q3,S08000025,S08000025,"",Upper GI,"",1,"",1,""
5920,2018Q3,S08000025,S08000025,"",Urological,"",1,"",1,""
5921,2018Q3,S08000026,S08000020,"",Cervical,"",2,"",2,""
5922,2018Q3,S08000026,S08000020,"",Colorectal,"",1,"",1,""
5923,2018Q3,S08000026,S08000020,"",Lymphoma,"",1,"",1,""
5924,2018Q3,S08000026,S08000020,"",Upper GI,"",1,"",1,""
5925,2018Q3,S08000026,S08000020,"",Urological,"",3,"",0,""
5926,2018Q3,S08000026,S08000026,"",Breast,"",1,"",1,""
5927,2018Q3,S08000026,S08000026,"",Colorectal,"",1,"",1,""
5928,2018Q3,S08000026,S08000026,"",Melanoma,"",2,"",2,""
5929,2018Q3,S08000026,S08000026,"",Ovarian,"",1,"",1,""
5930,2018Q3,S08000026,S08000026,"",Upper GI,"",2,"",2,""
5931,2018Q3,S08000026,S08000026,"",Urological,"",4,"",4,""
5932,2018Q3,S08000028,S08000022,"",Colorectal,"",5,"",3,""
5933,2018Q3,S08000028,S08000022,"",Lung,"",3,"",3,""
5934,2018Q3,S08000028,S08000022,"",Melanoma,"",1,"",1,""
5935,2018Q3,S08000028,S08000022,"",Upper GI,"",2,"",2,""
5936,2018Q3,S08000028,S08000028,"",Breast,"",2,"",2,""
5937,2018Q3,S08000028,S08000028,"",Colorectal,"",2,"",2,""
5938,2018Q3,S08000028,S08000028,"",Lung,"",3,"",3,""
5939,2018Q3,S08000028,S08000028,"",Ovarian,"",1,"",1,""
5940,2018Q3,S08000028,S08000028,"",Urological,"",3,"",3,""
5941,2018Q3,S08000028,S08000031,"",Melanoma,"",1,"",0,""
5942,2018Q3,S08000028,S08000031,"",Ovarian,"",1,"",1,""
5943,2018Q3,S08000028,S08000031,"",Upper GI,"",1,"",1,""
5944,2018Q3,S08000028,SB0801,"",Lung,"",2,"",2,""
5945,2018Q3,S08000029,S08000024,"",Breast,"",1,"",1,""
5946,2018Q3,S08000029,S08000024,"",Cervical,"",4,"",4,""
5947,2018Q3,S08000029,S08000024,"",Colorectal,"",9,"",9,""
5948,2018Q3,S08000029,S08000024,"",Head & Neck,"",18,"",18,""
5949,2018Q3,S08000029,S08000024,"",Lung,"",30,"",28,""
5950,2018Q3,S08000029,S08000024,"",Lymphoma,"",1,"",1,""
5951,2018Q3,S08000029,S08000024,"",Ovarian,"",1,"",1,""
5952,2018Q3,S08000029,S08000024,"",Upper GI,"",8,"",8,""
5953,2018Q3,S08000029,S08000024,"",Urological,"",14,"",13,""
5954,2018Q3,S08000029,S08000029,"",Breast,"",48,"",45,""
5955,2018Q3,S08000029,S08000029,"",Cervical,"",4,"",4,""
5956,2018Q3,S08000029,S08000029,"",Colorectal,"",53,"",53,""
5957,2018Q3,S08000029,S08000029,"",Head & Neck,"",8,"",8,""
5958,2018Q3,S08000029,S08000029,"",Lung,"",56,"",56,""
5959,2018Q3,S08000029,S08000029,"",Lymphoma,"",19,"",19,""
5960,2018Q3,S08000029,S08000029,"",Melanoma,"",25,"",25,""
5961,2018Q3,S08000029,S08000029,"",Ovarian,"",6,"",5,""
5962,2018Q3,S08000029,S08000029,"",Upper GI,"",31,"",31,""
5963,2018Q3,S08000029,S08000029,"",Urological,"",83,"",72,""
5964,2018Q3,S08000029,S08000030,"",Colorectal,"",1,"",1,""
5965,2018Q3,S08000029,S08000030,"",Head & Neck,"",7,"",6,""
5966,2018Q3,S08000029,S08000030,"",Lung,"",3,"",2,""
5967,2018Q3,S08000029,S08000030,"",Melanoma,"",4,"",4,""
5968,2018Q3,S08000030,S08000024,"",Lung,"",12,"",11,""
5969,2018Q3,S08000030,S08000024,"",Urological,"",1,"",1,""
5970,2018Q3,S08000030,S08000030,"",Breast,"",112,"",101,""
5971,2018Q3,S08000030,S08000030,"",Cervical,"",11,"",11,""
5972,2018Q3,S08000030,S08000030,"",Colorectal,"",67,"",64,""
5973,2018Q3,S08000030,S08000030,"",Head & Neck,"",22,"",20,""
5974,2018Q3,S08000030,S08000030,"",Lung,"",61,"",57,""
5975,2018Q3,S08000030,S08000030,"",Lymphoma,"",13,"",13,""
