Time_period,Geography_Level,Area_name,Specialty,Quarterly_available_staffed_bed_days,Quarterly_occupied_bed_days,Daily_average_available_staffed_beds,Daily_average_occupied_beds,Percentage_occupancy
Oct - Dec-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,306,306,3.3,3.3,100
Jan - Mar-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,332,332,3.7,3.7,100
Jan - Mar-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,332,332,3.7,3.7,100
Apr - Jun-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,264,264,2.9,2.9,100
Apr - Jun-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,264,264,2.9,2.9,100
Jul - Sep-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,232,232,2.5,2.5,100
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,232,232,2.5,2.5,100
Oct - Dec-19,NHS Dumfries & Galloway,Galloway Community Hospital,Haematology,22,22,0.2,0.2,100
Oct - Dec-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,166,166,1.8,1.8,100
Oct - Dec-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,188,188,2,2,100
Jan - Mar-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,187,187,2.1,2.1,100
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,187,187,2.1,2.1,100
Apr - Jun-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,224,224,2.5,2.5,100
Apr - Jun-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,224,224,2.5,2.5,100
Jul - Sep-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,262,262,2.8,2.8,100
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,262,262,2.8,2.8,100
Oct - Dec-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,417,417,4.5,4.5,100
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,417,417,4.5,4.5,100
Jan - Mar-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,169,169,1.9,1.9,100
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,169,169,1.9,1.9,100
Apr - Jun-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,204,204,2.2,2.2,100
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,204,204,2.2,2.2,100
Jul - Sep-21,NHS Dumfries & Galloway,Galloway Community Hospital,Haematology,1,1,0,0,100
Jul - Sep-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,411,411,4.5,4.5,100
Jul - Sep-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,412,412,4.5,4.5,100
Oct - Dec-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,302,302,3.3,3.3,100
Oct - Dec-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,302,302,3.3,3.3,100
Jan - Mar-22,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,366,366,4.1,4.1,100
Jan - Mar-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,366,366,4.1,4.1,100
Apr - Jun-22,NHS Dumfries & Galloway,Galloway Community Hospital,Haematology,4,4,0,0,100
Apr - Jun-22,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Haematology,415,415,4.6,4.6,100
Apr - Jun-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Haematology,419,419,4.6,4.6,100
Apr - Jun-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,1,1,0,0,100
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,1,1,0,0,100
Jan - Mar-20,NHS Dumfries & Galloway,Galloway Community Hospital,Infectious Diseases,10,10,0.1,0.1,100
Jan - Mar-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,1,1,0,0,100
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,11,11,0.1,0.1,100
Jul - Sep-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,101,101,1.1,1.1,100
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,101,101,1.1,1.1,100
Oct - Dec-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,32,32,0.3,0.3,100
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,32,32,0.3,0.3,100
Jan - Mar-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,148,148,1.6,1.6,100
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,148,148,1.6,1.6,100
Apr - Jun-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,69,69,0.8,0.8,100
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,69,69,0.8,0.8,100
Jul - Sep-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,151,151,1.6,1.6,100
Jul - Sep-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,151,151,1.6,1.6,100
Oct - Dec-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,196,196,2.1,2.1,100
Oct - Dec-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,196,196,2.1,2.1,100
Jan - Mar-22,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,265,265,2.9,2.9,100
Jan - Mar-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,265,265,2.9,2.9,100
Apr - Jun-22,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Infectious Diseases,193,193,2.1,2.1,100
Apr - Jun-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Infectious Diseases,193,193,2.1,2.1,100
Apr - Jun-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1352,535,14.9,5.9,39.6
Jul - Sep-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1210,686,13.2,7.5,56.7
Oct - Dec-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1062,546,11.5,5.9,51.4
Jan - Mar-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1049,607,11.7,6.7,57.9
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1106,567,12.2,6.2,51.3
Jul - Sep-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1155,587,12.6,6.4,50.8
Oct - Dec-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1047,438,11.4,4.8,41.8
Jan - Mar-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,990,420,11,4.7,42.4
Apr - Jun-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1112,495,12.2,5.4,44.5
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1181,557,12.8,6.1,47.2
Oct - Dec-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1175,556,12.8,6,47.3
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1195,526,13.1,5.8,44
Apr - Jun-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1289,379,14.2,4.2,29.4
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1350,460,14.7,5,34.1
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1342,520,14.6,5.7,38.7
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1260,472,14,5.2,37.5
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1148,362,12.6,4,31.5
Jul - Sep-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1039,238,11.3,2.6,22.9
Oct - Dec-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1051,237,11.4,2.6,22.5
Jan - Mar-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1168,376,13,4.2,32.2
Apr - Jun-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability,1168,371,12.8,4.1,31.8
Apr - Jun-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1352,535,14.9,5.9,39.6
Jul - Sep-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1210,686,13.2,7.5,56.7
Oct - Dec-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1062,546,11.5,5.9,51.4
Jan - Mar-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1049,607,11.7,6.7,57.9
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1106,567,12.2,6.2,51.3
Jul - Sep-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1155,587,12.6,6.4,50.8
Oct - Dec-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1047,438,11.4,4.8,41.8
Jan - Mar-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,990,420,11,4.7,42.4
Apr - Jun-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1112,495,12.2,5.4,44.5
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1181,557,12.8,6.1,47.2
Oct - Dec-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1175,556,12.8,6,47.3
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1195,526,13.1,5.8,44
Apr - Jun-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1289,379,14.2,4.2,29.4
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1350,460,14.7,5,34.1
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1342,520,14.6,5.7,38.7
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1260,472,14,5.2,37.5
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1148,362,12.6,4,31.5
Jul - Sep-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1039,238,11.3,2.6,22.9
Oct - Dec-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1051,237,11.4,2.6,22.5
Jan - Mar-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1168,376,13,4.2,32.2
Apr - Jun-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Learning Disability Grouping,1168,371,12.8,4.1,31.8
Apr - Jun-17,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2826,2068,31.1,22.7,73.2
Apr - Jun-17,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17979,15659,197.6,172.1,87.1
Apr - Jun-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,25953,22400,285.2,246.2,86.3
Jul - Sep-17,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2445,1539,26.6,16.7,62.9
Jul - Sep-17,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17031,14904,185.1,162,87.5
Jul - Sep-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,23867,20335,259.4,221,85.2
Oct - Dec-17,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2050,1224,22.3,13.3,59.7
Oct - Dec-17,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,20076,16646,218.2,180.9,82.9
Oct - Dec-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,26447,21946,287.5,238.5,83
Jan - Mar-18,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1413,673,15.7,7.5,47.6
Jan - Mar-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17496,17200,194.4,191.1,98.3
Jan - Mar-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,23275,22164,258.6,246.3,95.2
Apr - Jun-18,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2141,1117,23.5,12.3,52.2
Apr - Jun-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,15899,15777,174.7,173.4,99.2
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,22411,21167,246.3,232.6,94.4
Jul - Sep-18,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2095,1107,22.8,12,52.8
Jul - Sep-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,16569,16310,180.1,177.3,98.4
Jul - Sep-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,22557,21193,245.2,230.4,94
Oct - Dec-18,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2038,1138,22.2,12.4,55.8
Oct - Dec-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,16371,15971,177.9,173.6,97.6
Oct - Dec-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,22842,21436,248.3,233,93.8
Jan - Mar-19,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1937,1149,21.5,12.8,59.3
Jan - Mar-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,18545,17795,206.1,197.7,96
Jan - Mar-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,24993,23421,277.7,260.2,93.7
Apr - Jun-19,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1762,803,19.4,8.8,45.6
Apr - Jun-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,18302,17492,201.1,192.2,95.6
Apr - Jun-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,24634,22818,270.7,250.7,92.6
Jul - Sep-19,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2075,936,22.6,10.2,45.1
Jul - Sep-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17704,17050,192.4,185.3,96.3
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,24394,22540,265.2,245,92.4
Oct - Dec-19,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1760,964,19.1,10.5,54.8
Oct - Dec-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,18381,17545,199.8,190.7,95.5
Oct - Dec-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,24788,23112,269.4,251.2,93.2
Jan - Mar-20,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1686,1197,18.5,13.2,71
Jan - Mar-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17468,16604,192,182.5,95.1
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,23708,22268,260.5,244.7,93.9
Apr - Jun-20,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,2280,647,25.1,7.1,28.4
Apr - Jun-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,15012,10930,165,120.1,72.8
Apr - Jun-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,21424,14161,235.4,155.6,66.1
Jul - Sep-20,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1635,641,17.8,7,39.2
Jul - Sep-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,16254,15565,176.7,169.2,95.8
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,23850,19556,259.2,212.6,82
Oct - Dec-20,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1711,339,18.6,3.7,19.8
Oct - Dec-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,16484,15692,179.2,170.6,95.2
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,21955,18912,238.6,205.6,86.1
Jan - Mar-21,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,1455,492,16.2,5.5,33.8
Jan - Mar-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,16297,15736,181.1,174.8,96.6
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,19205,17586,213.4,195.4,91.6
Apr - Jun-21,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,911,167,10,1.8,18.3
Apr - Jun-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,16680,15723,183.3,172.8,94.3
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,18895,17162,207.6,188.6,90.8
Jul - Sep-21,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,383,36,4.2,0.4,9.4
Jul - Sep-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17807,17106,193.6,185.9,96.1
Jul - Sep-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,19478,18420,211.7,200.2,94.6
Oct - Dec-21,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,448,64,4.9,0.7,14.3
Oct - Dec-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,18280,16982,198.7,184.6,92.9
Oct - Dec-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,20312,18362,220.8,199.6,90.4
Jan - Mar-22,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,437,10,4.9,0.1,2.3
Jan - Mar-22,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,17793,16567,197.7,184.1,93.1
Jan - Mar-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,19490,17831,216.6,198.1,91.5
Apr - Jun-22,NHS Dumfries & Galloway,Galloway Community Hospital,Medical Grouping,406,94,4.5,1,23.2
Apr - Jun-22,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Medical Grouping,18443,17352,202.7,190.7,94.1
Apr - Jun-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Medical Grouping,20152,18737,221.5,205.9,93
Apr - Jun-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,6702,4711,73.6,51.8,70.3
Jul - Sep-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7498,5027,81.5,54.6,67
Oct - Dec-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7552,4336,82.1,47.1,57.4
Jan - Mar-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7489,4419,83.2,49.1,59
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7539,4658,82.8,51.2,61.8
Jul - Sep-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7560,5325,82.2,57.9,70.4
Oct - Dec-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7769,5875,84.4,63.9,75.6
Jan - Mar-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7423,5810,82.5,64.6,78.3
Apr - Jun-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7138,5579,78.4,61.3,78.2
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7140,5553,77.6,60.4,77.8
Oct - Dec-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7304,5516,79.4,60,75.5
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7314,5579,80.4,61.3,76.3
Apr - Jun-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,5982,4329,65.7,47.6,72.4
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,6577,5430,71.5,59,82.6
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,6672,5498,72.5,59.8,82.4
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,6756,5734,75.1,63.7,84.9
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7528,6628,82.7,72.8,88
Jul - Sep-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7406,6698,80.5,72.8,90.4
Oct - Dec-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7282,6495,79.2,70.6,89.2
Jan - Mar-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7134,5976,79.3,66.4,83.8
Apr - Jun-22,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Mental Health Grouping,7333,6218,80.6,68.3,84.8
Apr - Jun-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Neurology,2,2,0,0,100
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Neurology,2,2,0,0,100
Jul - Sep-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Neurology,1,1,0,0,100
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Neurology,1,1,0,0,100
Oct - Dec-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Neurology,7,7,0.1,0.1,100
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Neurology,7,7,0.1,0.1,100
Apr - Jun-17,NHS Dumfries & Galloway,Galloway Community Hospital,Obstetrics,1,1,0,0,100
Apr - Jun-17,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,2654,864,29.2,9.5,32.6
Apr - Jun-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,2655,865,29.2,9.5,32.6
Jul - Sep-17,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,2349,852,25.5,9.3,36.3
Jul - Sep-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,2349,852,25.5,9.3,36.3
Oct - Dec-17,NHS Dumfries & Galloway,Galloway Community Hospital,Obstetrics,2,2,0,0,100
Oct - Dec-17,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1859,834,20.2,9.1,44.9
Oct - Dec-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1861,836,20.2,9.1,44.9
Jan - Mar-18,NHS Dumfries & Galloway,Galloway Community Hospital,Obstetrics,2,2,0,0,100
Jan - Mar-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1833,868,20.4,9.6,47.4
Jan - Mar-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1835,870,20.4,9.7,47.4
Apr - Jun-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1913,858,21,9.4,44.9
Apr - Jun-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1913,858,21,9.4,44.9
Jul - Sep-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1933,831,21,9,43
Jul - Sep-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1933,831,21,9,43
Oct - Dec-18,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1933,800,21,8.7,41.4
Oct - Dec-18,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1933,800,21,8.7,41.4
Jan - Mar-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1890,818,21,9.1,43.3
Jan - Mar-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1890,818,21,9.1,43.3
Apr - Jun-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1915,733,21,8.1,38.3
Apr - Jun-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1915,733,21,8.1,38.3
Jul - Sep-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1932,863,21,9.4,44.7
Jul - Sep-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1932,863,21,9.4,44.7
Oct - Dec-19,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1932,714,21,7.8,37
Oct - Dec-19,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1932,714,21,7.8,37
Jan - Mar-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1922,822,21.1,9,42.8
Jan - Mar-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1922,822,21.1,9,42.8
Apr - Jun-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1913,642,21,7.1,33.6
Apr - Jun-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1913,642,21,7.1,33.6
Jul - Sep-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1934,848,21,9.2,43.8
Jul - Sep-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1934,848,21,9.2,43.8
Oct - Dec-20,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,2583,928,28.1,10.1,35.9
Oct - Dec-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,2583,928,28.1,10.1,35.9
Jan - Mar-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1891,623,21,6.9,32.9
Jan - Mar-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1891,623,21,6.9,32.9
Apr - Jun-21,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary,Obstetrics,1914,782,21,8.6,40.9
Apr - Jun-21,NHS Dumfries & Galloway,NHS Dumfries & Galloway,Obstetrics,1914,782,21,8.6,40.9
