_id,WeekEnding,HB,HBQF,AdmissionType,AdmissionTypeQF,Specialty,SpecialtyQF,NumberAdmissions,Average20182019,PercentVariation
18609,20220814,S08000028,"",All,d,Medical (incl. Cardiology & Cancer),"",27,36,-25
18610,20220814,S08000028,"",All,d,Surgery,"",25,26.5,-5.7
18611,20220814,S08000029,"",All,d,Accident & Emergency,"",56,66,-15.2
18612,20220814,S08000029,"",All,d,All,d,796,917.5,-13.2
18613,20220814,S08000029,"",All,d,Cardiology,"",18,31,-41.9
18614,20220814,S08000029,"",All,d,Community,"",12,13,-7.7
18615,20220814,S08000029,"",All,d,Gynaecology,"",43,30,43.3
18616,20220814,S08000029,"",All,d,Medical (excl. Cardiology & Cancer),"",375,433.5,-13.5
18617,20220814,S08000029,"",All,d,Medical (incl. Cardiology & Cancer),"",393,464.5,-15.4
18618,20220814,S08000029,"",All,d,Paediatrics (medical & surgical),"",72,71,1.4
18619,20220814,S08000029,"",All,d,Paediatrics (medical),"",72,71,1.4
18620,20220814,S08000029,"",All,d,Surgery,"",220,273,-19.4
18621,20220814,S08000030,"",All,d,Accident & Emergency,"",90,68,32.4
18622,20220814,S08000030,"",All,d,All,d,1144,1166.5,-1.9
18623,20220814,S08000030,"",All,d,Cancer,"",19,24,-20.8
18624,20220814,S08000030,"",All,d,Cardiology,"",26,28.5,-8.8
18625,20220814,S08000030,"",All,d,Gynaecology,"",25,41.5,-39.8
18626,20220814,S08000030,"",All,d,Medical (excl. Cardiology & Cancer),"",492,498,-1.2
18627,20220814,S08000030,"",All,d,Medical (incl. Cardiology & Cancer),"",537,550.5,-2.5
18628,20220814,S08000030,"",All,d,Paediatrics (medical & surgical),"",104,106,-1.9
18629,20220814,S08000030,"",All,d,Paediatrics (medical),"",102,103.5,-1.4
18630,20220814,S08000030,"",All,d,Surgery,"",387,380,1.8
18631,20220814,S08000031,"",All,d,Accident & Emergency,"",27,45.5,-40.7
18632,20220814,S08000031,"",All,d,All,d,3616,3952.5,-8.5
18633,20220814,S08000031,"",All,d,Cancer,"",107,84.5,26.6
18634,20220814,S08000031,"",All,d,Cardiology,"",121,145.5,-16.8
18635,20220814,S08000031,"",All,d,Gynaecology,"",104,131.5,-20.9
18636,20220814,S08000031,"",All,d,Medical (excl. Cardiology & Cancer),"",1673,1845.5,-9.3
18637,20220814,S08000031,"",All,d,Medical (incl. Cardiology & Cancer),"",1901,2075.5,-8.4
18638,20220814,S08000031,"",All,d,Paediatrics (medical & surgical),"",253,214,18.2
18639,20220814,S08000031,"",All,d,Paediatrics (medical),"",224,181,23.8
18640,20220814,S08000031,"",All,d,Paediatrics (surgical),"",29,33,-12.1
18641,20220814,S08000031,"",All,d,Surgery,"",1314,1476.5,-11
18642,20220814,S08000031,"",All,d,NA,NA,17,6.5,161.5
18643,20220814,S08000032,"",All,d,Accident & Emergency,"",10,4,150
18644,20220814,S08000032,"",All,d,All,d,1514,1639.5,-7.7
18645,20220814,S08000032,"",All,d,Cardiology,"",80,79,1.3
18646,20220814,S08000032,"",All,d,Gynaecology,"",36,36,0
18647,20220814,S08000032,"",All,d,Medical (excl. Cardiology & Cancer),"",803,854,-6
18648,20220814,S08000032,"",All,d,Medical (incl. Cardiology & Cancer),"",883,933.5,-5.4
18649,20220814,S08000032,"",All,d,Paediatrics (medical & surgical),"",181,184,-1.6
18650,20220814,S08000032,"",All,d,Paediatrics (medical),"",181,184,-1.6
18651,20220814,S08000032,"",All,d,Surgery,"",404,482,-16.2
18652,20220814,S92000003,d,All,d,Accident & Emergency,"",246,400,-38.5
18653,20220814,S92000003,d,All,d,All,d,13315,14944,-10.9
18654,20220814,S92000003,d,All,d,Cancer,"",265,247.5,7.1
18655,20220814,S92000003,d,All,d,Cardiology,"",485,527.5,-8.1
18656,20220814,S92000003,d,All,d,Community,"",171,235,-27.2
18657,20220814,S92000003,d,All,d,Gynaecology,"",338,401,-15.7
18658,20220814,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),"",6185,6973.5,-11.3
18659,20220814,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),"",6935,7748.5,-10.5
18660,20220814,S92000003,d,All,d,Paediatrics (medical & surgical),"",1205,1056,14.1
18661,20220814,S92000003,d,All,d,Paediatrics (medical),"",1125,984,14.3
18662,20220814,S92000003,d,All,d,Paediatrics (surgical),"",80,72,11.1
18663,20220814,S92000003,d,All,d,Surgery,"",4395,5087,-13.6
18664,20220814,S92000003,d,All,d,NA,NA,23,11,109.1
18665,20220814,NA,NA,All,d,All,d,201,221.5,-9.3
18666,20220814,NA,NA,All,d,Cardiology,"",72,73,-1.4
18667,20220814,NA,NA,All,d,Medical (incl. Cardiology & Cancer),"",76,76,0
18668,20220814,NA,NA,All,d,Surgery,"",125,145.5,-14.1
18669,20220821,S08000015,"",All,d,All,d,895,1097.5,-18.5
18670,20220821,S08000015,"",All,d,Cardiology,"",7,14.5,-51.7
18671,20220821,S08000015,"",All,d,Medical (excl. Cardiology & Cancer),"",552,625.5,-11.8
18672,20220821,S08000015,"",All,d,Medical (incl. Cardiology & Cancer),"",559,640,-12.7
18673,20220821,S08000015,"",All,d,Paediatrics (medical & surgical),"",92,101,-8.9
18674,20220821,S08000015,"",All,d,Paediatrics (medical),"",92,101,-8.9
18675,20220821,S08000015,"",All,d,Surgery,"",237,327.5,-27.6
18676,20220821,S08000015,"",All,d,NA,NA,7,5,40
18677,20220821,S08000016,"",All,d,All,d,171,247,-30.8
18678,20220821,S08000016,"",All,d,Cardiology,"",8,11,-27.3
18679,20220821,S08000016,"",All,d,Community,"",5,14,-64.3
18680,20220821,S08000016,"",All,d,Medical (excl. Cardiology & Cancer),"",78,128,-39.1
18681,20220821,S08000016,"",All,d,Medical (incl. Cardiology & Cancer),"",86,139,-38.1
18682,20220821,S08000016,"",All,d,Paediatrics (medical & surgical),"",24,25.5,-5.9
18683,20220821,S08000016,"",All,d,Paediatrics (medical),"",24,25.5,-5.9
18684,20220821,S08000016,"",All,d,Surgery,"",56,68.5,-18.2
18685,20220821,S08000017,"",All,d,All,d,327,401.5,-18.6
18686,20220821,S08000017,"",All,d,Cardiology,"",7,7,0
18687,20220821,S08000017,"",All,d,Community,"",32,29.5,8.5
18688,20220821,S08000017,"",All,d,Medical (excl. Cardiology & Cancer),"",155,188.5,-17.8
18689,20220821,S08000017,"",All,d,Medical (incl. Cardiology & Cancer),"",162,195.5,-17.1
18690,20220821,S08000017,"",All,d,Paediatrics (medical & surgical),"",35,35,0
18691,20220821,S08000017,"",All,d,Paediatrics (medical),"",35,35,0
18692,20220821,S08000017,"",All,d,Surgery,"",94,124.5,-24.5
18693,20220821,S08000019,"",All,d,All,d,745,950,-21.6
18694,20220821,S08000019,"",All,d,Gynaecology,"",34,28,21.4
18695,20220821,S08000019,"",All,d,Medical (excl. Cardiology & Cancer),"",427,577,-26
18696,20220821,S08000019,"",All,d,Medical (incl. Cardiology & Cancer),"",428,582.5,-26.5
18697,20220821,S08000019,"",All,d,Paediatrics (medical & surgical),"",73,69,5.8
18698,20220821,S08000019,"",All,d,Paediatrics (medical),"",73,68.5,6.6
18699,20220821,S08000019,"",All,d,Surgery,"",208,259,-19.7
18700,20220821,S08000020,"",All,d,Accident & Emergency,"",15,63.5,-76.4
18701,20220821,S08000020,"",All,d,All,d,1201,1338,-10.2
18702,20220821,S08000020,"",All,d,Cancer,"",29,30,-3.3
18703,20220821,S08000020,"",All,d,Cardiology,"",45,34.5,30.4
18704,20220821,S08000020,"",All,d,Community,"",19,47.5,-60
18705,20220821,S08000020,"",All,d,Gynaecology,"",18,34.5,-47.8
18706,20220821,S08000020,"",All,d,Medical (excl. Cardiology & Cancer),"",530,532,-0.4
18707,20220821,S08000020,"",All,d,Medical (incl. Cardiology & Cancer),"",604,596.5,1.3
18708,20220821,S08000020,"",All,d,Paediatrics (medical & surgical),"",116,93,24.7
18709,20220821,S08000020,"",All,d,Paediatrics (medical),"",104,79.5,30.8
18710,20220821,S08000020,"",All,d,Paediatrics (surgical),"",12,13.5,-11.1
18711,20220821,S08000020,"",All,d,Surgery,"",429,502.5,-14.6
18712,20220821,S08000022,"",All,d,All,d,763,807.5,-5.5
18713,20220821,S08000022,"",All,d,Cardiology,"",12,10,20
18714,20220821,S08000022,"",All,d,Community,"",82,88.5,-7.3
18715,20220821,S08000022,"",All,d,Gynaecology,"",31,26.5,17
18716,20220821,S08000022,"",All,d,Medical (excl. Cardiology & Cancer),"",314,333.5,-5.8
18717,20220821,S08000022,"",All,d,Medical (incl. Cardiology & Cancer),"",330,349.5,-5.6
18718,20220821,S08000022,"",All,d,Paediatrics (medical & surgical),"",84,53.5,57
18719,20220821,S08000022,"",All,d,Paediatrics (medical),"",83,53.5,55.1
18720,20220821,S08000022,"",All,d,Surgery,"",236,289.5,-18.5
18721,20220821,S08000024,"",All,d,Accident & Emergency,"",45,134,-66.4
18722,20220821,S08000024,"",All,d,All,d,1957,2248,-12.9
18723,20220821,S08000024,"",All,d,Cancer,"",93,87,6.9
18724,20220821,S08000024,"",All,d,Cardiology,"",76,85.5,-11.1
18725,20220821,S08000024,"",All,d,Gynaecology,"",56,56,0
18726,20220821,S08000024,"",All,d,Medical (excl. Cardiology & Cancer),"",852,947,-10
18727,20220821,S08000024,"",All,d,Medical (incl. Cardiology & Cancer),"",1021,1119.5,-8.8
18728,20220821,S08000024,"",All,d,Paediatrics (medical & surgical),"",163,153.5,6.2
18729,20220821,S08000024,"",All,d,Paediatrics (medical),"",142,129,10.1
18730,20220821,S08000024,"",All,d,Paediatrics (surgical),"",21,24.5,-14.3
18731,20220821,S08000024,"",All,d,Surgery,"",672,785,-14.4
18732,20220821,S08000025,"",All,d,All,d,39,34,14.7
18733,20220821,S08000025,"",All,d,Medical (excl. Cardiology & Cancer),"",25,18.5,35.1
18734,20220821,S08000025,"",All,d,Medical (incl. Cardiology & Cancer),"",25,19,31.6
18735,20220821,S08000025,"",All,d,Surgery,"",12,14,-14.3
18736,20220821,S08000026,"",All,d,All,d,43,42,2.4
18737,20220821,S08000026,"",All,d,Medical (excl. Cardiology & Cancer),"",31,20,55
18738,20220821,S08000026,"",All,d,Medical (incl. Cardiology & Cancer),"",31,20,55
18739,20220821,S08000026,"",All,d,Surgery,"",12,22,-45.5
18740,20220821,S08000028,"",All,d,All,d,86,81.5,5.5
18741,20220821,S08000028,"",All,d,Community,"",7,19.5,-64.1
18742,20220821,S08000028,"",All,d,Medical (excl. Cardiology & Cancer),"",41,31.5,30.2
18743,20220821,S08000028,"",All,d,Medical (incl. Cardiology & Cancer),"",41,31.5,30.2
18744,20220821,S08000028,"",All,d,Surgery,"",32,26,23.1
18745,20220821,S08000029,"",All,d,Accident & Emergency,"",77,58,32.8
18746,20220821,S08000029,"",All,d,All,d,858,895,-4.1
18747,20220821,S08000029,"",All,d,Cardiology,"",25,35,-28.6
18748,20220821,S08000029,"",All,d,Community,"",10,8,25
18749,20220821,S08000029,"",All,d,Gynaecology,"",33,37,-10.8
18750,20220821,S08000029,"",All,d,Medical (excl. Cardiology & Cancer),"",375,428,-12.4
18751,20220821,S08000029,"",All,d,Medical (incl. Cardiology & Cancer),"",401,463,-13.4
18752,20220821,S08000029,"",All,d,Paediatrics (medical & surgical),"",78,68.5,13.9
18753,20220821,S08000029,"",All,d,Paediatrics (medical),"",77,68.5,12.4
18754,20220821,S08000029,"",All,d,Surgery,"",259,260.5,-0.6
18755,20220821,S08000030,"",All,d,Accident & Emergency,"",77,71.5,7.7
18756,20220821,S08000030,"",All,d,All,d,1186,1224,-3.1
18757,20220821,S08000030,"",All,d,Cancer,"",14,23.5,-40.4
18758,20220821,S08000030,"",All,d,Cardiology,"",37,31.5,17.5
18759,20220821,S08000030,"",All,d,Gynaecology,"",40,37,8.1
18760,20220821,S08000030,"",All,d,Medical (excl. Cardiology & Cancer),"",533,537.5,-0.8
18761,20220821,S08000030,"",All,d,Medical (incl. Cardiology & Cancer),"",584,592.5,-1.4
18762,20220821,S08000030,"",All,d,Paediatrics (medical & surgical),"",117,107.5,8.8
18763,20220821,S08000030,"",All,d,Paediatrics (medical),"",115,106.5,8
18764,20220821,S08000030,"",All,d,Surgery,"",366,400.5,-8.6
18765,20220821,S08000031,"",All,d,Accident & Emergency,"",14,46.5,-69.9
18766,20220821,S08000031,"",All,d,All,d,3520,4017,-12.4
18767,20220821,S08000031,"",All,d,Cancer,"",82,82,0
18768,20220821,S08000031,"",All,d,Cardiology,"",99,166,-40.4
18769,20220821,S08000031,"",All,d,Gynaecology,"",112,138.5,-19.1
18770,20220821,S08000031,"",All,d,Medical (excl. Cardiology & Cancer),"",1604,1877.5,-14.6
18771,20220821,S08000031,"",All,d,Medical (incl. Cardiology & Cancer),"",1785,2125.5,-16
18772,20220821,S08000031,"",All,d,Paediatrics (medical & surgical),"",254,234.5,8.3
18773,20220821,S08000031,"",All,d,Paediatrics (medical),"",212,197.5,7.3
18774,20220821,S08000031,"",All,d,Paediatrics (surgical),"",42,37,13.5
18775,20220821,S08000031,"",All,d,Surgery,"",1340,1464,-8.5
18776,20220821,S08000031,"",All,d,NA,NA,15,6.5,130.8
18777,20220821,S08000032,"",All,d,Accident & Emergency,"",9,5.5,63.6
18778,20220821,S08000032,"",All,d,All,d,1606,1715,-6.4
18779,20220821,S08000032,"",All,d,Cardiology,"",89,77.5,14.8
18780,20220821,S08000032,"",All,d,Gynaecology,"",38,42.5,-10.6
18781,20220821,S08000032,"",All,d,Medical (excl. Cardiology & Cancer),"",853,916,-6.9
18782,20220821,S08000032,"",All,d,Medical (incl. Cardiology & Cancer),"",942,995,-5.3
18783,20220821,S08000032,"",All,d,Paediatrics (medical & surgical),"",202,182.5,10.7
18784,20220821,S08000032,"",All,d,Paediatrics (medical),"",202,181.5,11.3
18785,20220821,S08000032,"",All,d,Surgery,"",415,489,-15.1
18786,20220821,S92000003,d,All,d,Accident & Emergency,"",238,414.5,-42.6
18787,20220821,S92000003,d,All,d,All,d,13581,15312.5,-11.3
18788,20220821,S92000003,d,All,d,Cancer,"",223,230.5,-3.3
18789,20220821,S92000003,d,All,d,Cardiology,"",484,540,-10.4
18790,20220821,S92000003,d,All,d,Community,"",157,222,-29.3
18791,20220821,S92000003,d,All,d,Gynaecology,"",370,419,-11.7
18792,20220821,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),"",6374,7163.5,-11
18793,20220821,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),"",7081,7934,-10.8
18794,20220821,S92000003,d,All,d,Paediatrics (medical & surgical),"",1242,1126,10.3
18795,20220821,S92000003,d,All,d,Paediatrics (medical),"",1163,1048.5,10.9
18796,20220821,S92000003,d,All,d,Paediatrics (surgical),"",79,77.5,1.9
18797,20220821,S92000003,d,All,d,Surgery,"",4470,5182,-13.7
18798,20220821,S92000003,d,All,d,NA,NA,22,12,83.3
18799,20220821,NA,NA,All,d,All,d,184,214.5,-14.2
18800,20220821,NA,NA,All,d,Cardiology,"",78,62,25.8
18801,20220821,NA,NA,All,d,Medical (incl. Cardiology & Cancer),"",82,65,26.2
18802,20220821,NA,NA,All,d,Surgery,"",102,149.5,-31.8
18803,20220828,S08000015,"",All,d,Accident & Emergency,"",9,21.5,-58.1
18804,20220828,S08000015,"",All,d,All,d,890,1073,-17.1
18805,20220828,S08000015,"",All,d,Cardiology,"",10,20.5,-51.2
18806,20220828,S08000015,"",All,d,Medical (excl. Cardiology & Cancer),"",498,611.5,-18.6
18807,20220828,S08000015,"",All,d,Medical (incl. Cardiology & Cancer),"",508,632,-19.6
18808,20220828,S08000015,"",All,d,Paediatrics (medical & surgical),"",123,107,15
18809,20220828,S08000015,"",All,d,Paediatrics (medical),"",123,107,15
18810,20220828,S08000015,"",All,d,Surgery,"",246,310,-20.6
18811,20220828,S08000016,"",All,d,All,d,195,266.5,-26.8
18812,20220828,S08000016,"",All,d,Cardiology,"",8,7,14.3
18813,20220828,S08000016,"",All,d,Community,"",10,16.5,-39.4
18814,20220828,S08000016,"",All,d,Medical (excl. Cardiology & Cancer),"",93,131.5,-29.3
18815,20220828,S08000016,"",All,d,Medical (incl. Cardiology & Cancer),"",101,138.5,-27.1
18816,20220828,S08000016,"",All,d,Paediatrics (medical & surgical),"",29,24,20.8
18817,20220828,S08000016,"",All,d,Paediatrics (medical),"",29,24,20.8
18818,20220828,S08000016,"",All,d,Surgery,"",52,87.5,-40.6
18819,20220828,S08000017,"",All,d,All,d,376,401.5,-6.4
18820,20220828,S08000017,"",All,d,Community,"",30,34.5,-13
18821,20220828,S08000017,"",All,d,Gynaecology,"",6,14.5,-58.6
18822,20220828,S08000017,"",All,d,Medical (excl. Cardiology & Cancer),"",177,186,-4.8
18823,20220828,S08000017,"",All,d,Medical (incl. Cardiology & Cancer),"",179,190,-5.8
18824,20220828,S08000017,"",All,d,Paediatrics (medical & surgical),"",37,34,8.8
18825,20220828,S08000017,"",All,d,Paediatrics (medical),"",37,34,8.8
18826,20220828,S08000017,"",All,d,Surgery,"",124,128.5,-3.5
18827,20220828,S08000019,"",All,d,Accident & Emergency,"",6,13,-53.8
18828,20220828,S08000019,"",All,d,All,d,731,918,-20.4
18829,20220828,S08000019,"",All,d,Cardiology,"",5,4,25
18830,20220828,S08000019,"",All,d,Gynaecology,"",36,31,16.1
18831,20220828,S08000019,"",All,d,Medical (excl. Cardiology & Cancer),"",395,552,-28.4
18832,20220828,S08000019,"",All,d,Medical (incl. Cardiology & Cancer),"",400,556,-28.1
18833,20220828,S08000019,"",All,d,Paediatrics (medical & surgical),"",71,75,-5.3
18834,20220828,S08000019,"",All,d,Paediatrics (medical),"",71,75,-5.3
18835,20220828,S08000019,"",All,d,Surgery,"",218,243,-10.3
18836,20220828,S08000020,"",All,d,Accident & Emergency,"",12,65,-81.5
18837,20220828,S08000020,"",All,d,All,d,1242,1339,-7.2
18838,20220828,S08000020,"",All,d,Cancer,"",31,31.5,-1.6
18839,20220828,S08000020,"",All,d,Cardiology,"",40,34.5,15.9
18840,20220828,S08000020,"",All,d,Community,"",30,50,-40
18841,20220828,S08000020,"",All,d,Gynaecology,"",28,30.5,-8.2
18842,20220828,S08000020,"",All,d,Medical (excl. Cardiology & Cancer),"",487,504.5,-3.5
18843,20220828,S08000020,"",All,d,Medical (incl. Cardiology & Cancer),"",558,570.5,-2.2
18844,20220828,S08000020,"",All,d,Paediatrics (medical & surgical),"",117,88,33
18845,20220828,S08000020,"",All,d,Paediatrics (medical),"",106,73.5,44.2
18846,20220828,S08000020,"",All,d,Paediatrics (surgical),"",11,14.5,-24.1
18847,20220828,S08000020,"",All,d,Surgery,"",497,535,-7.1
18848,20220828,S08000022,"",All,d,All,d,720,834,-13.7
18849,20220828,S08000022,"",All,d,Cardiology,"",13,13.5,-3.7
18850,20220828,S08000022,"",All,d,Community,"",66,105,-37.1
18851,20220828,S08000022,"",All,d,Gynaecology,"",23,25.5,-9.8
18852,20220828,S08000022,"",All,d,Medical (excl. Cardiology & Cancer),"",286,336,-14.9
18853,20220828,S08000022,"",All,d,Medical (incl. Cardiology & Cancer),"",303,360,-15.8
18854,20220828,S08000022,"",All,d,Paediatrics (medical & surgical),"",77,55.5,38.7
18855,20220828,S08000022,"",All,d,Paediatrics (medical),"",77,55.5,38.7
18856,20220828,S08000022,"",All,d,Surgery,"",249,288,-13.5
18857,20220828,S08000024,"",All,d,Accident & Emergency,"",9,145,-93.8
18858,20220828,S08000024,"",All,d,All,d,1828,2264.5,-19.3
18859,20220828,S08000024,"",All,d,Cancer,"",95,102,-6.9
18860,20220828,S08000024,"",All,d,Cardiology,"",79,81,-2.5
18861,20220828,S08000024,"",All,d,Gynaecology,"",49,67.5,-27.4
18862,20220828,S08000024,"",All,d,Medical (excl. Cardiology & Cancer),"",784,936,-16.2
18863,20220828,S08000024,"",All,d,Medical (incl. Cardiology & Cancer),"",958,1119,-14.4
18864,20220828,S08000024,"",All,d,Paediatrics (medical & surgical),"",181,145.5,24.4
18865,20220828,S08000024,"",All,d,Paediatrics (medical),"",159,127.5,24.7
18866,20220828,S08000024,"",All,d,Paediatrics (surgical),"",22,18,22.2
18867,20220828,S08000024,"",All,d,Surgery,"",631,787.5,-19.9
18868,20220828,S08000025,"",All,d,All,d,31,39,-20.5
18869,20220828,S08000025,"",All,d,Medical (excl. Cardiology & Cancer),"",18,27.5,-34.5
18870,20220828,S08000025,"",All,d,Medical (incl. Cardiology & Cancer),"",20,27.5,-27.3
18871,20220828,S08000025,"",All,d,Surgery,"",11,11,0
18872,20220828,S08000026,"",All,d,All,d,34,46.5,-26.9
18873,20220828,S08000026,"",All,d,Medical (excl. Cardiology & Cancer),"",17,26.5,-35.8
18874,20220828,S08000026,"",All,d,Medical (incl. Cardiology & Cancer),"",17,26.5,-35.8
18875,20220828,S08000026,"",All,d,Surgery,"",16,20,-20
18876,20220828,S08000028,"",All,d,All,d,77,75,2.7
18877,20220828,S08000028,"",All,d,Community,"",15,9,66.7
18878,20220828,S08000028,"",All,d,Medical (excl. Cardiology & Cancer),"",34,31.5,7.9
18879,20220828,S08000028,"",All,d,Medical (incl. Cardiology & Cancer),"",34,32,6.2
18880,20220828,S08000028,"",All,d,Surgery,"",25,27.5,-9.1
18881,20220828,S08000029,"",All,d,Accident & Emergency,"",69,61,13.1
18882,20220828,S08000029,"",All,d,All,d,912,956.5,-4.7
18883,20220828,S08000029,"",All,d,Cardiology,"",31,34,-8.8
18884,20220828,S08000029,"",All,d,Community,"",16,14,14.3
18885,20220828,S08000029,"",All,d,Gynaecology,"",37,36.5,1.4
18886,20220828,S08000029,"",All,d,Medical (excl. Cardiology & Cancer),"",388,460,-15.7
18887,20220828,S08000029,"",All,d,Medical (incl. Cardiology & Cancer),"",421,494.5,-14.9
18888,20220828,S08000029,"",All,d,Paediatrics (medical & surgical),"",89,82,8.5
18889,20220828,S08000029,"",All,d,Paediatrics (medical),"",89,81.5,9.2
18890,20220828,S08000029,"",All,d,Surgery,"",280,268.5,4.3
18891,20220828,S08000030,"",All,d,Accident & Emergency,"",98,66,48.5
18892,20220828,S08000030,"",All,d,All,d,1241,1246.5,-0.4
18893,20220828,S08000030,"",All,d,Cancer,"",18,21,-14.3
18894,20220828,S08000030,"",All,d,Cardiology,"",43,33.5,28.4
18895,20220828,S08000030,"",All,d,Gynaecology,"",30,42.5,-29.4
18896,20220828,S08000030,"",All,d,Medical (excl. Cardiology & Cancer),"",551,545,1.1
18897,20220828,S08000030,"",All,d,Medical (incl. Cardiology & Cancer),"",612,599.5,2.1
18898,20220828,S08000030,"",All,d,Paediatrics (medical & surgical),"",129,128,0.8
18899,20220828,S08000030,"",All,d,Paediatrics (medical),"",129,125.5,2.8
18900,20220828,S08000030,"",All,d,Surgery,"",369,396,-6.8
18901,20220828,S08000031,"",All,d,Accident & Emergency,"",32,39.5,-19
18902,20220828,S08000031,"",All,d,All,d,3695,4168.5,-11.4
18903,20220828,S08000031,"",All,d,Cancer,"",97,103,-5.8
18904,20220828,S08000031,"",All,d,Cardiology,"",125,142.5,-12.3
18905,20220828,S08000031,"",All,d,Gynaecology,"",131,135,-3
18906,20220828,S08000031,"",All,d,Medical (excl. Cardiology & Cancer),"",1665,1914.5,-13
18907,20220828,S08000031,"",All,d,Medical (incl. Cardiology & Cancer),"",1887,2160,-12.6
18908,20220828,S08000031,"",All,d,Paediatrics (medical & surgical),"",304,284,7
18909,20220828,S08000031,"",All,d,Paediatrics (medical),"",266,246,8.1
18910,20220828,S08000031,"",All,d,Paediatrics (surgical),"",38,38,0
18911,20220828,S08000031,"",All,d,Surgery,"",1325,1540,-14
18912,20220828,S08000031,"",All,d,NA,NA,16,6.5,146.2
18913,20220828,S08000032,"",All,d,All,d,1578,1810.5,-12.8
18914,20220828,S08000032,"",All,d,Cardiology,"",73,105.5,-30.8
18915,20220828,S08000032,"",All,d,Gynaecology,"",41,47,-12.8
18916,20220828,S08000032,"",All,d,Medical (excl. Cardiology & Cancer),"",856,891,-3.9
18917,20220828,S08000032,"",All,d,Medical (incl. Cardiology & Cancer),"",929,996.5,-6.8
18918,20220828,S08000032,"",All,d,Paediatrics (medical & surgical),"",197,223,-11.7
18919,20220828,S08000032,"",All,d,Paediatrics (medical),"",197,223,-11.7
18920,20220828,S08000032,"",All,d,Surgery,"",409,535.5,-23.6
18921,20220828,S92000003,d,All,d,Accident & Emergency,"",237,419.5,-43.5
18922,20220828,S92000003,d,All,d,All,d,13755,15669.5,-12.2
18923,20220828,S92000003,d,All,d,Cancer,"",249,269,-7.4
18924,20220828,S92000003,d,All,d,Cardiology,"",496,559.5,-11.3
18925,20220828,S92000003,d,All,d,Community,"",169,243.5,-30.6
18926,20220828,S92000003,d,All,d,Gynaecology,"",383,432,-11.3
18927,20220828,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),"",6252,7157.5,-12.7
18928,20220828,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),"",6997,7986,-12.4
18929,20220828,S92000003,d,All,d,Paediatrics (medical & surgical),"",1356,1251,8.4
18930,20220828,S92000003,d,All,d,Paediatrics (medical),"",1285,1177.5,9.1
18931,20220828,S92000003,d,All,d,Paediatrics (surgical),"",71,73.5,-3.4
18932,20220828,S92000003,d,All,d,Surgery,"",4587,5325,-13.9
18933,20220828,S92000003,d,All,d,NA,NA,20,9,122.2
18934,20220828,NA,NA,All,d,All,d,205,230.5,-11.1
18935,20220828,NA,NA,All,d,Cardiology,"",67,79.5,-15.7
18936,20220828,NA,NA,All,d,Medical (incl. Cardiology & Cancer),"",70,83.5,-16.2
18937,20220828,NA,NA,All,d,Surgery,"",135,147,-8.2
18938,20220904,S08000015,"",All,d,Accident & Emergency,"",6,20,-70
18939,20220904,S08000015,"",All,d,All,d,927,1145.5,-19.1
18940,20220904,S08000015,"",All,d,Cardiology,"",16,18,-11.1
18941,20220904,S08000015,"",All,d,Medical (excl. Cardiology & Cancer),"",556,610.5,-8.9
18942,20220904,S08000015,"",All,d,Medical (incl. Cardiology & Cancer),"",572,629,-9.1
18943,20220904,S08000015,"",All,d,Paediatrics (medical & surgical),"",105,148.5,-29.3
18944,20220904,S08000015,"",All,d,Paediatrics (medical),"",105,148.5,-29.3
18945,20220904,S08000015,"",All,d,Surgery,"",238,343,-30.6
18946,20220904,S08000015,"",All,d,NA,NA,6,5,20
18947,20220904,S08000016,"",All,d,All,d,187,273,-31.5
18948,20220904,S08000016,"",All,d,Cardiology,"",8,7,14.3
18949,20220904,S08000016,"",All,d,Community,"",5,12.5,-60
18950,20220904,S08000016,"",All,d,Medical (excl. Cardiology & Cancer),"",93,133,-30.1
18951,20220904,S08000016,"",All,d,Medical (incl. Cardiology & Cancer),"",101,140,-27.9
18952,20220904,S08000016,"",All,d,Paediatrics (medical & surgical),"",28,37.5,-25.3
18953,20220904,S08000016,"",All,d,Paediatrics (medical),"",28,37.5,-25.3
18954,20220904,S08000016,"",All,d,Surgery,"",53,82.5,-35.8
18955,20220904,S08000017,"",All,d,All,d,399,371.5,7.4
18956,20220904,S08000017,"",All,d,Cardiology,"",7,5.5,27.3
18957,20220904,S08000017,"",All,d,Community,"",32,28,14.3
18958,20220904,S08000017,"",All,d,Gynaecology,"",8,11.5,-30.4
18959,20220904,S08000017,"",All,d,Medical (excl. Cardiology & Cancer),"",177,179,-1.1
18960,20220904,S08000017,"",All,d,Medical (incl. Cardiology & Cancer),"",184,184.5,-0.3
18961,20220904,S08000017,"",All,d,Paediatrics (medical & surgical),"",54,40.5,33.3
18962,20220904,S08000017,"",All,d,Paediatrics (medical),"",54,40.5,33.3
18963,20220904,S08000017,"",All,d,Surgery,"",121,107,13.1
18964,20220904,S08000019,"",All,d,All,d,771,928,-16.9
18965,20220904,S08000019,"",All,d,Cardiology,"",7,16.5,-57.6
