_id,MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
6786,201708,S12000020,"",18-74,"",All Delay Reasons,d,258,8
6787,201708,S12000020,"",18-74,"",Health and Social Care Reasons,"",111,4
6788,201708,S12000020,"",18-74,"",Patient and Family Related Reasons,"",0,0
6789,201708,S12000020,"",18-74,"",Code 9 AWI,"",116,4
6790,201708,S12000020,"",18-74,"",Code 9 Non-AWI,"",31,1
6791,201708,S12000020,"",75plus,"",All Delay Reasons,d,579,19
6792,201708,S12000020,"",75plus,"",Health and Social Care Reasons,"",402,13
6793,201708,S12000020,"",75plus,"",Patient and Family Related Reasons,"",74,2
6794,201708,S12000020,"",75plus,"",Code 9 AWI,"",93,3
6795,201708,S12000020,"",75plus,"",Code 9 Non-AWI,"",10,0
6796,201708,S12000021,"",18plus,d,All Delay Reasons,d,1481,48
6797,201708,S12000021,"",18plus,d,Health and Social Care Reasons,"",1273,41
6798,201708,S12000021,"",18plus,d,Patient and Family Related Reasons,"",0,0
6799,201708,S12000021,"",18plus,d,Code 9 AWI,"",208,7
6800,201708,S12000021,"",18plus,d,Code 9 Non-AWI,"",0,0
6801,201708,S12000021,"",18-74,"",All Delay Reasons,d,218,7
6802,201708,S12000021,"",18-74,"",Health and Social Care Reasons,"",218,7
6803,201708,S12000021,"",18-74,"",Patient and Family Related Reasons,"",0,0
6804,201708,S12000021,"",18-74,"",Code 9 AWI,"",0,0
6805,201708,S12000021,"",18-74,"",Code 9 Non-AWI,"",0,0
6806,201708,S12000021,"",75plus,"",All Delay Reasons,d,1263,41
6807,201708,S12000021,"",75plus,"",Health and Social Care Reasons,"",1055,34
6808,201708,S12000021,"",75plus,"",Patient and Family Related Reasons,"",0,0
6809,201708,S12000021,"",75plus,"",Code 9 AWI,"",208,7
6810,201708,S12000021,"",75plus,"",Code 9 Non-AWI,"",0,0
6811,201708,S12000023,"",18plus,d,All Delay Reasons,d,112,4
6812,201708,S12000023,"",18plus,d,Health and Social Care Reasons,"",0,0
6813,201708,S12000023,"",18plus,d,Patient and Family Related Reasons,"",0,0
6814,201708,S12000023,"",18plus,d,Code 9 AWI,"",31,1
6815,201708,S12000023,"",18plus,d,Code 9 Non-AWI,"",81,3
6816,201708,S12000023,"",18-74,"",All Delay Reasons,d,31,1
6817,201708,S12000023,"",18-74,"",Health and Social Care Reasons,"",0,0
6818,201708,S12000023,"",18-74,"",Patient and Family Related Reasons,"",0,0
6819,201708,S12000023,"",18-74,"",Code 9 AWI,"",31,1
6820,201708,S12000023,"",18-74,"",Code 9 Non-AWI,"",0,0
6821,201708,S12000023,"",75plus,"",All Delay Reasons,d,81,3
6822,201708,S12000023,"",75plus,"",Health and Social Care Reasons,"",0,0
6823,201708,S12000023,"",75plus,"",Patient and Family Related Reasons,"",0,0
6824,201708,S12000023,"",75plus,"",Code 9 AWI,"",0,0
6825,201708,S12000023,"",75plus,"",Code 9 Non-AWI,"",81,3
6826,201708,S12000026,"",18plus,d,All Delay Reasons,d,1199,39
6827,201708,S12000026,"",18plus,d,Health and Social Care Reasons,"",850,27
6828,201708,S12000026,"",18plus,d,Patient and Family Related Reasons,"",53,2
6829,201708,S12000026,"",18plus,d,Code 9 AWI,"",265,9
6830,201708,S12000026,"",18plus,d,Code 9 Non-AWI,"",31,1
6831,201708,S12000026,"",18-74,"",All Delay Reasons,d,365,12
6832,201708,S12000026,"",18-74,"",Health and Social Care Reasons,"",242,8
6833,201708,S12000026,"",18-74,"",Patient and Family Related Reasons,"",35,1
6834,201708,S12000026,"",18-74,"",Code 9 AWI,"",57,2
6835,201708,S12000026,"",18-74,"",Code 9 Non-AWI,"",31,1
6836,201708,S12000026,"",75plus,"",All Delay Reasons,d,834,27
6837,201708,S12000026,"",75plus,"",Health and Social Care Reasons,"",608,20
6838,201708,S12000026,"",75plus,"",Patient and Family Related Reasons,"",18,1
6839,201708,S12000026,"",75plus,"",Code 9 AWI,"",208,7
6840,201708,S12000026,"",75plus,"",Code 9 Non-AWI,"",0,0
6841,201708,S12000027,"",18plus,d,All Delay Reasons,d,107,3
6842,201708,S12000027,"",18plus,d,Health and Social Care Reasons,"",107,3
6843,201708,S12000027,"",18plus,d,Patient and Family Related Reasons,"",0,0
6844,201708,S12000027,"",18plus,d,Code 9 AWI,"",0,0
6845,201708,S12000027,"",18plus,d,Code 9 Non-AWI,"",0,0
6846,201708,S12000027,"",18-74,"",All Delay Reasons,d,3,0
6847,201708,S12000027,"",18-74,"",Health and Social Care Reasons,"",3,0
6848,201708,S12000027,"",18-74,"",Patient and Family Related Reasons,"",0,0
6849,201708,S12000027,"",18-74,"",Code 9 AWI,"",0,0
6850,201708,S12000027,"",18-74,"",Code 9 Non-AWI,"",0,0
6851,201708,S12000027,"",75plus,"",All Delay Reasons,d,104,3
6852,201708,S12000027,"",75plus,"",Health and Social Care Reasons,"",104,3
6853,201708,S12000027,"",75plus,"",Patient and Family Related Reasons,"",0,0
6854,201708,S12000027,"",75plus,"",Code 9 AWI,"",0,0
6855,201708,S12000027,"",75plus,"",Code 9 Non-AWI,"",0,0
6856,201708,S12000028,"",18plus,d,All Delay Reasons,d,1250,40
6857,201708,S12000028,"",18plus,d,Health and Social Care Reasons,"",988,32
6858,201708,S12000028,"",18plus,d,Patient and Family Related Reasons,"",0,0
6859,201708,S12000028,"",18plus,d,Code 9 AWI,"",262,8
6860,201708,S12000028,"",18plus,d,Code 9 Non-AWI,"",0,0
6861,201708,S12000028,"",18-74,"",All Delay Reasons,d,129,4
6862,201708,S12000028,"",18-74,"",Health and Social Care Reasons,"",98,3
6863,201708,S12000028,"",18-74,"",Patient and Family Related Reasons,"",0,0
6864,201708,S12000028,"",18-74,"",Code 9 AWI,"",31,1
6865,201708,S12000028,"",18-74,"",Code 9 Non-AWI,"",0,0
6866,201708,S12000028,"",75plus,"",All Delay Reasons,d,1121,36
6867,201708,S12000028,"",75plus,"",Health and Social Care Reasons,"",890,29
6868,201708,S12000028,"",75plus,"",Patient and Family Related Reasons,"",0,0
6869,201708,S12000028,"",75plus,"",Code 9 AWI,"",231,7
6870,201708,S12000028,"",75plus,"",Code 9 Non-AWI,"",0,0
6871,201708,S12000029,"",18plus,d,All Delay Reasons,d,3663,118
6872,201708,S12000029,"",18plus,d,Health and Social Care Reasons,"",2970,96
6873,201708,S12000029,"",18plus,d,Patient and Family Related Reasons,"",276,9
6874,201708,S12000029,"",18plus,d,Code 9 AWI,"",324,10
6875,201708,S12000029,"",18plus,d,Code 9 Non-AWI,"",93,3
6876,201708,S12000029,"",18-74,"",All Delay Reasons,d,1023,33
6877,201708,S12000029,"",18-74,"",Health and Social Care Reasons,"",786,25
6878,201708,S12000029,"",18-74,"",Patient and Family Related Reasons,"",20,1
6879,201708,S12000029,"",18-74,"",Code 9 AWI,"",124,4
6880,201708,S12000029,"",18-74,"",Code 9 Non-AWI,"",93,3
6881,201708,S12000029,"",75plus,"",All Delay Reasons,d,2640,85
6882,201708,S12000029,"",75plus,"",Health and Social Care Reasons,"",2184,70
6883,201708,S12000029,"",75plus,"",Patient and Family Related Reasons,"",256,8
6884,201708,S12000029,"",75plus,"",Code 9 AWI,"",200,6
6885,201708,S12000029,"",75plus,"",Code 9 Non-AWI,"",0,0
6886,201708,S12000030,"",18plus,d,All Delay Reasons,d,665,21
6887,201708,S12000030,"",18plus,d,Health and Social Care Reasons,"",368,12
6888,201708,S12000030,"",18plus,d,Patient and Family Related Reasons,"",147,5
6889,201708,S12000030,"",18plus,d,Code 9 AWI,"",150,5
6890,201708,S12000030,"",18plus,d,Code 9 Non-AWI,"",0,0
6891,201708,S12000030,"",18-74,"",All Delay Reasons,d,103,3
6892,201708,S12000030,"",18-74,"",Health and Social Care Reasons,"",72,2
6893,201708,S12000030,"",18-74,"",Patient and Family Related Reasons,"",31,1
6894,201708,S12000030,"",18-74,"",Code 9 AWI,"",0,0
6895,201708,S12000030,"",18-74,"",Code 9 Non-AWI,"",0,0
6896,201708,S12000030,"",75plus,"",All Delay Reasons,d,562,18
6897,201708,S12000030,"",75plus,"",Health and Social Care Reasons,"",296,10
6898,201708,S12000030,"",75plus,"",Patient and Family Related Reasons,"",116,4
6899,201708,S12000030,"",75plus,"",Code 9 AWI,"",150,5
6900,201708,S12000030,"",75plus,"",Code 9 Non-AWI,"",0,0
6901,201708,S12000033,"",18plus,d,All Delay Reasons,d,1607,52
6902,201708,S12000033,"",18plus,d,Health and Social Care Reasons,"",1325,43
6903,201708,S12000033,"",18plus,d,Patient and Family Related Reasons,"",0,0
6904,201708,S12000033,"",18plus,d,Code 9 AWI,"",198,6
6905,201708,S12000033,"",18plus,d,Code 9 Non-AWI,"",84,3
6906,201708,S12000033,"",18-74,"",All Delay Reasons,d,497,16
6907,201708,S12000033,"",18-74,"",Health and Social Care Reasons,"",351,11
6908,201708,S12000033,"",18-74,"",Patient and Family Related Reasons,"",0,0
6909,201708,S12000033,"",18-74,"",Code 9 AWI,"",62,2
6910,201708,S12000033,"",18-74,"",Code 9 Non-AWI,"",84,3
6911,201708,S12000033,"",75plus,"",All Delay Reasons,d,1110,36
6912,201708,S12000033,"",75plus,"",Health and Social Care Reasons,"",974,31
6913,201708,S12000033,"",75plus,"",Patient and Family Related Reasons,"",0,0
6914,201708,S12000033,"",75plus,"",Code 9 AWI,"",136,4
6915,201708,S12000033,"",75plus,"",Code 9 Non-AWI,"",0,0
6916,201708,S12000034,"",18plus,d,All Delay Reasons,d,1089,35
6917,201708,S12000034,"",18plus,d,Health and Social Care Reasons,"",833,27
6918,201708,S12000034,"",18plus,d,Patient and Family Related Reasons,"",44,1
6919,201708,S12000034,"",18plus,d,Code 9 AWI,"",86,3
6920,201708,S12000034,"",18plus,d,Code 9 Non-AWI,"",126,4
6921,201708,S12000034,"",18-74,"",All Delay Reasons,d,263,8
6922,201708,S12000034,"",18-74,"",Health and Social Care Reasons,"",137,4
6923,201708,S12000034,"",18-74,"",Patient and Family Related Reasons,"",31,1
6924,201708,S12000034,"",18-74,"",Code 9 AWI,"",0,0
6925,201708,S12000034,"",18-74,"",Code 9 Non-AWI,"",95,3
6926,201708,S12000034,"",75plus,"",All Delay Reasons,d,826,27
6927,201708,S12000034,"",75plus,"",Health and Social Care Reasons,"",696,22
6928,201708,S12000034,"",75plus,"",Patient and Family Related Reasons,"",13,0
6929,201708,S12000034,"",75plus,"",Code 9 AWI,"",86,3
6930,201708,S12000034,"",75plus,"",Code 9 Non-AWI,"",31,1
6931,201708,S12000035,"",18plus,d,All Delay Reasons,d,570,18
6932,201708,S12000035,"",18plus,d,Health and Social Care Reasons,"",248,8
6933,201708,S12000035,"",18plus,d,Patient and Family Related Reasons,"",33,1
6934,201708,S12000035,"",18plus,d,Code 9 AWI,"",82,3
6935,201708,S12000035,"",18plus,d,Code 9 Non-AWI,"",207,7
6936,201708,S12000035,"",18-74,"",All Delay Reasons,d,172,6
6937,201708,S12000035,"",18-74,"",Health and Social Care Reasons,"",42,1
6938,201708,S12000035,"",18-74,"",Patient and Family Related Reasons,"",0,0
6939,201708,S12000035,"",18-74,"",Code 9 AWI,"",31,1
6940,201708,S12000035,"",18-74,"",Code 9 Non-AWI,"",99,3
6941,201708,S12000035,"",75plus,"",All Delay Reasons,d,398,13
6942,201708,S12000035,"",75plus,"",Health and Social Care Reasons,"",206,7
6943,201708,S12000035,"",75plus,"",Patient and Family Related Reasons,"",33,1
6944,201708,S12000035,"",75plus,"",Code 9 AWI,"",51,2
6945,201708,S12000035,"",75plus,"",Code 9 Non-AWI,"",108,3
6946,201708,S12000036,"",18plus,d,All Delay Reasons,d,5963,192
6947,201708,S12000036,"",18plus,d,Health and Social Care Reasons,"",5026,162
6948,201708,S12000036,"",18plus,d,Patient and Family Related Reasons,"",130,4
6949,201708,S12000036,"",18plus,d,Code 9 AWI,"",511,16
6950,201708,S12000036,"",18plus,d,Code 9 Non-AWI,"",296,10
6951,201708,S12000036,"",18-74,"",All Delay Reasons,d,1784,58
6952,201708,S12000036,"",18-74,"",Health and Social Care Reasons,"",1391,45
6953,201708,S12000036,"",18-74,"",Patient and Family Related Reasons,"",16,1
6954,201708,S12000036,"",18-74,"",Code 9 AWI,"",122,4
6955,201708,S12000036,"",18-74,"",Code 9 Non-AWI,"",255,8
6956,201708,S12000036,"",75plus,"",All Delay Reasons,d,4179,135
6957,201708,S12000036,"",75plus,"",Health and Social Care Reasons,"",3635,117
6958,201708,S12000036,"",75plus,"",Patient and Family Related Reasons,"",114,4
6959,201708,S12000036,"",75plus,"",Code 9 AWI,"",389,13
6960,201708,S12000036,"",75plus,"",Code 9 Non-AWI,"",41,1
6961,201708,S12000038,"",18plus,d,All Delay Reasons,d,447,14
6962,201708,S12000038,"",18plus,d,Health and Social Care Reasons,"",274,9
6963,201708,S12000038,"",18plus,d,Patient and Family Related Reasons,"",9,0
6964,201708,S12000038,"",18plus,d,Code 9 AWI,"",96,3
6965,201708,S12000038,"",18plus,d,Code 9 Non-AWI,"",68,2
6966,201708,S12000038,"",18-74,"",All Delay Reasons,d,173,6
6967,201708,S12000038,"",18-74,"",Health and Social Care Reasons,"",89,3
6968,201708,S12000038,"",18-74,"",Patient and Family Related Reasons,"",0,0
6969,201708,S12000038,"",18-74,"",Code 9 AWI,"",16,1
6970,201708,S12000038,"",18-74,"",Code 9 Non-AWI,"",68,2
6971,201708,S12000038,"",75plus,"",All Delay Reasons,d,274,9
6972,201708,S12000038,"",75plus,"",Health and Social Care Reasons,"",185,6
6973,201708,S12000038,"",75plus,"",Patient and Family Related Reasons,"",9,0
6974,201708,S12000038,"",75plus,"",Code 9 AWI,"",80,3
6975,201708,S12000038,"",75plus,"",Code 9 Non-AWI,"",0,0
6976,201708,S12000039,"",18plus,d,All Delay Reasons,d,240,8
6977,201708,S12000039,"",18plus,d,Health and Social Care Reasons,"",169,5
6978,201708,S12000039,"",18plus,d,Patient and Family Related Reasons,"",0,0
6979,201708,S12000039,"",18plus,d,Code 9 AWI,"",53,2
6980,201708,S12000039,"",18plus,d,Code 9 Non-AWI,"",18,1
6981,201708,S12000039,"",18-74,"",All Delay Reasons,d,55,2
6982,201708,S12000039,"",18-74,"",Health and Social Care Reasons,"",27,1
6983,201708,S12000039,"",18-74,"",Patient and Family Related Reasons,"",0,0
6984,201708,S12000039,"",18-74,"",Code 9 AWI,"",10,0
6985,201708,S12000039,"",18-74,"",Code 9 Non-AWI,"",18,1
6986,201708,S12000039,"",75plus,"",All Delay Reasons,d,185,6
6987,201708,S12000039,"",75plus,"",Health and Social Care Reasons,"",142,5
6988,201708,S12000039,"",75plus,"",Patient and Family Related Reasons,"",0,0
6989,201708,S12000039,"",75plus,"",Code 9 AWI,"",43,1
6990,201708,S12000039,"",75plus,"",Code 9 Non-AWI,"",0,0
6991,201708,S12000040,"",18plus,d,All Delay Reasons,d,1628,53
6992,201708,S12000040,"",18plus,d,Health and Social Care Reasons,"",1328,43
6993,201708,S12000040,"",18plus,d,Patient and Family Related Reasons,"",71,2
6994,201708,S12000040,"",18plus,d,Code 9 AWI,"",191,6
6995,201708,S12000040,"",18plus,d,Code 9 Non-AWI,"",38,1
6996,201708,S12000040,"",18-74,"",All Delay Reasons,d,518,17
6997,201708,S12000040,"",18-74,"",Health and Social Care Reasons,"",459,15
6998,201708,S12000040,"",18-74,"",Patient and Family Related Reasons,"",21,1
6999,201708,S12000040,"",18-74,"",Code 9 AWI,"",0,0
7000,201708,S12000040,"",18-74,"",Code 9 Non-AWI,"",38,1
7001,201708,S12000040,"",75plus,"",All Delay Reasons,d,1110,36
7002,201708,S12000040,"",75plus,"",Health and Social Care Reasons,"",869,28
7003,201708,S12000040,"",75plus,"",Patient and Family Related Reasons,"",50,2
7004,201708,S12000040,"",75plus,"",Code 9 AWI,"",191,6
7005,201708,S12000040,"",75plus,"",Code 9 Non-AWI,"",0,0
7006,201708,S12000041,"",18plus,d,All Delay Reasons,d,718,23
7007,201708,S12000041,"",18plus,d,Health and Social Care Reasons,"",475,15
7008,201708,S12000041,"",18plus,d,Patient and Family Related Reasons,"",11,0
7009,201708,S12000041,"",18plus,d,Code 9 AWI,"",232,7
7010,201708,S12000041,"",18plus,d,Code 9 Non-AWI,"",0,0
7011,201708,S12000041,"",18-74,"",All Delay Reasons,d,209,7
7012,201708,S12000041,"",18-74,"",Health and Social Care Reasons,"",121,4
7013,201708,S12000041,"",18-74,"",Patient and Family Related Reasons,"",11,0
7014,201708,S12000041,"",18-74,"",Code 9 AWI,"",77,2
7015,201708,S12000041,"",18-74,"",Code 9 Non-AWI,"",0,0
7016,201708,S12000041,"",75plus,"",All Delay Reasons,d,509,16
7017,201708,S12000041,"",75plus,"",Health and Social Care Reasons,"",354,11
7018,201708,S12000041,"",75plus,"",Patient and Family Related Reasons,"",0,0
7019,201708,S12000041,"",75plus,"",Code 9 AWI,"",155,5
7020,201708,S12000041,"",75plus,"",Code 9 Non-AWI,"",0,0
7021,201708,S12000042,"",18plus,d,All Delay Reasons,d,894,29
7022,201708,S12000042,"",18plus,d,Health and Social Care Reasons,"",202,7
7023,201708,S12000042,"",18plus,d,Patient and Family Related Reasons,"",71,2
7024,201708,S12000042,"",18plus,d,Code 9 AWI,"",176,6
7025,201708,S12000042,"",18plus,d,Code 9 Non-AWI,"",445,14
7026,201708,S12000042,"",18-74,"",All Delay Reasons,d,533,17
7027,201708,S12000042,"",18-74,"",Health and Social Care Reasons,"",86,3
7028,201708,S12000042,"",18-74,"",Patient and Family Related Reasons,"",31,1
7029,201708,S12000042,"",18-74,"",Code 9 AWI,"",2,0
7030,201708,S12000042,"",18-74,"",Code 9 Non-AWI,"",414,13
7031,201708,S12000042,"",75plus,"",All Delay Reasons,d,361,12
7032,201708,S12000042,"",75plus,"",Health and Social Care Reasons,"",116,4
7033,201708,S12000042,"",75plus,"",Patient and Family Related Reasons,"",40,1
7034,201708,S12000042,"",75plus,"",Code 9 AWI,"",174,6
7035,201708,S12000042,"",75plus,"",Code 9 Non-AWI,"",31,1
7036,201708,S12000045,"",18plus,d,All Delay Reasons,d,207,7
7037,201708,S12000045,"",18plus,d,Health and Social Care Reasons,"",176,6
7038,201708,S12000045,"",18plus,d,Patient and Family Related Reasons,"",0,0
7039,201708,S12000045,"",18plus,d,Code 9 AWI,"",31,1
7040,201708,S12000045,"",18plus,d,Code 9 Non-AWI,"",0,0
7041,201708,S12000045,"",18-74,"",All Delay Reasons,d,29,1
7042,201708,S12000045,"",18-74,"",Health and Social Care Reasons,"",29,1
7043,201708,S12000045,"",18-74,"",Patient and Family Related Reasons,"",0,0
7044,201708,S12000045,"",18-74,"",Code 9 AWI,"",0,0
7045,201708,S12000045,"",18-74,"",Code 9 Non-AWI,"",0,0
7046,201708,S12000045,"",75plus,"",All Delay Reasons,d,178,6
7047,201708,S12000045,"",75plus,"",Health and Social Care Reasons,"",147,5
7048,201708,S12000045,"",75plus,"",Patient and Family Related Reasons,"",0,0
7049,201708,S12000045,"",75plus,"",Code 9 AWI,"",31,1
7050,201708,S12000045,"",75plus,"",Code 9 Non-AWI,"",0,0
7051,201708,S12000047,"",18plus,d,All Delay Reasons,d,2684,87
7052,201708,S12000047,"",18plus,d,Health and Social Care Reasons,"",2091,67
7053,201708,S12000047,"",18plus,d,Patient and Family Related Reasons,"",16,1
7054,201708,S12000047,"",18plus,d,Code 9 AWI,"",509,16
7055,201708,S12000047,"",18plus,d,Code 9 Non-AWI,"",68,2
7056,201708,S12000047,"",18-74,"",All Delay Reasons,d,791,26
7057,201708,S12000047,"",18-74,"",Health and Social Care Reasons,"",585,19
7058,201708,S12000047,"",18-74,"",Patient and Family Related Reasons,"",0,0
7059,201708,S12000047,"",18-74,"",Code 9 AWI,"",138,4
7060,201708,S12000047,"",18-74,"",Code 9 Non-AWI,"",68,2
7061,201708,S12000047,"",75plus,"",All Delay Reasons,d,1893,61
7062,201708,S12000047,"",75plus,"",Health and Social Care Reasons,"",1506,49
7063,201708,S12000047,"",75plus,"",Patient and Family Related Reasons,"",16,1
7064,201708,S12000047,"",75plus,"",Code 9 AWI,"",371,12
7065,201708,S12000047,"",75plus,"",Code 9 Non-AWI,"",0,0
7066,201708,S12000048,"",18plus,d,All Delay Reasons,d,1433,46
7067,201708,S12000048,"",18plus,d,Health and Social Care Reasons,"",1299,42
7068,201708,S12000048,"",18plus,d,Patient and Family Related Reasons,"",18,1
7069,201708,S12000048,"",18plus,d,Code 9 AWI,"",11,0
7070,201708,S12000048,"",18plus,d,Code 9 Non-AWI,"",105,3
7071,201708,S12000048,"",18-74,"",All Delay Reasons,d,474,15
7072,201708,S12000048,"",18-74,"",Health and Social Care Reasons,"",369,12
7073,201708,S12000048,"",18-74,"",Patient and Family Related Reasons,"",0,0
7074,201708,S12000048,"",18-74,"",Code 9 AWI,"",0,0
7075,201708,S12000048,"",18-74,"",Code 9 Non-AWI,"",105,3
7076,201708,S12000048,"",75plus,"",All Delay Reasons,d,959,31
7077,201708,S12000048,"",75plus,"",Health and Social Care Reasons,"",930,30
7078,201708,S12000048,"",75plus,"",Patient and Family Related Reasons,"",18,1
7079,201708,S12000048,"",75plus,"",Code 9 AWI,"",11,0
7080,201708,S12000048,"",75plus,"",Code 9 Non-AWI,"",0,0
7081,201708,S12000049,"",18plus,d,All Delay Reasons,d,2394,77
7082,201708,S12000049,"",18plus,d,Health and Social Care Reasons,"",1497,48
7083,201708,S12000049,"",18plus,d,Patient and Family Related Reasons,"",113,4
7084,201708,S12000049,"",18plus,d,Code 9 AWI,"",507,16
7085,201708,S12000049,"",18plus,d,Code 9 Non-AWI,"",277,9
7086,201708,S12000049,"",18-74,"",All Delay Reasons,d,1454,47
7087,201708,S12000049,"",18-74,"",Health and Social Care Reasons,"",750,24
7088,201708,S12000049,"",18-74,"",Patient and Family Related Reasons,"",48,2
7089,201708,S12000049,"",18-74,"",Code 9 AWI,"",379,12
7090,201708,S12000049,"",18-74,"",Code 9 Non-AWI,"",277,9
7091,201708,S12000049,"",75plus,"",All Delay Reasons,d,940,30
7092,201708,S12000049,"",75plus,"",Health and Social Care Reasons,"",747,24
7093,201708,S12000049,"",75plus,"",Patient and Family Related Reasons,"",65,2
7094,201708,S12000049,"",75plus,"",Code 9 AWI,"",128,4
7095,201708,S12000049,"",75plus,"",Code 9 Non-AWI,"",0,0
7096,201708,S12000050,"",18plus,d,All Delay Reasons,d,3146,101
7097,201708,S12000050,"",18plus,d,Health and Social Care Reasons,"",2370,76
7098,201708,S12000050,"",18plus,d,Patient and Family Related Reasons,"",301,10
7099,201708,S12000050,"",18plus,d,Code 9 AWI,"",345,11
7100,201708,S12000050,"",18plus,d,Code 9 Non-AWI,"",130,4
7101,201708,S12000050,"",18-74,"",All Delay Reasons,d,998,32
7102,201708,S12000050,"",18-74,"",Health and Social Care Reasons,"",680,22
7103,201708,S12000050,"",18-74,"",Patient and Family Related Reasons,"",93,3
7104,201708,S12000050,"",18-74,"",Code 9 AWI,"",146,5
7105,201708,S12000050,"",18-74,"",Code 9 Non-AWI,"",79,3
7106,201708,S12000050,"",75plus,"",All Delay Reasons,d,2148,69
7107,201708,S12000050,"",75plus,"",Health and Social Care Reasons,"",1690,55
7108,201708,S12000050,"",75plus,"",Patient and Family Related Reasons,"",208,7
7109,201708,S12000050,"",75plus,"",Code 9 AWI,"",199,6
7110,201708,S12000050,"",75plus,"",Code 9 Non-AWI,"",51,2
7111,201708,"",:,18plus,d,All Delay Reasons,d,57,2
7112,201708,"",:,18plus,d,Health and Social Care Reasons,"",26,1
7113,201708,"",:,18plus,d,Patient and Family Related Reasons,"",0,0
7114,201708,"",:,18plus,d,Code 9 AWI,"",31,1
7115,201708,"",:,18plus,d,Code 9 Non-AWI,"",0,0
7116,201708,"",:,18-74,"",All Delay Reasons,d,26,1
7117,201708,"",:,18-74,"",Health and Social Care Reasons,"",26,1
7118,201708,"",:,18-74,"",Patient and Family Related Reasons,"",0,0
7119,201708,"",:,18-74,"",Code 9 AWI,"",0,0
7120,201708,"",:,18-74,"",Code 9 Non-AWI,"",0,0
7121,201708,"",:,75plus,"",All Delay Reasons,d,31,1
7122,201708,"",:,75plus,"",Health and Social Care Reasons,"",0,0
7123,201708,"",:,75plus,"",Patient and Family Related Reasons,"",0,0
7124,201708,"",:,75plus,"",Code 9 AWI,"",31,1
7125,201708,"",:,75plus,"",Code 9 Non-AWI,"",0,0
7126,201708,S92000003,d,18plus,d,All Delay Reasons,d,41632,1343
7127,201708,S92000003,d,18plus,d,Health and Social Care Reasons,"",30388,980
7128,201708,S92000003,d,18plus,d,Patient and Family Related Reasons,"",1713,55
7129,201708,S92000003,d,18plus,d,Code 9 AWI,"",5726,185
7130,201708,S92000003,d,18plus,d,Code 9 Non-AWI,"",3805,123
7131,201708,S92000003,d,18-74,"",All Delay Reasons,d,12454,402
7132,201708,S92000003,d,18-74,"",Health and Social Care Reasons,"",7963,257
7133,201708,S92000003,d,18-74,"",Patient and Family Related Reasons,"",414,13
7134,201708,S92000003,d,18-74,"",Code 9 AWI,"",1702,55
7135,201708,S92000003,d,18-74,"",Code 9 Non-AWI,"",2375,77
7136,201708,S92000003,d,75plus,"",All Delay Reasons,d,29178,941
7137,201708,S92000003,d,75plus,"",Health and Social Care Reasons,"",22425,723
7138,201708,S92000003,d,75plus,"",Patient and Family Related Reasons,"",1299,42
7139,201708,S92000003,d,75plus,"",Code 9 AWI,"",4024,130
7140,201708,S92000003,d,75plus,"",Code 9 Non-AWI,"",1430,46
7141,201709,S12000005,"",18plus,d,All Delay Reasons,d,174,6
7142,201709,S12000005,"",18plus,d,Health and Social Care Reasons,"",174,6
7143,201709,S12000005,"",18plus,d,Patient and Family Related Reasons,"",0,0
7144,201709,S12000005,"",18plus,d,Code 9 AWI,"",0,0
7145,201709,S12000005,"",18plus,d,Code 9 Non-AWI,"",0,0
7146,201709,S12000005,"",18-74,"",All Delay Reasons,d,52,2
7147,201709,S12000005,"",18-74,"",Health and Social Care Reasons,"",52,2
7148,201709,S12000005,"",18-74,"",Patient and Family Related Reasons,"",0,0
7149,201709,S12000005,"",18-74,"",Code 9 AWI,"",0,0
7150,201709,S12000005,"",18-74,"",Code 9 Non-AWI,"",0,0
7151,201709,S12000005,"",75plus,"",All Delay Reasons,d,122,4
7152,201709,S12000005,"",75plus,"",Health and Social Care Reasons,"",122,4
7153,201709,S12000005,"",75plus,"",Patient and Family Related Reasons,"",0,0
7154,201709,S12000005,"",75plus,"",Code 9 AWI,"",0,0
7155,201709,S12000005,"",75plus,"",Code 9 Non-AWI,"",0,0
7156,201709,S12000006,"",18plus,d,All Delay Reasons,d,995,33
7157,201709,S12000006,"",18plus,d,Health and Social Care Reasons,"",704,23
7158,201709,S12000006,"",18plus,d,Patient and Family Related Reasons,"",45,2
7159,201709,S12000006,"",18plus,d,Code 9 AWI,"",216,7
7160,201709,S12000006,"",18plus,d,Code 9 Non-AWI,"",30,1
7161,201709,S12000006,"",18-74,"",All Delay Reasons,d,205,7
7162,201709,S12000006,"",18-74,"",Health and Social Care Reasons,"",145,5
7163,201709,S12000006,"",18-74,"",Patient and Family Related Reasons,"",0,0
7164,201709,S12000006,"",18-74,"",Code 9 AWI,"",60,2
7165,201709,S12000006,"",18-74,"",Code 9 Non-AWI,"",0,0
7166,201709,S12000006,"",75plus,"",All Delay Reasons,d,790,26
7167,201709,S12000006,"",75plus,"",Health and Social Care Reasons,"",559,19
7168,201709,S12000006,"",75plus,"",Patient and Family Related Reasons,"",45,2
7169,201709,S12000006,"",75plus,"",Code 9 AWI,"",156,5
7170,201709,S12000006,"",75plus,"",Code 9 Non-AWI,"",30,1
7171,201709,S12000008,"",18plus,d,All Delay Reasons,d,286,10
