_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
1514,2013Q4,S08000031,"",S08000032,Breast,"",8,"",8,""
1515,2013Q4,S08000031,"",SB0801,Lung,"",16,"",13,""
1516,2013Q4,S08000031,"",SB0801,Urological,"",1,"",1,""
1517,2013Q4,S08000032,"",S08000031,Cervical,"",4,"",4,""
1518,2013Q4,S08000032,"",S08000031,Colorectal,"",4,"",3,""
1519,2013Q4,S08000032,"",S08000031,Head & Neck,"",2,"",2,""
1520,2013Q4,S08000032,"",S08000031,Lung,"",10,"",10,""
1521,2013Q4,S08000032,"",S08000031,Melanoma,"",3,"",3,""
1522,2013Q4,S08000032,"",S08000031,Ovarian,"",8,"",8,""
1523,2013Q4,S08000032,"",S08000031,Urological,"",1,"",1,""
1524,2013Q4,S08000032,"",S08000032,Breast,"",51,"",51,""
1525,2013Q4,S08000032,"",S08000032,Cervical,"",2,"",2,""
1526,2013Q4,S08000032,"",S08000032,Colorectal,"",50,"",49,""
1527,2013Q4,S08000032,"",S08000032,Head & Neck,"",8,"",8,""
1528,2013Q4,S08000032,"",S08000032,Lung,"",24,"",23,""
1529,2013Q4,S08000032,"",S08000032,Lymphoma,"",11,"",11,""
1530,2013Q4,S08000032,"",S08000032,Melanoma,"",16,"",14,""
1531,2013Q4,S08000032,"",S08000032,Upper GI,"",24,"",23,""
1532,2013Q4,S08000032,"",S08000032,Urological,"",25,"",25,""
1533,2013Q4,S08000032,"",SB0801,Lung,"",6,"",4,""
1534,2014Q1,S08000015,"",S08000015,Breast,"",67,"",67,""
1535,2014Q1,S08000015,"",S08000015,Cervical,"",3,"",3,""
1536,2014Q1,S08000015,"",S08000015,Colorectal,"",32,"",32,""
1537,2014Q1,S08000015,"",S08000015,Head & Neck,"",7,"",7,""
1538,2014Q1,S08000015,"",S08000015,Lung,"",45,"",45,""
1539,2014Q1,S08000015,"",S08000015,Lymphoma,"",4,"",4,""
1540,2014Q1,S08000015,"",S08000015,Melanoma,"",5,"",5,""
1541,2014Q1,S08000015,"",S08000015,Ovarian,"",1,"",1,""
1542,2014Q1,S08000015,"",S08000015,Upper GI,"",20,"",19,""
1543,2014Q1,S08000015,"",S08000015,Urological,"",26,"",24,""
1544,2014Q1,S08000015,"",S08000017,Breast,"",2,"",2,""
1545,2014Q1,S08000015,"",S08000031,Breast,"",2,"",2,""
1546,2014Q1,S08000015,"",S08000031,Cervical,"",1,"",1,""
1547,2014Q1,S08000015,"",S08000031,Head & Neck,"",1,"",0,""
1548,2014Q1,S08000015,"",S08000031,Lung,"",16,"",15,""
1549,2014Q1,S08000015,"",S08000031,Melanoma,"",1,"",1,""
1550,2014Q1,S08000015,"",S08000031,Ovarian,"",7,"",6,""
1551,2014Q1,S08000015,"",S08000031,Upper GI,"",3,"",3,""
1552,2014Q1,S08000015,"",S08000031,Urological,"",3,"",0,""
1553,2014Q1,S08000015,"",SB0801,Lung,"",6,"",4,""
1554,2014Q1,S08000016,"",S08000015,Colorectal,"",1,"",1,""
1555,2014Q1,S08000016,"",S08000016,Breast,"",4,"",4,""
1556,2014Q1,S08000016,"",S08000016,Colorectal,"",11,"",11,""
1557,2014Q1,S08000016,"",S08000016,Lung,"",6,"",6,""
1558,2014Q1,S08000016,"",S08000016,Lymphoma,"",3,"",3,""
1559,2014Q1,S08000016,"",S08000016,Melanoma,"",3,"",3,""
1560,2014Q1,S08000016,"",S08000016,Ovarian,"",4,"",4,""
1561,2014Q1,S08000016,"",S08000016,Upper GI,"",4,"",4,""
1562,2014Q1,S08000016,"",S08000016,Urological,"",8,"",7,""
1563,2014Q1,S08000016,"",S08000024,Colorectal,"",3,"",3,""
1564,2014Q1,S08000016,"",S08000024,Head & Neck,"",1,"",1,""
1565,2014Q1,S08000016,"",S08000024,Lung,"",6,"",6,""
1566,2014Q1,S08000016,"",S08000024,Melanoma,"",1,"",1,""
1567,2014Q1,S08000016,"",S08000024,Upper GI,"",4,"",4,""
1568,2014Q1,S08000016,"",S08000024,Urological,"",2,"",1,""
1569,2014Q1,S08000017,"",S08000017,Breast,"",11,"",11,""
1570,2014Q1,S08000017,"",S08000017,Cervical,"",1,"",1,""
1571,2014Q1,S08000017,"",S08000017,Colorectal,"",10,"",10,""
1572,2014Q1,S08000017,"",S08000017,Lung,"",3,"",3,""
1573,2014Q1,S08000017,"",S08000017,Lymphoma,"",4,"",4,""
1574,2014Q1,S08000017,"",S08000017,Melanoma,"",4,"",4,""
1575,2014Q1,S08000017,"",S08000017,Upper GI,"",14,"",14,""
1576,2014Q1,S08000017,"",S08000017,Urological,"",14,"",14,""
1577,2014Q1,S08000017,"",S08000024,Cervical,"",1,"",1,""
1578,2014Q1,S08000017,"",S08000024,Head & Neck,"",1,"",1,""
1579,2014Q1,S08000017,"",S08000024,Lung,"",8,"",8,""
1580,2014Q1,S08000017,"",S08000024,Ovarian,"",1,"",1,""
1581,2014Q1,S08000017,"",S08000024,Upper GI,"",3,"",3,""
1582,2014Q1,S08000017,"",S08000024,Urological,"",5,"",2,""
1583,2014Q1,S08000017,"",S08000031,Head & Neck,"",1,"",1,""
1584,2014Q1,S08000019,"",S08000019,Breast,"",31,"",31,""
1585,2014Q1,S08000019,"",S08000019,Cervical,"",1,"",1,""
1586,2014Q1,S08000019,"",S08000019,Colorectal,"",25,"",20,""
1587,2014Q1,S08000019,"",S08000019,Head & Neck,"",3,"",3,""
1588,2014Q1,S08000019,"",S08000019,Lung,"",20,"",20,""
1589,2014Q1,S08000019,"",S08000019,Lymphoma,"",3,"",3,""
1590,2014Q1,S08000019,"",S08000019,Melanoma,"",4,"",3,""
1591,2014Q1,S08000019,"",S08000019,Ovarian,"",1,"",0,""
1592,2014Q1,S08000019,"",S08000019,Upper GI,"",10,"",10,""
1593,2014Q1,S08000019,"",S08000019,Urological,"",35,"",28,""
1594,2014Q1,S08000019,"",S08000031,Breast,"",1,"",1,""
1595,2014Q1,S08000019,"",S08000031,Colorectal,"",11,"",6,""
1596,2014Q1,S08000019,"",S08000031,Head & Neck,"",5,"",5,""
1597,2014Q1,S08000019,"",S08000031,Lung,"",8,"",6,""
1598,2014Q1,S08000019,"",S08000031,Lymphoma,"",1,"",1,""
1599,2014Q1,S08000019,"",S08000031,Ovarian,"",5,"",5,""
1600,2014Q1,S08000019,"",S08000031,Upper GI,"",2,"",2,""
1601,2014Q1,S08000019,"",S08000031,Urological,"",6,"",5,""
1602,2014Q1,S08000019,"",SB0801,Lung,"",4,"",4,""
1603,2014Q1,S08000020,"",S08000020,Breast,"",79,"",76,""
1604,2014Q1,S08000020,"",S08000020,Cervical,"",6,"",6,""
1605,2014Q1,S08000020,"",S08000020,Colorectal,"",39,"",30,""
1606,2014Q1,S08000020,"",S08000020,Head & Neck,"",7,"",3,""
1607,2014Q1,S08000020,"",S08000020,Lung,"",65,"",61,""
1608,2014Q1,S08000020,"",S08000020,Lymphoma,"",7,"",7,""
1609,2014Q1,S08000020,"",S08000020,Melanoma,"",14,"",10,""
1610,2014Q1,S08000020,"",S08000020,Ovarian,"",4,"",3,""
1611,2014Q1,S08000020,"",S08000020,Upper GI,"",44,"",42,""
1612,2014Q1,S08000020,"",S08000020,Urological,"",33,"",17,""
1613,2014Q1,S08000022,"",S08000019,Breast,"",1,"",1,""
1614,2014Q1,S08000022,"",S08000020,Lung,"",2,"",2,""
1615,2014Q1,S08000022,"",S08000022,Breast,"",60,"",56,""
1616,2014Q1,S08000022,"",S08000022,Cervical,"",4,"",3,""
1617,2014Q1,S08000022,"",S08000022,Colorectal,"",22,"",18,""
1618,2014Q1,S08000022,"",S08000022,Head & Neck,"",4,"",4,""
1619,2014Q1,S08000022,"",S08000022,Lung,"",31,"",31,""
1620,2014Q1,S08000022,"",S08000022,Lymphoma,"",5,"",5,""
1621,2014Q1,S08000022,"",S08000022,Melanoma,"",14,"",14,""
1622,2014Q1,S08000022,"",S08000022,Ovarian,"",2,"",1,""
1623,2014Q1,S08000022,"",S08000022,Upper GI,"",13,"",10,""
1624,2014Q1,S08000022,"",S08000022,Urological,"",17,"",12,""
1625,2014Q1,S08000022,"",S08000024,Ovarian,"",1,"",1,""
1626,2014Q1,S08000022,"",S08000028,Urological,"",1,"",1,""
1627,2014Q1,S08000022,"",S08000031,Colorectal,"",1,"",1,""
1628,2014Q1,S08000022,"",S08000031,Head & Neck,"",2,"",2,""
1629,2014Q1,S08000024,"",S08000024,Breast,"",148,"",148,""
1630,2014Q1,S08000024,"",S08000024,Cervical,"",15,"",15,""
1631,2014Q1,S08000024,"",S08000024,Colorectal,"",78,"",72,""
1632,2014Q1,S08000024,"",S08000024,Head & Neck,"",14,"",12,""
1633,2014Q1,S08000024,"",S08000024,Lung,"",64,"",44,""
1634,2014Q1,S08000024,"",S08000024,Lymphoma,"",16,"",15,""
1635,2014Q1,S08000024,"",S08000024,Melanoma,"",9,"",9,""
1636,2014Q1,S08000024,"",S08000024,Ovarian,"",3,"",2,""
1637,2014Q1,S08000024,"",S08000024,Upper GI,"",32,"",32,""
1638,2014Q1,S08000024,"",S08000024,Urological,"",70,"",68,""
1639,2014Q1,S08000024,"",S08000029,Breast,"",3,"",3,""
1640,2014Q1,S08000025,"",S08000020,Breast,"",1,"",1,""
1641,2014Q1,S08000025,"",S08000020,Colorectal,"",2,"",2,""
1642,2014Q1,S08000025,"",S08000020,Upper GI,"",1,"",1,""
1643,2014Q1,S08000025,"",S08000025,Colorectal,"",1,"",1,""
1644,2014Q1,S08000026,"",S08000020,Colorectal,"",1,"",0,""
1645,2014Q1,S08000026,"",S08000020,Head & Neck,"",1,"",1,""
1646,2014Q1,S08000026,"",S08000020,Lymphoma,"",1,"",1,""
1647,2014Q1,S08000026,"",S08000020,Upper GI,"",2,"",1,""
1648,2014Q1,S08000026,"",S08000026,Colorectal,"",3,"",3,""
1649,2014Q1,S08000026,"",S08000026,Lung,"",1,"",1,""
1650,2014Q1,S08000026,"",S08000026,Ovarian,"",1,"",1,""
1651,2014Q1,S08000026,"",S08000026,Upper GI,"",1,"",1,""
1652,2014Q1,S08000026,"",S08000026,Urological,"",4,"",4,""
1653,2014Q1,S08000028,"",S08000022,Colorectal,"",2,"",2,""
1654,2014Q1,S08000028,"",S08000022,Lung,"",3,"",2,""
1655,2014Q1,S08000028,"",S08000022,Upper GI,"",1,"",1,""
1656,2014Q1,S08000028,"",S08000022,Urological,"",1,"",1,""
1657,2014Q1,S08000028,"",S08000028,Lung,"",3,"",3,""
1658,2014Q1,S08000028,"",S08000028,Melanoma,"",1,"",1,""
1659,2014Q1,S08000028,"",SB0801,Lung,"",1,"",1,""
1660,2014Q1,S08000029,"",S08000024,Cervical,"",2,"",1,""
1661,2014Q1,S08000029,"",S08000024,Colorectal,"",1,"",1,""
1662,2014Q1,S08000029,"",S08000024,Head & Neck,"",1,"",1,""
1663,2014Q1,S08000029,"",S08000024,Lung,"",19,"",12,""
1664,2014Q1,S08000029,"",S08000024,Ovarian,"",1,"",1,""
1665,2014Q1,S08000029,"",S08000024,Upper GI,"",3,"",3,""
1666,2014Q1,S08000029,"",S08000024,Urological,"",2,"",1,""
1667,2014Q1,S08000029,"",S08000029,Breast,"",19,"",19,""
1668,2014Q1,S08000029,"",S08000029,Cervical,"",3,"",3,""
1669,2014Q1,S08000029,"",S08000029,Colorectal,"",31,"",30,""
1670,2014Q1,S08000029,"",S08000029,Head & Neck,"",1,"",1,""
1671,2014Q1,S08000029,"",S08000029,Lung,"",26,"",24,""
1672,2014Q1,S08000029,"",S08000029,Lymphoma,"",6,"",6,""
1673,2014Q1,S08000029,"",S08000029,Melanoma,"",1,"",1,""
1674,2014Q1,S08000029,"",S08000029,Ovarian,"",3,"",3,""
1675,2014Q1,S08000029,"",S08000029,Upper GI,"",21,"",20,""
1676,2014Q1,S08000029,"",S08000029,Urological,"",37,"",34,""
1677,2014Q1,S08000029,"",S08000030,Melanoma,"",1,"",1,""
1678,2014Q1,S08000030,"",S08000020,Lung,"",1,"",1,""
1679,2014Q1,S08000030,"",S08000024,Lung,"",2,"",0,""
1680,2014Q1,S08000030,"",S08000030,Breast,"",58,"",54,""
1681,2014Q1,S08000030,"",S08000030,Cervical,"",4,"",4,""
1682,2014Q1,S08000030,"",S08000030,Colorectal,"",29,"",25,""
1683,2014Q1,S08000030,"",S08000030,Head & Neck,"",6,"",5,""
1684,2014Q1,S08000030,"",S08000030,Lung,"",38,"",35,""
1685,2014Q1,S08000030,"",S08000030,Melanoma,"",8,"",7,""
1686,2014Q1,S08000030,"",S08000030,Ovarian,"",2,"",2,""
1687,2014Q1,S08000030,"",S08000030,Upper GI,"",32,"",31,""
1688,2014Q1,S08000030,"",S08000030,Urological,"",35,"",30,""
1689,2014Q1,S08000031,"",S08000019,Breast,"",9,"",9,""
1690,2014Q1,S08000031,"",S08000022,Lung,"",1,"",1,""
1691,2014Q1,S08000031,"",S08000024,Upper GI,"",1,"",0,""
1692,2014Q1,S08000031,"",S08000031,Breast,"",199,"",190,""
1693,2014Q1,S08000031,"",S08000031,Cervical,"",8,"",8,""
1694,2014Q1,S08000031,"",S08000031,Colorectal,"",97,"",90,""
1695,2014Q1,S08000031,"",S08000031,Head & Neck,"",35,"",31,""
1696,2014Q1,S08000031,"",S08000031,Lung,"",128,"",119,""
1697,2014Q1,S08000031,"",S08000031,Lymphoma,"",29,"",28,""
1698,2014Q1,S08000031,"",S08000031,Melanoma,"",22,"",22,""
1699,2014Q1,S08000031,"",S08000031,Ovarian,"",4,"",4,""
1700,2014Q1,S08000031,"",S08000031,Upper GI,"",72,"",58,""
1701,2014Q1,S08000031,"",S08000031,Urological,"",112,"",93,""
1702,2014Q1,S08000031,"",S08000032,Breast,"",10,"",9,""
1703,2014Q1,S08000031,"",SB0801,Colorectal,"",1,"",1,""
1704,2014Q1,S08000031,"",SB0801,Lung,"",11,"",9,""
1705,2014Q1,S08000032,"",S08000031,Cervical,"",2,"",2,""
1706,2014Q1,S08000032,"",S08000031,Head & Neck,"",4,"",4,""
1707,2014Q1,S08000032,"",S08000031,Lung,"",19,"",17,""
1708,2014Q1,S08000032,"",S08000031,Melanoma,"",3,"",3,""
1709,2014Q1,S08000032,"",S08000031,Ovarian,"",3,"",3,""
1710,2014Q1,S08000032,"",S08000031,Upper GI,"",6,"",6,""
1711,2014Q1,S08000032,"",S08000031,Urological,"",3,"",3,""
1712,2014Q1,S08000032,"",S08000032,Breast,"",51,"",50,""
1713,2014Q1,S08000032,"",S08000032,Cervical,"",2,"",2,""
1714,2014Q1,S08000032,"",S08000032,Colorectal,"",45,"",44,""
1715,2014Q1,S08000032,"",S08000032,Head & Neck,"",7,"",7,""
1716,2014Q1,S08000032,"",S08000032,Lung,"",36,"",36,""
1717,2014Q1,S08000032,"",S08000032,Lymphoma,"",7,"",7,""
1718,2014Q1,S08000032,"",S08000032,Melanoma,"",16,"",16,""
1719,2014Q1,S08000032,"",S08000032,Ovarian,"",1,"",1,""
1720,2014Q1,S08000032,"",S08000032,Upper GI,"",18,"",18,""
1721,2014Q1,S08000032,"",S08000032,Urological,"",33,"",28,""
1722,2014Q1,S08000032,"",SB0801,Lung,"",9,"",8,""
1723,2014Q2,S08000015,"",S08000015,Breast,"",73,"",73,""
1724,2014Q2,S08000015,"",S08000015,Cervical,"",1,"",1,""
1725,2014Q2,S08000015,"",S08000015,Colorectal,"",38,"",35,""
1726,2014Q2,S08000015,"",S08000015,Head & Neck,"",6,"",4,""
1727,2014Q2,S08000015,"",S08000015,Lung,"",37,"",36,""
1728,2014Q2,S08000015,"",S08000015,Lymphoma,"",8,"",6,""
1729,2014Q2,S08000015,"",S08000015,Melanoma,"",9,"",9,""
1730,2014Q2,S08000015,"",S08000015,Ovarian,"",1,"",1,""
1731,2014Q2,S08000015,"",S08000015,Upper GI,"",22,"",20,""
1732,2014Q2,S08000015,"",S08000015,Urological,"",32,"",32,""
1733,2014Q2,S08000015,"",S08000017,Breast,"",4,"",4,""
1734,2014Q2,S08000015,"",S08000024,Breast,"",1,"",1,""
1735,2014Q2,S08000015,"",S08000031,Breast,"",2,"",1,""
1736,2014Q2,S08000015,"",S08000031,Cervical,"",2,"",2,""
1737,2014Q2,S08000015,"",S08000031,Colorectal,"",6,"",2,""
1738,2014Q2,S08000015,"",S08000031,Head & Neck,"",5,"",5,""
1739,2014Q2,S08000015,"",S08000031,Lung,"",20,"",19,""
1740,2014Q2,S08000015,"",S08000031,Melanoma,"",1,"",1,""
1741,2014Q2,S08000015,"",S08000031,Ovarian,"",4,"",3,""
1742,2014Q2,S08000015,"",S08000031,Upper GI,"",5,"",5,""
1743,2014Q2,S08000015,"",S08000031,Urological,"",1,"",0,""
1744,2014Q2,S08000015,"",SB0801,Lung,"",4,"",3,""
1745,2014Q2,S08000016,"",S08000016,Breast,"",8,"",8,""
1746,2014Q2,S08000016,"",S08000016,Cervical,"",1,"",1,""
1747,2014Q2,S08000016,"",S08000016,Colorectal,"",15,"",15,""
1748,2014Q2,S08000016,"",S08000016,Lung,"",13,"",13,""
1749,2014Q2,S08000016,"",S08000016,Lymphoma,"",6,"",6,""
1750,2014Q2,S08000016,"",S08000016,Melanoma,"",4,"",4,""
1751,2014Q2,S08000016,"",S08000016,Ovarian,"",5,"",5,""
1752,2014Q2,S08000016,"",S08000016,Upper GI,"",6,"",6,""
1753,2014Q2,S08000016,"",S08000016,Urological,"",12,"",12,""
1754,2014Q2,S08000016,"",S08000024,Head & Neck,"",2,"",2,""
1755,2014Q2,S08000016,"",S08000024,Lung,"",2,"",2,""
1756,2014Q2,S08000016,"",S08000024,Upper GI,"",2,"",2,""
1757,2014Q2,S08000016,"",S08000024,Urological,"",3,"",2,""
1758,2014Q2,S08000017,"",S08000017,Breast,"",17,"",17,""
1759,2014Q2,S08000017,"",S08000017,Colorectal,"",22,"",21,""
1760,2014Q2,S08000017,"",S08000017,Lung,"",14,"",14,""
1761,2014Q2,S08000017,"",S08000017,Lymphoma,"",3,"",3,""
1762,2014Q2,S08000017,"",S08000017,Melanoma,"",5,"",5,""
1763,2014Q2,S08000017,"",S08000017,Ovarian,"",5,"",5,""
1764,2014Q2,S08000017,"",S08000017,Upper GI,"",11,"",11,""
1765,2014Q2,S08000017,"",S08000017,Urological,"",18,"",18,""
1766,2014Q2,S08000017,"",S08000024,Cervical,"",2,"",2,""
1767,2014Q2,S08000017,"",S08000024,Head & Neck,"",2,"",2,""
1768,2014Q2,S08000017,"",S08000024,Lung,"",3,"",2,""
1769,2014Q2,S08000017,"",S08000024,Melanoma,"",1,"",1,""
1770,2014Q2,S08000017,"",S08000024,Ovarian,"",1,"",0,""
1771,2014Q2,S08000017,"",S08000024,Upper GI,"",2,"",2,""
1772,2014Q2,S08000017,"",S08000024,Urological,"",6,"",3,""
1773,2014Q2,S08000017,"",S08000031,Head & Neck,"",1,"",1,""
1774,2014Q2,S08000017,"",S08000031,Lymphoma,"",1,"",1,""
1775,2014Q2,S08000017,"",SB0801,Lung,"",2,"",2,""
1776,2014Q2,S08000019,"",S08000019,Breast,"",35,"",35,""
1777,2014Q2,S08000019,"",S08000019,Cervical,"",2,"",2,""
1778,2014Q2,S08000019,"",S08000019,Colorectal,"",18,"",18,""
1779,2014Q2,S08000019,"",S08000019,Head & Neck,"",1,"",1,""
1780,2014Q2,S08000019,"",S08000019,Lung,"",31,"",31,""
1781,2014Q2,S08000019,"",S08000019,Lymphoma,"",9,"",9,""
1782,2014Q2,S08000019,"",S08000019,Melanoma,"",5,"",5,""
1783,2014Q2,S08000019,"",S08000019,Ovarian,"",1,"",1,""
1784,2014Q2,S08000019,"",S08000019,Upper GI,"",17,"",16,""
1785,2014Q2,S08000019,"",S08000019,Urological,"",32,"",30,""
1786,2014Q2,S08000019,"",S08000024,Upper GI,"",1,"",1,""
1787,2014Q2,S08000019,"",S08000031,Breast,"",2,"",2,""
1788,2014Q2,S08000019,"",S08000031,Colorectal,"",2,"",2,""
1789,2014Q2,S08000019,"",S08000031,Head & Neck,"",4,"",1,""
1790,2014Q2,S08000019,"",S08000031,Lung,"",8,"",7,""
1791,2014Q2,S08000019,"",S08000031,Ovarian,"",1,"",1,""
1792,2014Q2,S08000019,"",S08000031,Upper GI,"",5,"",3,""
1793,2014Q2,S08000019,"",S08000031,Urological,"",1,"",1,""
1794,2014Q2,S08000019,"",SB0801,Lung,"",6,"",6,""
1795,2014Q2,S08000020,"",S08000020,Breast,"",85,"",82,""
1796,2014Q2,S08000020,"",S08000020,Cervical,"",7,"",7,""
1797,2014Q2,S08000020,"",S08000020,Colorectal,"",45,"",35,""
1798,2014Q2,S08000020,"",S08000020,Head & Neck,"",6,"",6,""
1799,2014Q2,S08000020,"",S08000020,Lung,"",64,"",58,""
1800,2014Q2,S08000020,"",S08000020,Lymphoma,"",15,"",11,""
1801,2014Q2,S08000020,"",S08000020,Melanoma,"",12,"",11,""
1802,2014Q2,S08000020,"",S08000020,Ovarian,"",9,"",9,""
1803,2014Q2,S08000020,"",S08000020,Upper GI,"",34,"",32,""
1804,2014Q2,S08000020,"",S08000020,Urological,"",34,"",29,""
1805,2014Q2,S08000020,"",S08000022,Lymphoma,"",1,"",0,""
1806,2014Q2,S08000022,"",S08000020,Lung,"",2,"",2,""
1807,2014Q2,S08000022,"",S08000020,Melanoma,"",1,"",1,""
1808,2014Q2,S08000022,"",S08000022,Breast,"",42,"",41,""
1809,2014Q2,S08000022,"",S08000022,Cervical,"",3,"",2,""
1810,2014Q2,S08000022,"",S08000022,Colorectal,"",22,"",22,""
1811,2014Q2,S08000022,"",S08000022,Head & Neck,"",6,"",5,""
1812,2014Q2,S08000022,"",S08000022,Lung,"",27,"",25,""
1813,2014Q2,S08000022,"",S08000022,Lymphoma,"",10,"",10,""
1814,2014Q2,S08000022,"",S08000022,Melanoma,"",10,"",10,""
1815,2014Q2,S08000022,"",S08000022,Ovarian,"",5,"",3,""
1816,2014Q2,S08000022,"",S08000022,Upper GI,"",20,"",20,""
1817,2014Q2,S08000022,"",S08000022,Urological,"",26,"",20,""
1818,2014Q2,S08000022,"",S08000024,Upper GI,"",1,"",1,""
1819,2014Q2,S08000022,"",S08000028,Urological,"",1,"",0,""
1820,2014Q2,S08000022,"",S08000031,Lung,"",1,"",1,""
1821,2014Q2,S08000022,"",S08000031,Upper GI,"",1,"",1,""
1822,2014Q2,S08000022,"",SB0801,Lung,"",1,"",0,""
1823,2014Q2,S08000024,"",S08000024,Breast,"",183,"",183,""
1824,2014Q2,S08000024,"",S08000024,Cervical,"",13,"",12,""
1825,2014Q2,S08000024,"",S08000024,Colorectal,"",79,"",70,""
1826,2014Q2,S08000024,"",S08000024,Head & Neck,"",20,"",19,""
1827,2014Q2,S08000024,"",S08000024,Lung,"",64,"",53,""
1828,2014Q2,S08000024,"",S08000024,Lymphoma,"",15,"",15,""
1829,2014Q2,S08000024,"",S08000024,Melanoma,"",12,"",12,""
1830,2014Q2,S08000024,"",S08000024,Ovarian,"",5,"",5,""
1831,2014Q2,S08000024,"",S08000024,Upper GI,"",32,"",32,""
1832,2014Q2,S08000024,"",S08000024,Urological,"",56,"",55,""
1833,2014Q2,S08000024,"",S08000030,Breast,"",1,"",1,""
1834,2014Q2,S08000025,"",S08000025,Colorectal,"",1,"",1,""
1835,2014Q2,S08000026,"",S08000020,Cervical,"",1,"",1,""
1836,2014Q2,S08000026,"",S08000020,Lymphoma,"",2,"",2,""
1837,2014Q2,S08000026,"",S08000020,Urological,"",1,"",1,""
1838,2014Q2,S08000026,"",S08000026,Breast,"",3,"",3,""
1839,2014Q2,S08000026,"",S08000026,Colorectal,"",2,"",2,""
1840,2014Q2,S08000026,"",S08000026,Urological,"",3,"",2,""
1841,2014Q2,S08000028,"",S08000022,Colorectal,"",2,"",2,""
1842,2014Q2,S08000028,"",S08000022,Head & Neck,"",1,"",1,""
1843,2014Q2,S08000028,"",S08000022,Lung,"",3,"",3,""
1844,2014Q2,S08000028,"",S08000022,Upper GI,"",2,"",1,""
1845,2014Q2,S08000028,"",S08000028,Colorectal,"",1,"",1,""
1846,2014Q2,S08000028,"",S08000028,Melanoma,"",1,"",1,""
1847,2014Q2,S08000028,"",S08000031,Head & Neck,"",1,"",1,""
1848,2014Q2,S08000029,"",S08000024,Cervical,"",2,"",2,""
1849,2014Q2,S08000029,"",S08000024,Colorectal,"",2,"",2,""
1850,2014Q2,S08000029,"",S08000024,Head & Neck,"",2,"",1,""
1851,2014Q2,S08000029,"",S08000024,Lung,"",25,"",17,""
1852,2014Q2,S08000029,"",S08000024,Ovarian,"",3,"",3,""
1853,2014Q2,S08000029,"",S08000024,Upper GI,"",3,"",3,""
1854,2014Q2,S08000029,"",S08000029,Breast,"",25,"",25,""
1855,2014Q2,S08000029,"",S08000029,Cervical,"",1,"",1,""
1856,2014Q2,S08000029,"",S08000029,Colorectal,"",27,"",27,""
1857,2014Q2,S08000029,"",S08000029,Head & Neck,"",3,"",3,""
1858,2014Q2,S08000029,"",S08000029,Lung,"",37,"",36,""
1859,2014Q2,S08000029,"",S08000029,Lymphoma,"",5,"",5,""
1860,2014Q2,S08000029,"",S08000029,Melanoma,"",3,"",3,""
1861,2014Q2,S08000029,"",S08000029,Ovarian,"",5,"",5,""
1862,2014Q2,S08000029,"",S08000029,Upper GI,"",16,"",16,""
1863,2014Q2,S08000029,"",S08000029,Urological,"",23,"",17,""
1864,2014Q2,S08000029,"",S08000030,Lung,"",1,"",1,""
1865,2014Q2,S08000029,"",S08000030,Melanoma,"",1,"",0,""
1866,2014Q2,S08000030,"",S08000020,Lung,"",1,"",1,""
1867,2014Q2,S08000030,"",S08000024,Lung,"",6,"",2,""
1868,2014Q2,S08000030,"",S08000030,Breast,"",53,"",52,""
1869,2014Q2,S08000030,"",S08000030,Cervical,"",8,"",7,""
1870,2014Q2,S08000030,"",S08000030,Colorectal,"",44,"",41,""
1871,2014Q2,S08000030,"",S08000030,Head & Neck,"",7,"",6,""
1872,2014Q2,S08000030,"",S08000030,Lung,"",51,"",49,""
1873,2014Q2,S08000030,"",S08000030,Melanoma,"",5,"",5,""
1874,2014Q2,S08000030,"",S08000030,Upper GI,"",26,"",26,""
1875,2014Q2,S08000030,"",S08000030,Urological,"",34,"",31,""
1876,2014Q2,S08000031,"",S08000019,Breast,"",6,"",6,""
1877,2014Q2,S08000031,"",S08000022,Breast,"",1,"",1,""
1878,2014Q2,S08000031,"",S08000022,Cervical,"",1,"",0,""
1879,2014Q2,S08000031,"",S08000022,Colorectal,"",1,"",1,""
1880,2014Q2,S08000031,"",S08000022,Lung,"",2,"",2,""
1881,2014Q2,S08000031,"",S08000024,Upper GI,"",2,"",2,""
1882,2014Q2,S08000031,"",S08000031,Breast,"",226,"",214,""
1883,2014Q2,S08000031,"",S08000031,Cervical,"",8,"",8,""
1884,2014Q2,S08000031,"",S08000031,Colorectal,"",103,"",97,""
1885,2014Q2,S08000031,"",S08000031,Head & Neck,"",44,"",40,""
1886,2014Q2,S08000031,"",S08000031,Lung,"",132,"",121,""
1887,2014Q2,S08000031,"",S08000031,Lymphoma,"",18,"",18,""
1888,2014Q2,S08000031,"",S08000031,Melanoma,"",23,"",23,""
1889,2014Q2,S08000031,"",S08000031,Ovarian,"",12,"",12,""
1890,2014Q2,S08000031,"",S08000031,Upper GI,"",67,"",58,""
1891,2014Q2,S08000031,"",S08000031,Urological,"",109,"",81,""
1892,2014Q2,S08000031,"",S08000032,Breast,"",18,"",18,""
1893,2014Q2,S08000031,"",SB0801,Lung,"",20,"",17,""
1894,2014Q2,S08000032,"",S08000022,Lymphoma,"",1,"",1,""
