_id,MonthOfDelay,HBT,HBTQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
1722,201702,S08000028,"",75plus,"",Health and Social Care Reasons,"",222,8
1723,201702,S08000028,"",75plus,"",Patient and Family Related Reasons,"",0,0
1724,201702,S08000028,"",75plus,"",Code 9 AWI,"",28,1
1725,201702,S08000028,"",75plus,"",Code 9 Non-AWI,"",192,7
1726,201702,S08000029,"",18plus,d,All Delay Reasons,d,1699,61
1727,201702,S08000029,"",18plus,d,Health and Social Care Reasons,"",1221,44
1728,201702,S08000029,"",18plus,d,Patient and Family Related Reasons,"",11,0
1729,201702,S08000029,"",18plus,d,Code 9 AWI,"",355,13
1730,201702,S08000029,"",18plus,d,Code 9 Non-AWI,"",112,4
1731,201702,S08000029,"",18-74,"",All Delay Reasons,d,630,23
1732,201702,S08000029,"",18-74,"",Health and Social Care Reasons,"",371,13
1733,201702,S08000029,"",18-74,"",Patient and Family Related Reasons,"",0,0
1734,201702,S08000029,"",18-74,"",Code 9 AWI,"",147,5
1735,201702,S08000029,"",18-74,"",Code 9 Non-AWI,"",112,4
1736,201702,S08000029,"",75plus,"",All Delay Reasons,d,1069,38
1737,201702,S08000029,"",75plus,"",Health and Social Care Reasons,"",850,30
1738,201702,S08000029,"",75plus,"",Patient and Family Related Reasons,"",11,0
1739,201702,S08000029,"",75plus,"",Code 9 AWI,"",208,7
1740,201702,S08000029,"",75plus,"",Code 9 Non-AWI,"",0,0
1741,201702,S08000030,"",18plus,d,All Delay Reasons,d,3271,117
1742,201702,S08000030,"",18plus,d,Health and Social Care Reasons,"",2211,79
1743,201702,S08000030,"",18plus,d,Patient and Family Related Reasons,"",97,3
1744,201702,S08000030,"",18plus,d,Code 9 AWI,"",516,18
1745,201702,S08000030,"",18plus,d,Code 9 Non-AWI,"",447,16
1746,201702,S08000030,"",18-74,"",All Delay Reasons,d,1225,44
1747,201702,S08000030,"",18-74,"",Health and Social Care Reasons,"",679,24
1748,201702,S08000030,"",18-74,"",Patient and Family Related Reasons,"",0,0
1749,201702,S08000030,"",18-74,"",Code 9 AWI,"",127,5
1750,201702,S08000030,"",18-74,"",Code 9 Non-AWI,"",419,15
1751,201702,S08000030,"",75plus,"",All Delay Reasons,d,2046,73
1752,201702,S08000030,"",75plus,"",Health and Social Care Reasons,"",1532,55
1753,201702,S08000030,"",75plus,"",Patient and Family Related Reasons,"",97,3
1754,201702,S08000030,"",75plus,"",Code 9 AWI,"",389,14
1755,201702,S08000030,"",75plus,"",Code 9 Non-AWI,"",28,1
1756,201702,S08000031,"",18plus,d,All Delay Reasons,d,4863,174
1757,201702,S08000031,"",18plus,d,Health and Social Care Reasons,"",3159,113
1758,201702,S08000031,"",18plus,d,Patient and Family Related Reasons,"",200,7
1759,201702,S08000031,"",18plus,d,Code 9 AWI,"",1046,37
1760,201702,S08000031,"",18plus,d,Code 9 Non-AWI,"",458,16
1761,201702,S08000031,"",18-74,"",All Delay Reasons,d,2279,81
1762,201702,S08000031,"",18-74,"",Health and Social Care Reasons,"",1278,46
1763,201702,S08000031,"",18-74,"",Patient and Family Related Reasons,"",64,2
1764,201702,S08000031,"",18-74,"",Code 9 AWI,"",545,19
1765,201702,S08000031,"",18-74,"",Code 9 Non-AWI,"",392,14
1766,201702,S08000031,"",75plus,"",All Delay Reasons,d,2584,92
1767,201702,S08000031,"",75plus,"",Health and Social Care Reasons,"",1881,67
1768,201702,S08000031,"",75plus,"",Patient and Family Related Reasons,"",136,5
1769,201702,S08000031,"",75plus,"",Code 9 AWI,"",501,18
1770,201702,S08000031,"",75plus,"",Code 9 Non-AWI,"",66,2
1771,201702,S08000032,"",18plus,d,All Delay Reasons,d,5928,212
1772,201702,S08000032,"",18plus,d,Health and Social Care Reasons,"",5074,181
1773,201702,S08000032,"",18plus,d,Patient and Family Related Reasons,"",226,8
1774,201702,S08000032,"",18plus,d,Code 9 AWI,"",492,18
1775,201702,S08000032,"",18plus,d,Code 9 Non-AWI,"",136,5
1776,201702,S08000032,"",18-74,"",All Delay Reasons,d,1749,62
1777,201702,S08000032,"",18-74,"",Health and Social Care Reasons,"",1393,50
1778,201702,S08000032,"",18-74,"",Patient and Family Related Reasons,"",28,1
1779,201702,S08000032,"",18-74,"",Code 9 AWI,"",206,7
1780,201702,S08000032,"",18-74,"",Code 9 Non-AWI,"",122,4
1781,201702,S08000032,"",75plus,"",All Delay Reasons,d,4179,149
1782,201702,S08000032,"",75plus,"",Health and Social Care Reasons,"",3681,131
1783,201702,S08000032,"",75plus,"",Patient and Family Related Reasons,"",198,7
1784,201702,S08000032,"",75plus,"",Code 9 AWI,"",286,10
1785,201702,S08000032,"",75plus,"",Code 9 Non-AWI,"",14,1
1786,201702,S92000003,d,18plus,d,All Delay Reasons,d,40246,1437
1787,201702,S92000003,d,18plus,d,Health and Social Care Reasons,"",30633,1094
1788,201702,S92000003,d,18plus,d,Patient and Family Related Reasons,"",1317,47
1789,201702,S92000003,d,18plus,d,Code 9 AWI,"",5417,193
1790,201702,S92000003,d,18plus,d,Code 9 Non-AWI,"",2879,103
1791,201702,S92000003,d,18-74,"",All Delay Reasons,d,12037,430
1792,201702,S92000003,d,18-74,"",Health and Social Care Reasons,"",8174,292
1793,201702,S92000003,d,18-74,"",Patient and Family Related Reasons,"",263,9
1794,201702,S92000003,d,18-74,"",Code 9 AWI,"",1718,61
1795,201702,S92000003,d,18-74,"",Code 9 Non-AWI,"",1882,67
1796,201702,S92000003,d,75plus,"",All Delay Reasons,d,28209,1007
1797,201702,S92000003,d,75plus,"",Health and Social Care Reasons,"",22459,802
1798,201702,S92000003,d,75plus,"",Patient and Family Related Reasons,"",1054,38
1799,201702,S92000003,d,75plus,"",Code 9 AWI,"",3699,132
1800,201702,S92000003,d,75plus,"",Code 9 Non-AWI,"",997,36
1801,201703,S08000015,"",18plus,d,All Delay Reasons,d,2056,66
1802,201703,S08000015,"",18plus,d,Health and Social Care Reasons,"",1078,35
1803,201703,S08000015,"",18plus,d,Patient and Family Related Reasons,"",0,0
1804,201703,S08000015,"",18plus,d,Code 9 AWI,"",899,29
1805,201703,S08000015,"",18plus,d,Code 9 Non-AWI,"",79,3
1806,201703,S08000015,"",18-74,"",All Delay Reasons,d,325,10
1807,201703,S08000015,"",18-74,"",Health and Social Care Reasons,"",133,4
1808,201703,S08000015,"",18-74,"",Patient and Family Related Reasons,"",0,0
1809,201703,S08000015,"",18-74,"",Code 9 AWI,"",192,6
1810,201703,S08000015,"",18-74,"",Code 9 Non-AWI,"",0,0
1811,201703,S08000015,"",75plus,"",All Delay Reasons,d,1731,56
1812,201703,S08000015,"",75plus,"",Health and Social Care Reasons,"",945,30
1813,201703,S08000015,"",75plus,"",Patient and Family Related Reasons,"",0,0
1814,201703,S08000015,"",75plus,"",Code 9 AWI,"",707,23
1815,201703,S08000015,"",75plus,"",Code 9 Non-AWI,"",79,3
1816,201703,S08000016,"",18plus,d,All Delay Reasons,d,890,29
1817,201703,S08000016,"",18plus,d,Health and Social Care Reasons,"",635,20
1818,201703,S08000016,"",18plus,d,Patient and Family Related Reasons,"",47,2
1819,201703,S08000016,"",18plus,d,Code 9 AWI,"",129,4
1820,201703,S08000016,"",18plus,d,Code 9 Non-AWI,"",79,3
1821,201703,S08000016,"",18-74,"",All Delay Reasons,d,255,8
1822,201703,S08000016,"",18-74,"",Health and Social Care Reasons,"",148,5
1823,201703,S08000016,"",18-74,"",Patient and Family Related Reasons,"",0,0
1824,201703,S08000016,"",18-74,"",Code 9 AWI,"",31,1
1825,201703,S08000016,"",18-74,"",Code 9 Non-AWI,"",76,2
1826,201703,S08000016,"",75plus,"",All Delay Reasons,d,635,20
1827,201703,S08000016,"",75plus,"",Health and Social Care Reasons,"",487,16
1828,201703,S08000016,"",75plus,"",Patient and Family Related Reasons,"",47,2
1829,201703,S08000016,"",75plus,"",Code 9 AWI,"",98,3
1830,201703,S08000016,"",75plus,"",Code 9 Non-AWI,"",3,0
1831,201703,S08000017,"",18plus,d,All Delay Reasons,d,702,23
1832,201703,S08000017,"",18plus,d,Health and Social Care Reasons,"",520,17
1833,201703,S08000017,"",18plus,d,Patient and Family Related Reasons,"",4,0
1834,201703,S08000017,"",18plus,d,Code 9 AWI,"",178,6
1835,201703,S08000017,"",18plus,d,Code 9 Non-AWI,"",0,0
1836,201703,S08000017,"",18-74,"",All Delay Reasons,d,233,8
1837,201703,S08000017,"",18-74,"",Health and Social Care Reasons,"",119,4
1838,201703,S08000017,"",18-74,"",Patient and Family Related Reasons,"",4,0
1839,201703,S08000017,"",18-74,"",Code 9 AWI,"",110,4
1840,201703,S08000017,"",18-74,"",Code 9 Non-AWI,"",0,0
1841,201703,S08000017,"",75plus,"",All Delay Reasons,d,469,15
1842,201703,S08000017,"",75plus,"",Health and Social Care Reasons,"",401,13
1843,201703,S08000017,"",75plus,"",Patient and Family Related Reasons,"",0,0
1844,201703,S08000017,"",75plus,"",Code 9 AWI,"",68,2
1845,201703,S08000017,"",75plus,"",Code 9 Non-AWI,"",0,0
1846,201703,S08000019,"",18plus,d,All Delay Reasons,d,2235,72
1847,201703,S08000019,"",18plus,d,Health and Social Care Reasons,"",1270,41
1848,201703,S08000019,"",18plus,d,Patient and Family Related Reasons,"",312,10
1849,201703,S08000019,"",18plus,d,Code 9 AWI,"",423,14
1850,201703,S08000019,"",18plus,d,Code 9 Non-AWI,"",230,7
1851,201703,S08000019,"",18-74,"",All Delay Reasons,d,618,20
1852,201703,S08000019,"",18-74,"",Health and Social Care Reasons,"",324,10
1853,201703,S08000019,"",18-74,"",Patient and Family Related Reasons,"",0,0
1854,201703,S08000019,"",18-74,"",Code 9 AWI,"",73,2
1855,201703,S08000019,"",18-74,"",Code 9 Non-AWI,"",221,7
1856,201703,S08000019,"",75plus,"",All Delay Reasons,d,1617,52
1857,201703,S08000019,"",75plus,"",Health and Social Care Reasons,"",946,31
1858,201703,S08000019,"",75plus,"",Patient and Family Related Reasons,"",312,10
1859,201703,S08000019,"",75plus,"",Code 9 AWI,"",350,11
1860,201703,S08000019,"",75plus,"",Code 9 Non-AWI,"",9,0
1861,201703,S08000020,"",18plus,d,All Delay Reasons,d,3967,128
1862,201703,S08000020,"",18plus,d,Health and Social Care Reasons,"",3163,102
1863,201703,S08000020,"",18plus,d,Patient and Family Related Reasons,"",79,3
1864,201703,S08000020,"",18plus,d,Code 9 AWI,"",486,16
1865,201703,S08000020,"",18plus,d,Code 9 Non-AWI,"",239,8
1866,201703,S08000020,"",18-74,"",All Delay Reasons,d,1175,38
1867,201703,S08000020,"",18-74,"",Health and Social Care Reasons,"",796,26
1868,201703,S08000020,"",18-74,"",Patient and Family Related Reasons,"",66,2
1869,201703,S08000020,"",18-74,"",Code 9 AWI,"",126,4
1870,201703,S08000020,"",18-74,"",Code 9 Non-AWI,"",187,6
1871,201703,S08000020,"",75plus,"",All Delay Reasons,d,2792,90
1872,201703,S08000020,"",75plus,"",Health and Social Care Reasons,"",2367,76
1873,201703,S08000020,"",75plus,"",Patient and Family Related Reasons,"",13,0
1874,201703,S08000020,"",75plus,"",Code 9 AWI,"",360,12
1875,201703,S08000020,"",75plus,"",Code 9 Non-AWI,"",52,2
1876,201703,S08000022,"",18plus,d,All Delay Reasons,d,4196,135
1877,201703,S08000022,"",18plus,d,Health and Social Care Reasons,"",2844,92
1878,201703,S08000022,"",18plus,d,Patient and Family Related Reasons,"",275,9
1879,201703,S08000022,"",18plus,d,Code 9 AWI,"",477,15
1880,201703,S08000022,"",18plus,d,Code 9 Non-AWI,"",600,19
1881,201703,S08000022,"",18-74,"",All Delay Reasons,d,770,25
1882,201703,S08000022,"",18-74,"",Health and Social Care Reasons,"",437,14
1883,201703,S08000022,"",18-74,"",Patient and Family Related Reasons,"",13,0
1884,201703,S08000022,"",18-74,"",Code 9 AWI,"",68,2
1885,201703,S08000022,"",18-74,"",Code 9 Non-AWI,"",252,8
1886,201703,S08000022,"",75plus,"",All Delay Reasons,d,3426,111
1887,201703,S08000022,"",75plus,"",Health and Social Care Reasons,"",2407,78
1888,201703,S08000022,"",75plus,"",Patient and Family Related Reasons,"",262,8
1889,201703,S08000022,"",75plus,"",Code 9 AWI,"",409,13
1890,201703,S08000022,"",75plus,"",Code 9 Non-AWI,"",348,11
1891,201703,S08000024,"",18plus,d,All Delay Reasons,d,9587,309
1892,201703,S08000024,"",18plus,d,Health and Social Care Reasons,"",8665,280
1893,201703,S08000024,"",18plus,d,Patient and Family Related Reasons,"",227,7
1894,201703,S08000024,"",18plus,d,Code 9 AWI,"",580,19
1895,201703,S08000024,"",18plus,d,Code 9 Non-AWI,"",115,4
1896,201703,S08000024,"",18-74,"",All Delay Reasons,d,3147,102
1897,201703,S08000024,"",18-74,"",Health and Social Care Reasons,"",2781,90
1898,201703,S08000024,"",18-74,"",Patient and Family Related Reasons,"",94,3
1899,201703,S08000024,"",18-74,"",Code 9 AWI,"",188,6
1900,201703,S08000024,"",18-74,"",Code 9 Non-AWI,"",84,3
1901,201703,S08000024,"",75plus,"",All Delay Reasons,d,6440,208
1902,201703,S08000024,"",75plus,"",Health and Social Care Reasons,"",5884,190
1903,201703,S08000024,"",75plus,"",Patient and Family Related Reasons,"",133,4
1904,201703,S08000024,"",75plus,"",Code 9 AWI,"",392,13
1905,201703,S08000024,"",75plus,"",Code 9 Non-AWI,"",31,1
1906,201703,S08000025,"",18plus,d,All Delay Reasons,d,45,1
1907,201703,S08000025,"",18plus,d,Health and Social Care Reasons,"",27,1
1908,201703,S08000025,"",18plus,d,Patient and Family Related Reasons,"",0,0
1909,201703,S08000025,"",18plus,d,Code 9 AWI,"",3,0
1910,201703,S08000025,"",18plus,d,Code 9 Non-AWI,"",15,0
1911,201703,S08000025,"",18-74,"",All Delay Reasons,d,27,1
1912,201703,S08000025,"",18-74,"",Health and Social Care Reasons,"",27,1
1913,201703,S08000025,"",18-74,"",Patient and Family Related Reasons,"",0,0
1914,201703,S08000025,"",18-74,"",Code 9 AWI,"",0,0
1915,201703,S08000025,"",18-74,"",Code 9 Non-AWI,"",0,0
1916,201703,S08000025,"",75plus,"",All Delay Reasons,d,18,1
1917,201703,S08000025,"",75plus,"",Health and Social Care Reasons,"",0,0
1918,201703,S08000025,"",75plus,"",Patient and Family Related Reasons,"",0,0
1919,201703,S08000025,"",75plus,"",Code 9 AWI,"",3,0
1920,201703,S08000025,"",75plus,"",Code 9 Non-AWI,"",15,0
1921,201703,S08000026,"",18plus,d,All Delay Reasons,d,30,1
1922,201703,S08000026,"",18plus,d,Health and Social Care Reasons,"",30,1
1923,201703,S08000026,"",18plus,d,Patient and Family Related Reasons,"",0,0
1924,201703,S08000026,"",18plus,d,Code 9 AWI,"",0,0
1925,201703,S08000026,"",18plus,d,Code 9 Non-AWI,"",0,0
1926,201703,S08000026,"",18-74,"",All Delay Reasons,d,1,0
1927,201703,S08000026,"",18-74,"",Health and Social Care Reasons,"",1,0
1928,201703,S08000026,"",18-74,"",Patient and Family Related Reasons,"",0,0
1929,201703,S08000026,"",18-74,"",Code 9 AWI,"",0,0
1930,201703,S08000026,"",18-74,"",Code 9 Non-AWI,"",0,0
1931,201703,S08000026,"",75plus,"",All Delay Reasons,d,29,1
1932,201703,S08000026,"",75plus,"",Health and Social Care Reasons,"",29,1
1933,201703,S08000026,"",75plus,"",Patient and Family Related Reasons,"",0,0
1934,201703,S08000026,"",75plus,"",Code 9 AWI,"",0,0
1935,201703,S08000026,"",75plus,"",Code 9 Non-AWI,"",0,0
1936,201703,S08000028,"",18plus,d,All Delay Reasons,d,598,19
1937,201703,S08000028,"",18plus,d,Health and Social Care Reasons,"",468,15
1938,201703,S08000028,"",18plus,d,Patient and Family Related Reasons,"",8,0
1939,201703,S08000028,"",18plus,d,Code 9 AWI,"",31,1
1940,201703,S08000028,"",18plus,d,Code 9 Non-AWI,"",91,3
1941,201703,S08000028,"",18-74,"",All Delay Reasons,d,149,5
1942,201703,S08000028,"",18-74,"",Health and Social Care Reasons,"",126,4
1943,201703,S08000028,"",18-74,"",Patient and Family Related Reasons,"",0,0
1944,201703,S08000028,"",18-74,"",Code 9 AWI,"",23,1
1945,201703,S08000028,"",18-74,"",Code 9 Non-AWI,"",0,0
1946,201703,S08000028,"",75plus,"",All Delay Reasons,d,449,14
1947,201703,S08000028,"",75plus,"",Health and Social Care Reasons,"",342,11
1948,201703,S08000028,"",75plus,"",Patient and Family Related Reasons,"",8,0
1949,201703,S08000028,"",75plus,"",Code 9 AWI,"",8,0
1950,201703,S08000028,"",75plus,"",Code 9 Non-AWI,"",91,3
1951,201703,S08000029,"",18plus,d,All Delay Reasons,d,1991,64
1952,201703,S08000029,"",18plus,d,Health and Social Care Reasons,"",1402,45
1953,201703,S08000029,"",18plus,d,Patient and Family Related Reasons,"",37,1
1954,201703,S08000029,"",18plus,d,Code 9 AWI,"",461,15
1955,201703,S08000029,"",18plus,d,Code 9 Non-AWI,"",91,3
1956,201703,S08000029,"",18-74,"",All Delay Reasons,d,670,22
1957,201703,S08000029,"",18-74,"",Health and Social Care Reasons,"",441,14
1958,201703,S08000029,"",18-74,"",Patient and Family Related Reasons,"",0,0
1959,201703,S08000029,"",18-74,"",Code 9 AWI,"",147,5
1960,201703,S08000029,"",18-74,"",Code 9 Non-AWI,"",82,3
1961,201703,S08000029,"",75plus,"",All Delay Reasons,d,1321,43
1962,201703,S08000029,"",75plus,"",Health and Social Care Reasons,"",961,31
1963,201703,S08000029,"",75plus,"",Patient and Family Related Reasons,"",37,1
1964,201703,S08000029,"",75plus,"",Code 9 AWI,"",314,10
1965,201703,S08000029,"",75plus,"",Code 9 Non-AWI,"",9,0
1966,201703,S08000030,"",18plus,d,All Delay Reasons,d,3746,121
1967,201703,S08000030,"",18plus,d,Health and Social Care Reasons,"",2430,78
1968,201703,S08000030,"",18plus,d,Patient and Family Related Reasons,"",152,5
1969,201703,S08000030,"",18plus,d,Code 9 AWI,"",594,19
1970,201703,S08000030,"",18plus,d,Code 9 Non-AWI,"",570,18
1971,201703,S08000030,"",18-74,"",All Delay Reasons,d,1430,46
1972,201703,S08000030,"",18-74,"",Health and Social Care Reasons,"",720,23
1973,201703,S08000030,"",18-74,"",Patient and Family Related Reasons,"",0,0
1974,201703,S08000030,"",18-74,"",Code 9 AWI,"",172,6
1975,201703,S08000030,"",18-74,"",Code 9 Non-AWI,"",538,17
1976,201703,S08000030,"",75plus,"",All Delay Reasons,d,2316,75
1977,201703,S08000030,"",75plus,"",Health and Social Care Reasons,"",1710,55
1978,201703,S08000030,"",75plus,"",Patient and Family Related Reasons,"",152,5
1979,201703,S08000030,"",75plus,"",Code 9 AWI,"",422,14
1980,201703,S08000030,"",75plus,"",Code 9 Non-AWI,"",32,1
1981,201703,S08000031,"",18plus,d,All Delay Reasons,d,5127,165
1982,201703,S08000031,"",18plus,d,Health and Social Care Reasons,"",3180,103
1983,201703,S08000031,"",18plus,d,Patient and Family Related Reasons,"",240,8
1984,201703,S08000031,"",18plus,d,Code 9 AWI,"",1280,41
1985,201703,S08000031,"",18plus,d,Code 9 Non-AWI,"",427,14
1986,201703,S08000031,"",18-74,"",All Delay Reasons,d,2273,73
1987,201703,S08000031,"",18-74,"",Health and Social Care Reasons,"",1173,38
1988,201703,S08000031,"",18-74,"",Patient and Family Related Reasons,"",24,1
1989,201703,S08000031,"",18-74,"",Code 9 AWI,"",658,21
1990,201703,S08000031,"",18-74,"",Code 9 Non-AWI,"",418,13
1991,201703,S08000031,"",75plus,"",All Delay Reasons,d,2854,92
1992,201703,S08000031,"",75plus,"",Health and Social Care Reasons,"",2007,65
1993,201703,S08000031,"",75plus,"",Patient and Family Related Reasons,"",216,7
1994,201703,S08000031,"",75plus,"",Code 9 AWI,"",622,20
1995,201703,S08000031,"",75plus,"",Code 9 Non-AWI,"",9,0
1996,201703,S08000032,"",18plus,d,All Delay Reasons,d,6323,204
1997,201703,S08000032,"",18plus,d,Health and Social Care Reasons,"",5139,166
1998,201703,S08000032,"",18plus,d,Patient and Family Related Reasons,"",402,13
1999,201703,S08000032,"",18plus,d,Code 9 AWI,"",542,17
2000,201703,S08000032,"",18plus,d,Code 9 Non-AWI,"",240,8
2001,201703,S08000032,"",18-74,"",All Delay Reasons,d,1899,61
2002,201703,S08000032,"",18-74,"",Health and Social Care Reasons,"",1619,52
2003,201703,S08000032,"",18-74,"",Patient and Family Related Reasons,"",24,1
2004,201703,S08000032,"",18-74,"",Code 9 AWI,"",124,4
2005,201703,S08000032,"",18-74,"",Code 9 Non-AWI,"",132,4
2006,201703,S08000032,"",75plus,"",All Delay Reasons,d,4424,143
2007,201703,S08000032,"",75plus,"",Health and Social Care Reasons,"",3520,114
2008,201703,S08000032,"",75plus,"",Patient and Family Related Reasons,"",378,12
2009,201703,S08000032,"",75plus,"",Code 9 AWI,"",418,13
2010,201703,S08000032,"",75plus,"",Code 9 Non-AWI,"",108,3
2011,201703,S92000003,d,18plus,d,All Delay Reasons,d,41493,1338
2012,201703,S92000003,d,18plus,d,Health and Social Care Reasons,"",30851,995
2013,201703,S92000003,d,18plus,d,Patient and Family Related Reasons,"",1783,58
2014,201703,S92000003,d,18plus,d,Code 9 AWI,"",6083,196
2015,201703,S92000003,d,18plus,d,Code 9 Non-AWI,"",2776,90
2016,201703,S92000003,d,18-74,"",All Delay Reasons,d,12972,418
2017,201703,S92000003,d,18-74,"",Health and Social Care Reasons,"",8845,285
2018,201703,S92000003,d,18-74,"",Patient and Family Related Reasons,"",225,7
2019,201703,S92000003,d,18-74,"",Code 9 AWI,"",1912,62
2020,201703,S92000003,d,18-74,"",Code 9 Non-AWI,"",1990,64
2021,201703,S92000003,d,75plus,"",All Delay Reasons,d,28521,920
2022,201703,S92000003,d,75plus,"",Health and Social Care Reasons,"",22006,710
2023,201703,S92000003,d,75plus,"",Patient and Family Related Reasons,"",1558,50
2024,201703,S92000003,d,75plus,"",Code 9 AWI,"",4171,135
2025,201703,S92000003,d,75plus,"",Code 9 Non-AWI,"",786,25
2026,201704,S08000015,"",18plus,d,All Delay Reasons,d,2248,75
2027,201704,S08000015,"",18plus,d,Health and Social Care Reasons,"",1329,44
2028,201704,S08000015,"",18plus,d,Patient and Family Related Reasons,"",0,0
2029,201704,S08000015,"",18plus,d,Code 9 AWI,"",834,28
2030,201704,S08000015,"",18plus,d,Code 9 Non-AWI,"",85,3
2031,201704,S08000015,"",18-74,"",All Delay Reasons,d,492,16
2032,201704,S08000015,"",18-74,"",Health and Social Care Reasons,"",316,11
2033,201704,S08000015,"",18-74,"",Patient and Family Related Reasons,"",0,0
2034,201704,S08000015,"",18-74,"",Code 9 AWI,"",176,6
2035,201704,S08000015,"",18-74,"",Code 9 Non-AWI,"",0,0
2036,201704,S08000015,"",75plus,"",All Delay Reasons,d,1756,59
2037,201704,S08000015,"",75plus,"",Health and Social Care Reasons,"",1013,34
2038,201704,S08000015,"",75plus,"",Patient and Family Related Reasons,"",0,0
2039,201704,S08000015,"",75plus,"",Code 9 AWI,"",658,22
2040,201704,S08000015,"",75plus,"",Code 9 Non-AWI,"",85,3
2041,201704,S08000016,"",18plus,d,All Delay Reasons,d,1070,36
2042,201704,S08000016,"",18plus,d,Health and Social Care Reasons,"",793,26
2043,201704,S08000016,"",18plus,d,Patient and Family Related Reasons,"",21,1
2044,201704,S08000016,"",18plus,d,Code 9 AWI,"",105,4
2045,201704,S08000016,"",18plus,d,Code 9 Non-AWI,"",151,5
2046,201704,S08000016,"",18-74,"",All Delay Reasons,d,326,11
2047,201704,S08000016,"",18-74,"",Health and Social Care Reasons,"",209,7
2048,201704,S08000016,"",18-74,"",Patient and Family Related Reasons,"",0,0
2049,201704,S08000016,"",18-74,"",Code 9 AWI,"",30,1
2050,201704,S08000016,"",18-74,"",Code 9 Non-AWI,"",87,3
2051,201704,S08000016,"",75plus,"",All Delay Reasons,d,744,25
2052,201704,S08000016,"",75plus,"",Health and Social Care Reasons,"",584,19
2053,201704,S08000016,"",75plus,"",Patient and Family Related Reasons,"",21,1
2054,201704,S08000016,"",75plus,"",Code 9 AWI,"",75,3
2055,201704,S08000016,"",75plus,"",Code 9 Non-AWI,"",64,2
2056,201704,S08000017,"",18plus,d,All Delay Reasons,d,1008,34
2057,201704,S08000017,"",18plus,d,Health and Social Care Reasons,"",821,27
2058,201704,S08000017,"",18plus,d,Patient and Family Related Reasons,"",31,1
2059,201704,S08000017,"",18plus,d,Code 9 AWI,"",156,5
2060,201704,S08000017,"",18plus,d,Code 9 Non-AWI,"",0,0
2061,201704,S08000017,"",18-74,"",All Delay Reasons,d,307,10
2062,201704,S08000017,"",18-74,"",Health and Social Care Reasons,"",176,6
2063,201704,S08000017,"",18-74,"",Patient and Family Related Reasons,"",31,1
2064,201704,S08000017,"",18-74,"",Code 9 AWI,"",100,3
2065,201704,S08000017,"",18-74,"",Code 9 Non-AWI,"",0,0
2066,201704,S08000017,"",75plus,"",All Delay Reasons,d,701,23
2067,201704,S08000017,"",75plus,"",Health and Social Care Reasons,"",645,22
2068,201704,S08000017,"",75plus,"",Patient and Family Related Reasons,"",0,0
2069,201704,S08000017,"",75plus,"",Code 9 AWI,"",56,2
2070,201704,S08000017,"",75plus,"",Code 9 Non-AWI,"",0,0
2071,201704,S08000019,"",18plus,d,All Delay Reasons,d,1818,61
2072,201704,S08000019,"",18plus,d,Health and Social Care Reasons,"",1129,38
2073,201704,S08000019,"",18plus,d,Patient and Family Related Reasons,"",206,7
2074,201704,S08000019,"",18plus,d,Code 9 AWI,"",330,11
2075,201704,S08000019,"",18plus,d,Code 9 Non-AWI,"",153,5
2076,201704,S08000019,"",18-74,"",All Delay Reasons,d,404,13
2077,201704,S08000019,"",18-74,"",Health and Social Care Reasons,"",248,8
2078,201704,S08000019,"",18-74,"",Patient and Family Related Reasons,"",3,0
2079,201704,S08000019,"",18-74,"",Code 9 AWI,"",30,1
2080,201704,S08000019,"",18-74,"",Code 9 Non-AWI,"",123,4
2081,201704,S08000019,"",75plus,"",All Delay Reasons,d,1414,47
2082,201704,S08000019,"",75plus,"",Health and Social Care Reasons,"",881,29
2083,201704,S08000019,"",75plus,"",Patient and Family Related Reasons,"",203,7
2084,201704,S08000019,"",75plus,"",Code 9 AWI,"",300,10
2085,201704,S08000019,"",75plus,"",Code 9 Non-AWI,"",30,1
2086,201704,S08000020,"",18plus,d,All Delay Reasons,d,4539,151
2087,201704,S08000020,"",18plus,d,Health and Social Care Reasons,"",3683,123
2088,201704,S08000020,"",18plus,d,Patient and Family Related Reasons,"",66,2
2089,201704,S08000020,"",18plus,d,Code 9 AWI,"",574,19
2090,201704,S08000020,"",18plus,d,Code 9 Non-AWI,"",216,7
2091,201704,S08000020,"",18-74,"",All Delay Reasons,d,1216,41
2092,201704,S08000020,"",18-74,"",Health and Social Care Reasons,"",884,29
2093,201704,S08000020,"",18-74,"",Patient and Family Related Reasons,"",0,0
2094,201704,S08000020,"",18-74,"",Code 9 AWI,"",142,5
2095,201704,S08000020,"",18-74,"",Code 9 Non-AWI,"",190,6
2096,201704,S08000020,"",75plus,"",All Delay Reasons,d,3323,111
2097,201704,S08000020,"",75plus,"",Health and Social Care Reasons,"",2799,93
2098,201704,S08000020,"",75plus,"",Patient and Family Related Reasons,"",66,2
2099,201704,S08000020,"",75plus,"",Code 9 AWI,"",432,14
2100,201704,S08000020,"",75plus,"",Code 9 Non-AWI,"",26,1
2101,201704,S08000022,"",18plus,d,All Delay Reasons,d,4387,146
2102,201704,S08000022,"",18plus,d,Health and Social Care Reasons,"",1688,56
2103,201704,S08000022,"",18plus,d,Patient and Family Related Reasons,"",379,13
2104,201704,S08000022,"",18plus,d,Code 9 AWI,"",564,19
