date,hbt,hb_name,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,percent_meeting_target
2018-09-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,78,78,100
2018-09-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,15,15,100
2018-09-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,119,119,100
2018-09-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,39,39,100
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1527,1491,97.64243614931237
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2635,2441,92.63757115749526
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5574,4836,86.75995694294942
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,8001,6893,86.15173103362079
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1823,1822,99.94514536478333
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2968,2967,99.96630727762803
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8641,7439,86.0895729660919
2018-09-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5344,5235,97.96032934131736
2018-09-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,692,690,99.71098265895954
2018-09-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,112,112,100
2018-09-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,357,350,98.0392156862745
2018-09-01,S08000022,NHS Highland,C121H,Emergency Department,645,626,97.05426356589147
2018-09-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,491,487,99.18533604887983
2018-09-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,207,206,99.51690821256038
2018-09-01,S08000022,NHS Highland,H103H,Emergency Department,670,639,95.3731343283582
2018-09-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,37,37,100
2018-09-01,S08000022,NHS Highland,H202H,Emergency Department,3069,2847,92.7663734115347
2018-09-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,407,407,100
2018-09-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,66,66,100
2018-09-01,S08000022,NHS Highland,H212H,Emergency Department,866,839,96.88221709006929
2018-09-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,446,445,99.77578475336323
2018-09-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,213,213,100
2018-09-01,S08000022,NHS Highland,H217H,Minor Injury Unit or Other,49,49,100
2018-09-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,157,157,100
2018-09-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,391,384,98.20971867007673
2018-09-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,116,116,100
2018-09-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,76,75,98.68421052631578
2018-09-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5689,5290,92.98646510810336
2018-09-01,S08000032,NHS Lanarkshire,L206H,Minor Injury Unit or Other,67,67,100
2018-09-01,S08000032,NHS Lanarkshire,L207H,Minor Injury Unit or Other,62,62,100
2018-09-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5445,4945,90.81726354453627
2018-09-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5970,5356,89.71524288107202
2018-09-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,181,181,100
2018-09-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3951,3479,88.05365730194887
2018-09-01,S08000024,NHS Lothian,S308H,Emergency Department,4909,4269,86.96272153188022
2018-09-01,S08000024,NHS Lothian,S314H,Emergency Department,10111,7601,75.17555137968549
2018-09-01,S08000024,NHS Lothian,S319H,Emergency Department,3966,3766,94.95713565305093
2018-09-01,S08000025,NHS Orkney,R103H,Emergency Department,572,536,93.7062937062937
2018-09-01,S08000026,NHS Shetland,Z102H,Emergency Department,589,569,96.60441426146011
2018-09-01,S08000030,NHS Tayside,T101H,Emergency Department,4354,4210,96.69269637115296
2018-09-01,S08000030,NHS Tayside,T202H,Emergency Department,2258,2165,95.881310894597
2018-09-01,S08000030,NHS Tayside,T205H,Minor Injury Unit or Other,42,42,100
2018-09-01,S08000030,NHS Tayside,T209H,Minor Injury Unit or Other,279,279,100
2018-09-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,1382,1382,100
2018-09-01,S08000030,NHS Tayside,T305H,Minor Injury Unit or Other,108,108,100
2018-09-01,S08000030,NHS Tayside,T316H,Minor Injury Unit or Other,76,76,100
2018-09-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,497,497,100
2018-09-01,S08000030,NHS Tayside,T320H,Minor Injury Unit or Other,149,149,100
2018-09-01,S08000030,NHS Tayside,T357C,Minor Injury Unit or Other,270,270,100
2018-09-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,53,53,100
2018-09-01,S08000028,NHS Western Isles,W107H,Emergency Department,540,528,97.77777777777777
2018-09-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,195,194,99.48717948717949
2018-10-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,231,227,98.26839826839827
2018-10-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,51,48,94.11764705882352
2018-10-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,6216,5899,94.9002574002574
2018-10-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,3166,2881,90.99810486418193
2018-10-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,80,80,100
2018-10-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,14,14,100
2018-10-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,73,73,100
2018-10-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,9,9,100
2018-10-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,39,39,100
2018-10-01,S08000016,NHS Borders,B120H,Emergency Department,2726,2573,94.387380777696265
2018-10-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,14,14,100
2018-10-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,37,37,100
2018-10-01,S08000017,NHS Dumfries and Galloway,Y109H,Minor Injury Unit or Other,1,1,100
2018-10-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,6,6,100
2018-10-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1078,993,92.11502782931355
2018-10-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2725,2608,95.70642201834862
2018-10-01,S08000029,NHS Fife,F704H,Emergency Department,5479,5167,94.30553020624201
2018-10-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,156,156,100
2018-10-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,313,313,100
2018-10-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1603,1596,99.56331877729258
2018-10-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1692,1672,98.81796690307328
2018-10-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5370,4197,78.1564245810056
2018-10-01,S08000020,NHS Grampian,N101H,Emergency Department,5076,4683,92.25768321513003
2018-10-01,S08000020,NHS Grampian,N121H,Emergency Department,1163,1153,99.140154772141
2018-10-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,102,102,100
2018-10-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,4,4,100
2018-10-01,S08000020,NHS Grampian,N332H,Minor Injury Unit or Other,30,30,100
2018-10-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,1186,1184,99.83136593591905
2018-10-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,544,541,99.44852941176471
2018-10-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,263,261,99.23954372623575
2018-10-01,S08000020,NHS Grampian,N336H,Minor Injury Unit or Other,129,129,100
2018-10-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,277,272,98.19494584837545
2018-10-01,S08000020,NHS Grampian,N411H,Emergency Department,1850,1757,94.97297297297297
2018-10-01,S08000020,NHS Grampian,N431H,Minor Injury Unit or Other,47,47,100
2018-10-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,25,25,100
2018-10-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,98,98,100
2018-10-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,20,20,100
2018-10-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,72,72,100
2018-10-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,43,43,100
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1463,1439,98.35953520164047
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2792,2506,89.75644699140402
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5610,4851,86.47058823529412
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,8120,7295,89.83990147783251
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1798,1798,100
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2924,2924,100
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8714,7449,85.48313059444573
2018-10-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5409,5275,97.52264743945275
2018-10-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,703,700,99.57325746799431
2018-10-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,84,84,100
2018-10-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,305,298,97.70491803278688
2018-10-01,S08000022,NHS Highland,C121H,Emergency Department,602,584,97.00996677740864
2018-10-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,444,437,98.42342342342343
2018-10-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,148,148,100
2018-10-01,S08000022,NHS Highland,H103H,Emergency Department,680,658,96.76470588235294
2018-10-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,36,36,100
2018-10-01,S08000022,NHS Highland,H202H,Emergency Department,2842,2679,94.26460239268121
2018-10-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,401,401,100
2018-10-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,50,50,100
2018-10-01,S08000022,NHS Highland,H212H,Emergency Department,750,729,97.2
2018-10-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,356,356,100
2018-10-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,169,169,100
2018-10-01,S08000022,NHS Highland,H217H,Minor Injury Unit or Other,38,38,100
2018-10-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,156,156,100
2018-10-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,316,311,98.41772151898735
2018-10-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,130,130,100
2018-10-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,76,74,97.36842105263158
2018-10-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5872,5586,95.12942779291554
2018-10-01,S08000032,NHS Lanarkshire,L206H,Minor Injury Unit or Other,54,54,100
2018-10-01,S08000032,NHS Lanarkshire,L207H,Minor Injury Unit or Other,45,45,100
2018-10-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5392,4794,88.90949554896143
2018-10-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5991,5326,88.90001669170422
2018-10-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,181,181,100
2018-10-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,4066,3745,92.10526315789474
2018-10-01,S08000024,NHS Lothian,S308H,Emergency Department,4791,4211,87.89396785639741
2018-10-01,S08000024,NHS Lothian,S314H,Emergency Department,10190,8761,85.97644749754662
2018-10-01,S08000024,NHS Lothian,S319H,Emergency Department,4024,3858,95.87475149105367
2018-10-01,S08000025,NHS Orkney,R103H,Emergency Department,493,470,95.33468559837728
2018-10-01,S08000026,NHS Shetland,Z102H,Emergency Department,653,626,95.86523736600306
2018-10-01,S08000030,NHS Tayside,T101H,Emergency Department,4041,3954,97.84706755753525
2018-10-01,S08000030,NHS Tayside,T202H,Emergency Department,2030,1999,98.47290640394088
2018-10-01,S08000030,NHS Tayside,T205H,Minor Injury Unit or Other,40,40,100
2018-10-01,S08000030,NHS Tayside,T209H,Minor Injury Unit or Other,252,252,100
2018-10-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,1192,1192,100
2018-10-01,S08000030,NHS Tayside,T305H,Minor Injury Unit or Other,99,99,100
2018-10-01,S08000030,NHS Tayside,T316H,Minor Injury Unit or Other,60,60,100
2018-10-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,526,526,100
2018-10-01,S08000030,NHS Tayside,T320H,Minor Injury Unit or Other,68,68,100
2018-10-01,S08000030,NHS Tayside,T357C,Minor Injury Unit or Other,256,256,100
2018-10-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,62,62,100
2018-10-01,S08000028,NHS Western Isles,W107H,Emergency Department,514,509,99.0272373540856
2018-10-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,149,149,100
2018-11-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,177,174,98.30508474576271
2018-11-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,38,38,100
2018-11-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,6021,5601,93.02441454907823
2018-11-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,3051,2734,89.60996394624713
2018-11-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,56,56,100
2018-11-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,7,7,100
2018-11-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,65,65,100
2018-11-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,11,11,100
2018-11-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,50,50,100
2018-11-01,S08000016,NHS Borders,B120H,Emergency Department,2445,2356,96.359918200409
2018-11-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,26,26,100
2018-11-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,38,38,100
2018-11-01,S08000017,NHS Dumfries and Galloway,Y109H,Minor Injury Unit or Other,1,1,100
2018-11-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,13,13,100
2018-11-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,957,892,93.20794148380355
2018-11-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2677,2562,95.70414643257378
2018-11-01,S08000029,NHS Fife,F704H,Emergency Department,5412,5085,93.95787139689578
2018-11-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,132,132,100
2018-11-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,293,293,100
2018-11-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1621,1620,99.9383096853794
2018-11-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1587,1587,100
2018-11-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5207,3736,71.74956788937969
2018-11-01,S08000020,NHS Grampian,N101H,Emergency Department,4723,4337,91.82722845648952
2018-11-01,S08000020,NHS Grampian,N121H,Emergency Department,1269,1261,99.36958234830576
2018-11-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,83,83,100
2018-11-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,3,3,100
2018-11-01,S08000020,NHS Grampian,N332H,Minor Injury Unit or Other,32,32,100
2018-11-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,1197,1197,100
2018-11-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,560,560,100
2018-11-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,229,228,99.56331877729258
2018-11-01,S08000020,NHS Grampian,N336H,Minor Injury Unit or Other,126,126,100
2018-11-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,256,244,95.3125
2018-11-01,S08000020,NHS Grampian,N411H,Emergency Department,2061,1865,90.49005337214943
2018-11-01,S08000020,NHS Grampian,N431H,Minor Injury Unit or Other,43,43,100
2018-11-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,12,12,100
2018-11-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,60,60,100
2018-11-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,14,14,100
2018-11-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,83,83,100
2018-11-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,37,37,100
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1354,1308,96.602658788774
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2462,2278,92.5264012997563
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5437,4825,88.74379253264668
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7875,7019,89.13015873015873
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1705,1705,100
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2685,2683,99.92551210428306
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8286,6967,84.08158339367608
2018-11-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,6272,5736,91.45408163265306
2018-11-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,628,627,99.84076433121018
2018-11-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,91,91,100
2018-11-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,326,318,97.54601226993866
2018-11-01,S08000022,NHS Highland,C121H,Emergency Department,577,559,96.88041594454073
2018-11-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,384,383,99.73958333333334
2018-11-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,169,169,100
2018-11-01,S08000022,NHS Highland,H103H,Emergency Department,675,661,97.92592592592592
2018-11-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,38,38,100
2018-11-01,S08000022,NHS Highland,H202H,Emergency Department,2709,2572,94.94278331487634
2018-11-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,362,362,100
2018-11-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,58,58,100
2018-11-01,S08000022,NHS Highland,H212H,Emergency Department,658,627,95.2887537993921
2018-11-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,317,317,100
2018-11-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,179,179,100
2018-11-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,143,143,100
2018-11-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,363,361,99.44903581267218
2018-11-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,105,105,100
2018-11-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,58,57,98.27586206896551
2018-11-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5709,5366,93.99194254685584
2018-11-01,S08000032,NHS Lanarkshire,L206H,Minor Injury Unit or Other,49,49,100
2018-11-01,S08000032,NHS Lanarkshire,L207H,Minor Injury Unit or Other,41,41,100
2018-11-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,5291,4796,90.64449064449065
2018-11-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5917,4911,82.99814094980565
2018-11-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,141,141,100
2018-11-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3826,3533,92.34187140616832
2018-11-01,S08000024,NHS Lothian,S308H,Emergency Department,4832,4185,86.61009933774835
2018-11-01,S08000024,NHS Lothian,S314H,Emergency Department,9888,8629,87.26739482200647
2018-11-01,S08000024,NHS Lothian,S319H,Emergency Department,4808,4477,93.11564059900167
2018-11-01,S08000025,NHS Orkney,R103H,Emergency Department,520,493,94.8076923076923
2018-11-01,S08000026,NHS Shetland,Z102H,Emergency Department,682,663,97.21407624633432
2018-11-01,S08000030,NHS Tayside,T101H,Emergency Department,4163,3992,95.89238529906318
2018-11-01,S08000030,NHS Tayside,T202H,Emergency Department,1857,1809,97.4151857835218
2018-11-01,S08000030,NHS Tayside,T205H,Minor Injury Unit or Other,40,40,100
2018-11-01,S08000030,NHS Tayside,T209H,Minor Injury Unit or Other,270,270,100
2018-11-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,1217,1216,99.9178307313065
2018-11-01,S08000030,NHS Tayside,T305H,Minor Injury Unit or Other,93,93,100
2018-11-01,S08000030,NHS Tayside,T316H,Minor Injury Unit or Other,49,49,100
2018-11-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,404,404,100
2018-11-01,S08000030,NHS Tayside,T320H,Minor Injury Unit or Other,94,94,100
2018-11-01,S08000030,NHS Tayside,T357C,Minor Injury Unit or Other,245,245,100
2018-11-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,42,42,100
2018-11-01,S08000028,NHS Western Isles,W107H,Emergency Department,487,480,98.56262833675564
2018-11-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,141,140,99.29078014184397
2018-12-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,191,185,96.8586387434555
2018-12-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,47,47,100
2018-12-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,6170,5553,90
2018-12-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,3129,2873,91.81847235538511
2018-12-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,61,60,98.36065573770492
2018-12-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,8,8,100
2018-12-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,64,64,100
2018-12-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,7,7,100
2018-12-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,25,25,100
2018-12-01,S08000016,NHS Borders,B120H,Emergency Department,2464,2312,93.83116883116884
2018-12-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,17,17,100
2018-12-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,22,22,100
2018-12-01,S08000017,NHS Dumfries and Galloway,Y109H,Minor Injury Unit or Other,4,4,100
2018-12-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,10,10,100
2018-12-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1036,941,90.83011583011583
2018-12-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2821,2517,89.22367954626019
2018-12-01,S08000029,NHS Fife,F704H,Emergency Department,5651,5126,90.70960891877544
2018-12-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,117,116,99.14529914529915
2018-12-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,181,180,99.4475138121547
2018-12-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1476,1471,99.66124661246613
2018-12-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1475,1475,100
2018-12-01,S08000019,NHS Forth Valley,V217H,Emergency Department,5468,3971,72.62253108997805
2018-12-01,S08000020,NHS Grampian,N101H,Emergency Department,5091,4547,89.31447652720486
2018-12-01,S08000020,NHS Grampian,N121H,Emergency Department,1231,1222,99.26888708367181
2018-12-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,77,77,100
2018-12-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,9,9,100
2018-12-01,S08000020,NHS Grampian,N332H,Minor Injury Unit or Other,20,20,100
2018-12-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,1329,1329,100
2018-12-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,696,696,100
2018-12-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,245,243,99.18367346938776
2018-12-01,S08000020,NHS Grampian,N336H,Minor Injury Unit or Other,111,111,100
2018-12-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,242,241,99.58677685950413
2018-12-01,S08000020,NHS Grampian,N411H,Emergency Department,2087,1904,91.23143267848587
2018-12-01,S08000020,NHS Grampian,N431H,Minor Injury Unit or Other,48,48,100
2018-12-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,13,13,100
2018-12-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,71,71,100
2018-12-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,12,12,100
2018-12-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,82,82,100
2018-12-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,21,21,100
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1423,1354,95.15108924806746
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2715,2394,88.17679558011051
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5716,4848,84.81455563331001
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,8115,6896,84.97843499691928
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1612,1565,97.08436724565756
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2517,2516,99.96027016289233
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,8805,7000,79.50028392958546
2018-12-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,5885,5595,95.07221750212405
2018-12-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,662,660,99.69788519637463
2018-12-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,104,103,99.03846153846155
2018-12-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,331,321,96.97885196374622
2018-12-01,S08000022,NHS Highland,C121H,Emergency Department,636,613,96.38364779874213
2018-12-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,465,464,99.78494623655914
2018-12-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,147,147,100
2018-12-01,S08000022,NHS Highland,H103H,Emergency Department,701,674,96.14835948644793
2018-12-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,29,29,100
2018-12-01,S08000022,NHS Highland,H202H,Emergency Department,2959,2723,92.02433254477864
2018-12-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,344,344,100
2018-12-01,S08000022,NHS Highland,H210H,Minor Injury Unit or Other,43,43,100
2018-12-01,S08000022,NHS Highland,H212H,Emergency Department,639,613,95.93114241001565
2018-12-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,385,385,100
2018-12-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,179,179,100
2018-12-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,97,97,100
2018-12-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,381,374,98.16272965879264
2018-12-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,107,107,100
