month_ending,hb,hb_name,patient_type,number_waiting,number_waiting_over12weeks
2020-02-29,S08000025,NHS Orkney,New Outpatient,739,245
2018-04-30,S08000025,NHS Orkney,New Outpatient,950,328
2019-04-30,S08000025,NHS Orkney,New Outpatient,962,238
2020-04-30,S08000025,NHS Orkney,New Outpatient,680,307
2021-04-30,S08000025,NHS Orkney,New Outpatient,922,392
2022-04-30,S08000025,NHS Orkney,New Outpatient,1066,435
2018-06-30,S08000025,NHS Orkney,New Outpatient,946,352
2019-06-30,S08000025,NHS Orkney,New Outpatient,1123,366
2020-06-30,S08000025,NHS Orkney,New Outpatient,721,468
2021-06-30,S08000025,NHS Orkney,New Outpatient,951,399
2022-06-30,S08000025,NHS Orkney,New Outpatient,1111,420
2018-09-30,S08000025,NHS Orkney,New Outpatient,861,288
2019-09-30,S08000025,NHS Orkney,New Outpatient,968,295
2020-09-30,S08000025,NHS Orkney,New Outpatient,926,444
2021-09-30,S08000025,NHS Orkney,New Outpatient,1054,442
2022-09-30,S08000025,NHS Orkney,New Outpatient,1093,403
2018-11-30,S08000025,NHS Orkney,New Outpatient,831,278
2019-11-30,S08000025,NHS Orkney,New Outpatient,809,192
2020-11-30,S08000025,NHS Orkney,New Outpatient,1019,468
2021-11-30,S08000025,NHS Orkney,New Outpatient,1124,431
2018-01-31,S08000025,NHS Orkney,New Outpatient,828,296
2019-01-31,S08000025,NHS Orkney,New Outpatient,882,309
2020-01-31,S08000025,NHS Orkney,New Outpatient,780,250
2021-01-31,S08000025,NHS Orkney,New Outpatient,1020,508
2022-01-31,S08000025,NHS Orkney,New Outpatient,1018,428
2018-03-31,S08000025,NHS Orkney,New Outpatient,869,308
2019-03-31,S08000025,NHS Orkney,New Outpatient,930,190
2020-03-31,S08000025,NHS Orkney,New Outpatient,671,225
2021-03-31,S08000025,NHS Orkney,New Outpatient,904,382
2022-03-31,S08000025,NHS Orkney,New Outpatient,943,375
2018-05-31,S08000025,NHS Orkney,New Outpatient,866,366
2019-05-31,S08000025,NHS Orkney,New Outpatient,959,254
2020-05-31,S08000025,NHS Orkney,New Outpatient,650,363
2021-05-31,S08000025,NHS Orkney,New Outpatient,888,392
2022-05-31,S08000025,NHS Orkney,New Outpatient,1091,434
2018-07-31,S08000025,NHS Orkney,New Outpatient,915,346
2019-07-31,S08000025,NHS Orkney,New Outpatient,1092,389
2020-07-31,S08000025,NHS Orkney,New Outpatient,821,490
2021-07-31,S08000025,NHS Orkney,New Outpatient,974,392
2022-07-31,S08000025,NHS Orkney,New Outpatient,1144,397
2018-08-31,S08000025,NHS Orkney,New Outpatient,949,395
2019-08-31,S08000025,NHS Orkney,New Outpatient,1050,385
2020-08-31,S08000025,NHS Orkney,New Outpatient,882,453
2021-08-31,S08000025,NHS Orkney,New Outpatient,982,410
2022-08-31,S08000025,NHS Orkney,New Outpatient,1091,412
2018-10-31,S08000025,NHS Orkney,New Outpatient,859,294
2019-10-31,S08000025,NHS Orkney,New Outpatient,926,257
2020-10-31,S08000025,NHS Orkney,New Outpatient,980,473
2021-10-31,S08000025,NHS Orkney,New Outpatient,1224,533
2018-12-31,S08000025,NHS Orkney,New Outpatient,847,321
2019-12-31,S08000025,NHS Orkney,New Outpatient,806,220
2020-12-31,S08000025,NHS Orkney,New Outpatient,1047,478
2021-12-31,S08000025,NHS Orkney,New Outpatient,1141,489
2018-02-28,S08000026,NHS Shetland,New Outpatient,969,221
2019-02-28,S08000026,NHS Shetland,New Outpatient,921,304
2021-02-28,S08000026,NHS Shetland,New Outpatient,800,304
2022-02-28,S08000026,NHS Shetland,New Outpatient,872,202
2020-02-29,S08000026,NHS Shetland,New Outpatient,713,89
2018-04-30,S08000026,NHS Shetland,New Outpatient,1100,225
2019-04-30,S08000026,NHS Shetland,New Outpatient,887,214
2020-04-30,S08000026,NHS Shetland,New Outpatient,676,196
2021-04-30,S08000026,NHS Shetland,New Outpatient,918,301
2022-04-30,S08000026,NHS Shetland,New Outpatient,973,190
2018-06-30,S08000026,NHS Shetland,New Outpatient,1114,281
2019-06-30,S08000026,NHS Shetland,New Outpatient,837,145
2020-06-30,S08000026,NHS Shetland,New Outpatient,762,464
2021-06-30,S08000026,NHS Shetland,New Outpatient,903,242
2022-06-30,S08000026,NHS Shetland,New Outpatient,1045,224
2018-09-30,S08000026,NHS Shetland,New Outpatient,1097,311
2019-09-30,S08000026,NHS Shetland,New Outpatient,826,115
2020-09-30,S08000026,NHS Shetland,New Outpatient,911,381
2021-09-30,S08000026,NHS Shetland,New Outpatient,834,175
2022-09-30,S08000026,NHS Shetland,New Outpatient,1105,279
2018-11-30,S08000026,NHS Shetland,New Outpatient,941,251
2019-11-30,S08000026,NHS Shetland,New Outpatient,696,109
2020-11-30,S08000026,NHS Shetland,New Outpatient,970,419
2021-11-30,S08000026,NHS Shetland,New Outpatient,790,135
2018-01-31,S08000026,NHS Shetland,New Outpatient,955,239
2019-01-31,S08000026,NHS Shetland,New Outpatient,987,325
2020-01-31,S08000026,NHS Shetland,New Outpatient,644,72
2021-01-31,S08000026,NHS Shetland,New Outpatient,946,435
2022-01-31,S08000026,NHS Shetland,New Outpatient,839,189
2018-03-31,S08000026,NHS Shetland,New Outpatient,1039,202
2019-03-31,S08000026,NHS Shetland,New Outpatient,846,236
2020-03-31,S08000026,NHS Shetland,New Outpatient,722,97
2021-03-31,S08000026,NHS Shetland,New Outpatient,870,291
2022-03-31,S08000026,NHS Shetland,New Outpatient,879,179
2018-05-31,S08000026,NHS Shetland,New Outpatient,1109,279
2019-05-31,S08000026,NHS Shetland,New Outpatient,852,156
2020-05-31,S08000026,NHS Shetland,New Outpatient,738,434
2021-05-31,S08000026,NHS Shetland,New Outpatient,951,293
2022-05-31,S08000026,NHS Shetland,New Outpatient,1058,211
2018-07-31,S08000026,NHS Shetland,New Outpatient,1103,326
2019-07-31,S08000026,NHS Shetland,New Outpatient,882,115
2020-07-31,S08000026,NHS Shetland,New Outpatient,823,409
2021-07-31,S08000026,NHS Shetland,New Outpatient,943,264
2022-07-31,S08000026,NHS Shetland,New Outpatient,1150,257
2018-08-31,S08000026,NHS Shetland,New Outpatient,1093,379
2019-08-31,S08000026,NHS Shetland,New Outpatient,846,129
2020-08-31,S08000026,NHS Shetland,New Outpatient,917,417
2021-08-31,S08000026,NHS Shetland,New Outpatient,932,264
2022-08-31,S08000026,NHS Shetland,New Outpatient,1127,317
2018-10-31,S08000026,NHS Shetland,New Outpatient,1073,349
2019-10-31,S08000026,NHS Shetland,New Outpatient,811,138
2020-10-31,S08000026,NHS Shetland,New Outpatient,951,405
2021-10-31,S08000026,NHS Shetland,New Outpatient,833,158
2018-12-31,S08000026,NHS Shetland,New Outpatient,915,264
2019-12-31,S08000026,NHS Shetland,New Outpatient,701,61
2020-12-31,S08000026,NHS Shetland,New Outpatient,928,413
2021-12-31,S08000026,NHS Shetland,New Outpatient,824,166
2018-02-28,S08000028,NHS Western Isles,New Outpatient,824,92
2019-02-28,S08000028,NHS Western Isles,New Outpatient,894,122
2021-02-28,S08000028,NHS Western Isles,New Outpatient,913,316
2022-02-28,S08000028,NHS Western Isles,New Outpatient,944,236
2020-02-29,S08000028,NHS Western Isles,New Outpatient,866,122
2018-04-30,S08000028,NHS Western Isles,New Outpatient,963,86
2019-04-30,S08000028,NHS Western Isles,New Outpatient,1026,69
2020-04-30,S08000028,NHS Western Isles,New Outpatient,741,200
2021-04-30,S08000028,NHS Western Isles,New Outpatient,941,311
2022-04-30,S08000028,NHS Western Isles,New Outpatient,1002,203
2018-06-30,S08000028,NHS Western Isles,New Outpatient,1125,217
2019-06-30,S08000028,NHS Western Isles,New Outpatient,1033,99
2020-06-30,S08000028,NHS Western Isles,New Outpatient,792,498
2021-06-30,S08000028,NHS Western Isles,New Outpatient,881,195
2022-06-30,S08000028,NHS Western Isles,New Outpatient,1060,175
2018-09-30,S08000028,NHS Western Isles,New Outpatient,1091,251
2019-09-30,S08000028,NHS Western Isles,New Outpatient,1033,170
2020-09-30,S08000028,NHS Western Isles,New Outpatient,933,341
2021-09-30,S08000028,NHS Western Isles,New Outpatient,852,133
2022-09-30,S08000028,NHS Western Isles,New Outpatient,1298,199
2018-11-30,S08000028,NHS Western Isles,New Outpatient,1014,147
2019-11-30,S08000028,NHS Western Isles,New Outpatient,1003,142
2020-11-30,S08000028,NHS Western Isles,New Outpatient,932,299
2021-11-30,S08000028,NHS Western Isles,New Outpatient,836,143
2018-01-31,S08000028,NHS Western Isles,New Outpatient,907,106
2019-01-31,S08000028,NHS Western Isles,New Outpatient,932,133
2020-01-31,S08000028,NHS Western Isles,New Outpatient,1023,132
2021-01-31,S08000028,NHS Western Isles,New Outpatient,972,309
2022-01-31,S08000028,NHS Western Isles,New Outpatient,853,183
2018-03-31,S08000028,NHS Western Isles,New Outpatient,909,91
2019-03-31,S08000028,NHS Western Isles,New Outpatient,1006,80
2020-03-31,S08000028,NHS Western Isles,New Outpatient,750,88
2021-03-31,S08000028,NHS Western Isles,New Outpatient,886,282
2022-03-31,S08000028,NHS Western Isles,New Outpatient,1004,200
2018-05-31,S08000028,NHS Western Isles,New Outpatient,1056,156
2019-05-31,S08000028,NHS Western Isles,New Outpatient,997,85
2020-05-31,S08000028,NHS Western Isles,New Outpatient,735,408
2021-05-31,S08000028,NHS Western Isles,New Outpatient,960,255
2022-05-31,S08000028,NHS Western Isles,New Outpatient,1045,212
2018-07-31,S08000028,NHS Western Isles,New Outpatient,1223,269
2019-07-31,S08000028,NHS Western Isles,New Outpatient,990,101
2020-07-31,S08000028,NHS Western Isles,New Outpatient,850,422
2021-07-31,S08000028,NHS Western Isles,New Outpatient,843,155
2022-07-31,S08000028,NHS Western Isles,New Outpatient,1019,189
2018-08-31,S08000028,NHS Western Isles,New Outpatient,1235,309
2019-08-31,S08000028,NHS Western Isles,New Outpatient,1056,153
2020-08-31,S08000028,NHS Western Isles,New Outpatient,946,368
2021-08-31,S08000028,NHS Western Isles,New Outpatient,812,140
2022-08-31,S08000028,NHS Western Isles,New Outpatient,1182,187
2018-10-31,S08000028,NHS Western Isles,New Outpatient,1031,173
2019-10-31,S08000028,NHS Western Isles,New Outpatient,1087,163
2020-10-31,S08000028,NHS Western Isles,New Outpatient,934,294
2021-10-31,S08000028,NHS Western Isles,New Outpatient,888,157
2018-12-31,S08000028,NHS Western Isles,New Outpatient,1025,138
2019-12-31,S08000028,NHS Western Isles,New Outpatient,996,131
2020-12-31,S08000028,NHS Western Isles,New Outpatient,1030,364
2021-12-31,S08000028,NHS Western Isles,New Outpatient,844,168
2018-02-28,S08000029,NHS Fife,New Outpatient,13835,1089
2019-02-28,S08000029,NHS Fife,New Outpatient,13066,826
2021-02-28,S08000029,NHS Fife,New Outpatient,17852,9383
2022-02-28,S08000029,NHS Fife,New Outpatient,21360,10992
2020-02-29,S08000029,NHS Fife,New Outpatient,12435,689
2018-04-30,S08000029,NHS Fife,New Outpatient,14717,1040
2019-04-30,S08000029,NHS Fife,New Outpatient,13784,304
2020-04-30,S08000029,NHS Fife,New Outpatient,11091,2796
2021-04-30,S08000029,NHS Fife,New Outpatient,19922,8781
2022-04-30,S08000029,NHS Fife,New Outpatient,22245,10356
2018-06-30,S08000029,NHS Fife,New Outpatient,14850,1090
2019-06-30,S08000029,NHS Fife,New Outpatient,14612,678
2020-06-30,S08000029,NHS Fife,New Outpatient,11865,8176
2021-06-30,S08000029,NHS Fife,New Outpatient,20556,7796
2022-06-30,S08000029,NHS Fife,New Outpatient,24198,10851
2018-09-30,S08000029,NHS Fife,New Outpatient,14227,1040
2019-09-30,S08000029,NHS Fife,New Outpatient,14859,876
2020-09-30,S08000029,NHS Fife,New Outpatient,15619,6801
2021-09-30,S08000029,NHS Fife,New Outpatient,21245,8954
2022-09-30,S08000029,NHS Fife,New Outpatient,26697,13202
2018-11-30,S08000029,NHS Fife,New Outpatient,13992,766
2019-11-30,S08000029,NHS Fife,New Outpatient,13800,1045
2020-11-30,S08000029,NHS Fife,New Outpatient,16552,6665
2021-11-30,S08000029,NHS Fife,New Outpatient,20501,8940
2018-01-31,S08000029,NHS Fife,New Outpatient,13924,1117
2019-01-31,S08000029,NHS Fife,New Outpatient,13230,1077
2020-01-31,S08000029,NHS Fife,New Outpatient,13077,921
2021-01-31,S08000029,NHS Fife,New Outpatient,16894,8361
2022-01-31,S08000029,NHS Fife,New Outpatient,21340,10725
2018-03-31,S08000029,NHS Fife,New Outpatient,14376,922
2019-03-31,S08000029,NHS Fife,New Outpatient,13358,307
2020-03-31,S08000029,NHS Fife,New Outpatient,11268,537
2021-03-31,S08000029,NHS Fife,New Outpatient,19111,9075
2022-03-31,S08000029,NHS Fife,New Outpatient,21064,9834
2018-05-31,S08000029,NHS Fife,New Outpatient,14962,1007
2019-05-31,S08000029,NHS Fife,New Outpatient,14768,532
2020-05-31,S08000029,NHS Fife,New Outpatient,11424,6805
2021-05-31,S08000029,NHS Fife,New Outpatient,20403,8203
2022-05-31,S08000029,NHS Fife,New Outpatient,23051,10387
2018-07-31,S08000029,NHS Fife,New Outpatient,15034,1303
2019-07-31,S08000029,NHS Fife,New Outpatient,14718,572
2020-07-31,S08000029,NHS Fife,New Outpatient,13090,7791
2021-07-31,S08000029,NHS Fife,New Outpatient,21491,8526
2022-07-31,S08000029,NHS Fife,New Outpatient,25172,11620
2018-08-31,S08000029,NHS Fife,New Outpatient,14567,1229
2019-08-31,S08000029,NHS Fife,New Outpatient,14873,748
2020-08-31,S08000029,NHS Fife,New Outpatient,14452,7329
2021-08-31,S08000029,NHS Fife,New Outpatient,21562,8976
2022-08-31,S08000029,NHS Fife,New Outpatient,25951,12355
2018-10-31,S08000029,NHS Fife,New Outpatient,14178,853
2019-10-31,S08000029,NHS Fife,New Outpatient,14707,1151
2020-10-31,S08000029,NHS Fife,New Outpatient,16723,6910
2021-10-31,S08000029,NHS Fife,New Outpatient,21395,9405
2018-12-31,S08000029,NHS Fife,New Outpatient,13714,1036
2019-12-31,S08000029,NHS Fife,New Outpatient,13207,1061
2020-12-31,S08000029,NHS Fife,New Outpatient,16551,7138
2021-12-31,S08000029,NHS Fife,New Outpatient,20305,9472
2018-02-28,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-02-28,S08000030,NHS Tayside,New Outpatient,30134,12123
2021-02-28,S08000030,NHS Tayside,New Outpatient,21907,11450
2022-02-28,S08000030,NHS Tayside,New Outpatient,24540,10502
2020-02-29,S08000030,NHS Tayside,New Outpatient,24049,8849
2018-04-30,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-04-30,S08000030,NHS Tayside,New Outpatient,30974,11275
2020-04-30,S08000030,NHS Tayside,New Outpatient,21495,10573
2021-04-30,S08000030,NHS Tayside,New Outpatient,21342,9232
2022-04-30,S08000030,NHS Tayside,New Outpatient,25634,10579
2018-06-30,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-06-30,S08000030,NHS Tayside,New Outpatient,31594,12707
2020-06-30,S08000030,NHS Tayside,New Outpatient,20060,14686
2021-06-30,S08000030,NHS Tayside,New Outpatient,21385,7894
2022-06-30,S08000030,NHS Tayside,New Outpatient,26620,11006
2018-09-30,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-09-30,S08000030,NHS Tayside,New Outpatient,31216,12671
2020-09-30,S08000030,NHS Tayside,New Outpatient,22266,12143
2021-09-30,S08000030,NHS Tayside,New Outpatient,23628,9658
2022-09-30,S08000030,NHS Tayside,New Outpatient,29722,13552
2018-11-30,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-11-30,S08000030,NHS Tayside,New Outpatient,27706,11281
2020-11-30,S08000030,NHS Tayside,New Outpatient,22727,11440
2021-11-30,S08000030,NHS Tayside,New Outpatient,24626,9595
2018-01-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-01-31,S08000030,NHS Tayside,New Outpatient,29612,12111
2020-01-31,S08000030,NHS Tayside,New Outpatient,24988,9909
2021-01-31,S08000030,NHS Tayside,New Outpatient,22443,11800
2022-01-31,S08000030,NHS Tayside,New Outpatient,24315,10313
2018-03-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-03-31,S08000030,NHS Tayside,New Outpatient,30651,10982
2020-03-31,S08000030,NHS Tayside,New Outpatient,22474,8040
2021-03-31,S08000030,NHS Tayside,New Outpatient,21473,10122
2022-03-31,S08000030,NHS Tayside,New Outpatient,24717,9734
2018-05-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-05-31,S08000030,NHS Tayside,New Outpatient,31309,11972
2020-05-31,S08000030,NHS Tayside,New Outpatient,20646,13875
2021-05-31,S08000030,NHS Tayside,New Outpatient,21382,8356
2022-05-31,S08000030,NHS Tayside,New Outpatient,26373,10779
2018-07-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-07-31,S08000030,NHS Tayside,New Outpatient,32194,12981
2020-07-31,S08000030,NHS Tayside,New Outpatient,21049,14098
2021-07-31,S08000030,NHS Tayside,New Outpatient,22449,8458
2022-07-31,S08000030,NHS Tayside,New Outpatient,28281,11842
2018-08-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-08-31,S08000030,NHS Tayside,New Outpatient,32133,13330
2020-08-31,S08000030,NHS Tayside,New Outpatient,21892,13002
2021-08-31,S08000030,NHS Tayside,New Outpatient,23060,9175
2022-08-31,S08000030,NHS Tayside,New Outpatient,28314,12210
2018-10-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-10-31,S08000030,NHS Tayside,New Outpatient,29786,12130
2020-10-31,S08000030,NHS Tayside,New Outpatient,23257,12062
2021-10-31,S08000030,NHS Tayside,New Outpatient,24743,10023
2018-12-31,S08000030,NHS Tayside,New Outpatient,NA,NA
2019-12-31,S08000030,NHS Tayside,New Outpatient,26324,10872
2020-12-31,S08000030,NHS Tayside,New Outpatient,22893,11345
2021-12-31,S08000030,NHS Tayside,New Outpatient,24442,10139
2018-02-28,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,82952,23506
2019-02-28,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,78811,22885
2021-02-28,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,92653,52980
2022-02-28,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,125586,73512
2020-02-29,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,74849,20194
2018-04-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,86567,21454
2019-04-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,80935,21456
2020-04-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,72627,30905
2021-04-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,102180,51342
2022-04-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,130577,73437
2018-06-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,86355,20679
2019-06-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,82756,22847
2020-06-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,75842,55253
2021-06-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,113286,54990
2022-06-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,134995,76223
2018-09-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,86070,23963
2019-09-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,82268,22995
2020-09-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,89495,52322
2021-09-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,123035,67199
2022-09-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,138799,81004
2018-11-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,82979,22672
2019-11-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,78793,21469
2020-11-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,93513,51220
2021-11-30,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,125704,69548
2018-01-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,82578,23672
2019-01-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,78665,23303
2020-01-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,74844,20977
2021-01-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,93280,53688
2022-01-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,125066,73195
2018-03-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,84457,21733
2019-03-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,78951,20409
2020-03-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,72463,19931
2021-03-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,95403,49694
2022-03-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,126369,69727
2018-05-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,86356,20764
2019-05-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,82033,22047
2020-05-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,74189,48543
2021-05-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,107935,53121
2022-05-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,131982,74296
2018-07-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,88930,22305
2019-07-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,84822,23369
2020-07-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,81679,54712
2021-07-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,119593,60811
2022-07-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,138082,78054
2018-08-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,87570,22819
2019-08-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,84201,24038
2020-08-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,86028,53043
2021-08-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,121889,64356
2022-08-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,140397,78692
2018-10-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,84917,23456
2019-10-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,81198,21816
2020-10-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,93968,52516
2021-10-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,126181,69693
2018-12-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,80778,23312
2019-12-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,76021,21128
2020-12-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,94964,52378
2021-12-31,S08000031,NHS Greater Glasgow and Clyde,New Outpatient,125499,72030
2018-02-28,S08000032,NHS Lanarkshire,New Outpatient,25600,5098
2019-02-28,S08000032,NHS Lanarkshire,New Outpatient,22988,3948
2021-02-28,S08000032,NHS Lanarkshire,New Outpatient,27779,13319
2022-02-28,S08000032,NHS Lanarkshire,New Outpatient,37575,17696
2020-02-29,S08000032,NHS Lanarkshire,New Outpatient,20600,1255
2018-04-30,S08000032,NHS Lanarkshire,New Outpatient,27490,4437
2019-04-30,S08000032,NHS Lanarkshire,New Outpatient,23514,2863
2020-04-30,S08000032,NHS Lanarkshire,New Outpatient,20654,5337
2021-04-30,S08000032,NHS Lanarkshire,New Outpatient,32965,14088
2022-04-30,S08000032,NHS Lanarkshire,New Outpatient,41282,18124
2018-06-30,S08000032,NHS Lanarkshire,New Outpatient,28486,5527
2019-06-30,S08000032,NHS Lanarkshire,New Outpatient,24421,2985
2020-06-30,S08000032,NHS Lanarkshire,New Outpatient,21842,14420
2021-06-30,S08000032,NHS Lanarkshire,New Outpatient,35366,14064
2022-06-30,S08000032,NHS Lanarkshire,New Outpatient,45109,20526
2018-09-30,S08000032,NHS Lanarkshire,New Outpatient,27480,6093
2019-09-30,S08000032,NHS Lanarkshire,New Outpatient,23198,2117
2020-09-30,S08000032,NHS Lanarkshire,New Outpatient,28807,13337
2021-09-30,S08000032,NHS Lanarkshire,New Outpatient,36934,16105
2022-09-30,S08000032,NHS Lanarkshire,New Outpatient,47717,26811
2018-11-30,S08000032,NHS Lanarkshire,New Outpatient,26003,5097
2019-11-30,S08000032,NHS Lanarkshire,New Outpatient,20667,1192
2020-11-30,S08000032,NHS Lanarkshire,New Outpatient,28999,13121
2021-11-30,S08000032,NHS Lanarkshire,New Outpatient,35811,15497
2018-01-31,S08000032,NHS Lanarkshire,New Outpatient,25985,6230
2019-01-31,S08000032,NHS Lanarkshire,New Outpatient,23783,4833
2020-01-31,S08000032,NHS Lanarkshire,New Outpatient,20819,1403
2021-01-31,S08000032,NHS Lanarkshire,New Outpatient,27526,13020
2022-01-31,S08000032,NHS Lanarkshire,New Outpatient,36528,17775
2018-03-31,S08000032,NHS Lanarkshire,New Outpatient,25852,3967
2019-03-31,S08000032,NHS Lanarkshire,New Outpatient,23190,2473
2020-03-31,S08000032,NHS Lanarkshire,New Outpatient,19972,1551
2021-03-31,S08000032,NHS Lanarkshire,New Outpatient,29607,12869
2022-03-31,S08000032,NHS Lanarkshire,New Outpatient,39200,16573
2018-05-31,S08000032,NHS Lanarkshire,New Outpatient,27971,4946
2019-05-31,S08000032,NHS Lanarkshire,New Outpatient,24390,2991
2020-05-31,S08000032,NHS Lanarkshire,New Outpatient,21365,12389
2021-05-31,S08000032,NHS Lanarkshire,New Outpatient,34805,14499
2022-05-31,S08000032,NHS Lanarkshire,New Outpatient,43101,19133
2018-07-31,S08000032,NHS Lanarkshire,New Outpatient,27972,5871
2019-07-31,S08000032,NHS Lanarkshire,New Outpatient,24658,3308
2020-07-31,S08000032,NHS Lanarkshire,New Outpatient,23464,13217
2021-07-31,S08000032,NHS Lanarkshire,New Outpatient,35971,14525
2022-07-31,S08000032,NHS Lanarkshire,New Outpatient,46878,22045
2018-08-31,S08000032,NHS Lanarkshire,New Outpatient,28495,6226
2019-08-31,S08000032,NHS Lanarkshire,New Outpatient,23975,2555
2020-08-31,S08000032,NHS Lanarkshire,New Outpatient,25988,12874
2021-08-31,S08000032,NHS Lanarkshire,New Outpatient,36739,15509
2022-08-31,S08000032,NHS Lanarkshire,New Outpatient,49029,24215
2018-10-31,S08000032,NHS Lanarkshire,New Outpatient,26646,5415
2019-10-31,S08000032,NHS Lanarkshire,New Outpatient,22468,1407
2020-10-31,S08000032,NHS Lanarkshire,New Outpatient,30015,13749
2021-10-31,S08000032,NHS Lanarkshire,New Outpatient,36848,15858
2018-12-31,S08000032,NHS Lanarkshire,New Outpatient,24930,5214
2019-12-31,S08000032,NHS Lanarkshire,New Outpatient,20015,1054
2020-12-31,S08000032,NHS Lanarkshire,New Outpatient,28311,12564
2021-12-31,S08000032,NHS Lanarkshire,New Outpatient,36299,16609
2018-02-28,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,235,0
2019-02-28,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,291,13
2021-02-28,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,228,8
2022-02-28,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,243,9
2020-02-29,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,313,32
2018-04-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,250,0
2019-04-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,265,14
2020-04-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,286,36
2021-04-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,251,11
2022-04-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,288,20
2018-06-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,265,0
2019-06-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,325,4
2020-06-30,SB0801,NHS Golden Jubilee National Hospital,New Outpatient,241,60
